"Статистика за успеваемост по полове и изпити, РУО СОФИЯ-ГРАД",,,,,,,,,
Брой точки,БЕЛ,МАТ,БЕЛ+МАТ,Мъже БЕЛ,Мъже МАТ,Мъже БЕЛ+МАТ,Жени БЕЛ,Жени МАТ,Жени БЕЛ+МАТ
175,,,72,,,33,,,39
176,,,63,,,29,,,34
177,,,68,,,33,,,35
178,,,65,,,35,,,30
179,,,66,,,23,,,43
180,,,67,,,31,,,36
181,,,68,,,31,,,37
182,,,71,,,20,,,51
183,,,50,,,19,,,31
184,,,62,,,31,,,31
185,,,66,,,35,,,31
186,,,53,,,24,,,29
187,,,51,,,24,,,27
188,,,62,,,27,,,35
189,,,44,,,24,,,20
190,,,39,,,16,,,23
191,,,42,,,15,,,27
192,,,32,,,11,,,21
193,,,28,,,15,,,13
194,,,30,,,13,,,17
195,,,25,,,11,,,14
196,,,24,,,13,,,11
197,,,23,,,7,,,16
198,,,21,,,6,,,15
199,,,10,,,1,,,9
200,,,11,,,3,,,8
