СТАТИСТИКА ЗА УСПЕВАЕМОСТТА ОТ НВО В 7. КЛАС ПО БЕЛ И МАТЕМАТИКА - ОБЩО И ПО ПОЛ   26.06.2020 ,,,,,,,,,
Брой точки,общо БЕЛ,общо МАТ,общо БЕЛ+МАТ,Мъже БЕЛ,Мъже МАТ,Мъже БЕЛ+МАТ,Жени БЕЛ,Жени МАТ,Жени БЕЛ+МАТ
170,,,67,,,23,,,44
171,,,56,,,33,,,23
172,,,44,,,17,,,27
173,,,68,,,37,,,31
174,,,77,,,26,,,51
175,,,48,,,25,,,23
176,,,50,,,18,,,32
177,,,58,,,25,,,33
178,,,58,,,17,,,41
179,,,57,,,27,,,30
180,,,44,,,17,,,27
181,,,39,,,14,,,25
182,,,60,,,30,,,30
183,,,56,,,21,,,35
184,,,39,,,13,,,26
185,,,34,,,20,,,14
186,,,52,,,21,,,31
187,,,45,,,22,,,23
188,,,41,,,17,,,24
189,,,52,,,24,,,28
190,,,44,,,16,,,28
191,,,48,,,22,,,26
192,,,45,,,14,,,31
193,,,44,,,21,,,23
194,,,35,,,14,,,21
195,,,25,,,11,,,14
196,,,23,,,9,,,14
197,,,21,,,5,,,16
198,,,13,,,,,,13
199,,,11,,,2,,,9
200,,,5,,,1,,,4
