"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2023/ 2024 ГОДИНА ",,,,,,,,
,,,,,,,,
"Забележки: 
- Оцветените в синьо паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места",,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Свободни места,,
,Код,Име,Код,Име,,Общо,Мъже,Жени
,,,,,,,,
169,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",1,2,-,-
170,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,1,1,-,-
171,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,1,1,-,-
172,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,1,1,-,-
173,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,1,2,-,-
174,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,1,,-,-
175,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,1,1,-,-
176,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,1,2,-,-
177,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,1,1,-,-
178,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,2,,-,-
179,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,1,1,-,-
180,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,1,1,-,-
181,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,1,1,-,-
182,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4388,Оперативно счетоводство - АЕ,1,2,-,-
183,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,1,8,-,-
184,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",1,13,-,-
185,2212037,"37. Средно училище ""Райна Княгиня""",4318,"Търговия на едро и дребно - АЕ разширено, ИЕ",1,4,-,-
186,2212037,"37. Средно училище ""Райна Княгиня""",4373,"Търговия на едро и дребно - ИЕ разширено, АЕ",1,16,-,-
187,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,3,-,-
188,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",1,3,-,-
189,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,3,-,-
190,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",1,10,-,-
191,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",1,3,-,-
192,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,6,-,-
193,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",1,2,-,-
194,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",1,3,-,-
195,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,4,-,-
196,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,1,4,-,-
197,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,4,-,-
198,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,,-,-
199,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",1,2,-,-
200,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,1,5,-,-
201,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,1,5,-,-
202,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,1,2,-,-
203,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",1,,-,-
204,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",1,4,-,-
205,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,6,-,-
206,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",1,3,-,-
207,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",1,4,-,-
208,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",1,6,-,-
209,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",1,1,-,-
210,2213039,"39 Средно училище ""Петър Динеков""",4447,Предприемачески,1,2,-,-
211,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,1,6,-,-
212,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,1,5,-,-
213,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,1,-,-
214,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, ФЕ",1,2,-,-
215,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,1,4,-,-
216,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,1,3,-,-
217,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,1,3,-,-
218,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,1,4,-,-
219,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,1,4,-,-
220,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",1,6,-,-
221,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",1,10,-,-
222,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,7,-,-
223,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,7,-,-
224,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,1,,-,-
225,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,1,4,-,-
226,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,3,,-,-
227,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,1,5,-,-
228,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,1,8,-,-
229,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,1,2,-,-
230,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,1,19,-,-
231,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",1,4,-,-
232,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,4,-,-
233,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",1,3,-,-
234,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",1,2,-,-
235,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,3,-,-
236,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,3,-,-
237,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,1,3,-,-
238,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,1,1,-,-
239,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,1,10,-,-
240,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",1,,-,-
241,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интензивно, АЕ",1,,-,-
242,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",1,3,-,-
243,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",1,1,-,-
244,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",1,4,-,-
245,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",1,-,2,-
246,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",2,-,2,
247,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",2,-,,
248,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",1,-,1,-
249,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",1,-,1,1
250,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",2,-,4,1
251,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",2,-,1,3
252,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",2,-,,
253,2216301,Първа английска езикова гимназия,3349,"Предприемачески - АЕ интензивно, НЕ",1,-,1,
254,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),4,3,-,-
255,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),2,4,-,-
256,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,1,17,-,-
257,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,1,7,-,-
258,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,1,19,-,-
259,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,1,,-,-
260,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,1,1,-,-
261,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,1,,-,-
262,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,1,1,-,-
263,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,1,2,-,-
264,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,3,-,-
265,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,1,2,-,-
266,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,1,7,-,-
267,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,1,5,-,-
268,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,1,2,-,-
269,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,6,-,-
270,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,Електронна търговия - АЕ интензивно,1,11,-,-
271,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",1,8,-,-
272,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",1,3,-,-
273,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4426,"Природни науки - АЕ, РЕ",1,10,-,-
274,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4452,Изобразително изкуство - АЕ,1,13,-,-
275,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,1,18,-,-
276,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,1,14,-,-
277,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,2,18,-,-
278,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,17,-,-
279,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2147,Автоматизация на непрекъснати производства - АЕ,1,24,-,-
280,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,1,23,-,-
281,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,1,8,-,-
282,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4327,Електрообзавеждане на производството (дуална),1,24,-,-
283,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4328,Електрически машини и апарати (дуална),1,25,-,-
284,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,1,19,-,-
285,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,1,18,-,-
286,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,1,22,-,-
287,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,1,23,-,-
288,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,1,12,-,-
289,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,1,16,-,-
290,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,1,-,-,-
291,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,1,-,-
292,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,1,-,-
293,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,1,4,-,-
294,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Чужди езици - РЕ интензивно; АЕ,1,10,-,-
295,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,1,12,-,-
296,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,1,3,-,-
297,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",1,8,-,-
298,2219130,"130. средно училище ""Стефан Караджа""",2236,Продавач-консултант,0.5,11,-,-
299,2219130,"130. средно училище ""Стефан Караджа""",4316,Продавач-консултант (дуална),0.5,13,-,-
300,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",1,10,-,-
301,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",1,3,-,-
302,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",1,10,-,-
303,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",1,10,-,-
304,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",4455,"Обществени науки - НЕ,АЕ",1,12,-,-
305,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,1,3,-,-
306,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,1,9,-,-
307,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,1,5,-,-
308,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,1,3,-,-
309,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,1,2,-,-
310,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,1,4,-,-
311,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",1,4,-,-
312,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,8,-,-
313,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",1,9,-,-
314,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",1,2,-,-
315,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",1,,-,-
316,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",1,1,-,-
317,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",2,5,-,-
318,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",2,5,-,-
319,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",1,2,-,-
320,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,2,-,-
321,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,1,6,-,-
322,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,1,6,-,-
323,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,1,2,-,-
324,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",1,,-,-
325,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",1,3,-,-
326,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",1,3,-,-
327,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",1,,-,-
328,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",5,17,-,-
329,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,1,3,-,-
330,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,1,2,-,-
331,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),0.5,6,-,-
332,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),0.5,7,-,-
333,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,1,18,-,-
334,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,1,18,-,-
335,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",2,6,-,-
336,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",1,1,-,-
337,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,2,-,-
338,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",1,3,-,-
339,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - АЕ интензивно, НЕ",1,1,-,-
340,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",3,-,4,-
341,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",3,-,2,
342,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",1,-,,
343,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",1,-,2,
344,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",1,1,-,-
345,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ",1,3,-,-
346,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",1,4,-,-
347,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",1,2,-,-
348,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, ИЕ",1,,-,-
349,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",1,1,-,-
350,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",1,1,-,-
351,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",1,1,-,-
352,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",1,4,-,-
353,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",1,,-,-
354,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Софтуерни и хардуерни науки - ИЕ интензивно, АЕ",1,3,-,-
355,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4402,"Математически - ИЕ интензивно, АЕ",1,,-,-
356,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",1,-,2,
357,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",1,-,1,1
358,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",2,-,1,4
