"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 31.07.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
143,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",1,324.75,0,324.75,376,0,376
144,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",1,323.75,323.75,325.75,364,323.75,364
145,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",1,323.5,324,323.5,333.5,325,333.5
146,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",1,321,321,343,392,392,343
147,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,1,320.25,339,320.25,345,339,345
148,2209132,"132. Средно училище ""Ваня Войнова""",0424,"Спортни-туристически дейности - помощник-инструктор АЕ,РЕ",1,320,320,320.25,336.75,320,336.75
149,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",1,320,320,332.5,332.5,329.5,332.5
150,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,319.5,319.5,0,319.5,319.5,0
151,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",1,319.5,329.75,319.5,360.75,329.75,360.75
152,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,318.5,318.5,0,322.5,322.5,0
153,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,1,317.5,317.5,0,317.5,317.5,0
154,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",1,317.25,362.5,317.25,362.5,362.5,317.25
155,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,1,316.5,316.5,0,323,323,0
156,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,1,316.5,318.5,316.5,337,324.5,337
157,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",1,316,0,316,379.5,0,379.5
158,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,315.5,0,315.5,315.5,0,315.5
159,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,Обществени науки - АЕ,1,315,315,328.75,344.25,344.25,328.75
160,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,1,315,315,321.5,348.5,348.5,321.5
161,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,315,315,316.5,317,316,317
162,2212037,"37. Средно училище ""Райна Княгиня""",4373,"Търговия на едро и дребно - ИЕ разширено, АЕ",1,314.5,0,314.5,314.5,0,314.5
163,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,1,314.5,0,314.5,314.5,0,314.5
164,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,311.5,0,311.5,312,0,312
165,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,1,311.5,311.5,316.5,331.5,311.5,331.5
166,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",1,310.5,313,310.5,343,332,343
167,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",1,310.5,0,310.5,319,0,319
168,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",1,310.5,340,310.5,340,340,310.5
169,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",0.5,310.5,310.5,0,365,365,0
170,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,310,316,310,345.5,333.5,345.5
171,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,1,310,311.5,310,311.5,311.5,310
172,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",1,309,0,309,313,0,313
173,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",1,304.5,317,304.5,348.75,317,348.75
174,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,1,304.5,0,304.5,304.5,0,304.5
175,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, ФЕ",1,304,304,0,315,315,0
176,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,1,303,0,303,307.75,0,307.75
177,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,1,301.5,310.5,301.5,318.5,318.5,301.5
178,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",1,300.75,0,300.75,306.5,0,306.5
179,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,1,299.5,299.5,0,311.5,311.5,0
180,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Предприемачески - ИЕ,1,298,298,302.5,339.5,298.5,339.5
181,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",1,297.5,0,297.5,297.5,0,297.5
182,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,1,297,0,297,317.25,0,317.25
183,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,296.5,0,296.5,296.5,0,296.5
184,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,296,0,296,359.5,0,359.5
185,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",1,294.5,306,294.5,318,306,318
186,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,1,293.25,293.25,296.25,332.25,332.25,313.25
187,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",5,292.5,292.5,293.5,344,329,344
188,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",1,292,294,292,330,330,296
189,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,291.5,354,291.5,356.75,354,356.75
190,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,1,290.5,290.5,310.75,317.75,317.75,310.75
191,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",1,286.5,292.5,286.5,341.25,341.25,339.5
192,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,286,309.5,286,309.5,309.5,286
193,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",1,286,286,293.5,307.5,292.5,307.5
194,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,1,285.5,333.5,285.5,333.5,333.5,285.5
195,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",1,284,303,284,325.5,325.5,306
196,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,1,284,284,0,302.5,302.5,0
197,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",1,283.5,283.5,285.5,299.5,288.5,299.5
198,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,1,283,0,283,283,0,283
199,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",1,282.5,0,282.5,282.5,0,282.5
200,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,281,0,281,284,0,284
201,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,1,281,281,0,299.5,299.5,0
202,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,1,280.75,280.75,0,303.5,303.5,0
203,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци /АЕ/,1,279.5,0,279.5,279.5,0,279.5
204,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,278.5,279.5,278.5,304,304,279
205,2224047,"47 Средно училище ""Христо Груев Данов""",4457,"Предприемачески - АЕ разширено, НЕ",1,278,278,283,283,283,283
206,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,1,277.5,325.5,277.5,333.5,325.5,333.5
207,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,1,277.5,277.5,0,319.25,319.25,0
208,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,1,277,277,287.5,327.5,327.5,287.5
209,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4452,Изобразително изкуство - АЕ,1,275.5,275.5,287.5,429.25,275.5,429.25
210,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",1,274.75,274.75,311,311,274.75,311
211,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",1,272.5,0,272.5,339.5,0,339.5
212,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",1,270,270,0,315.5,315.5,0
213,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",1,268,270.5,268,295,291.5,295
214,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,267.5,267.5,0,307,307,0
215,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,1,266.25,266.25,0,278.25,278.25,0
216,2213039,"39 Средно училище ""Петър Динеков""",4447,Предприемачески,1,265,0,265,273.5,0,273.5
217,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,265,270,265,306,306,265
218,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,1,262.75,262.75,270.5,293,262.75,293
219,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,1,262.5,262.5,307,307,275,307
220,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн /АЕ/,1,260.5,0,260.5,352.75,0,352.75
221,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,1,260.5,260.5,0,260.5,260.5,0
222,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",1,260,260,269,324.5,324.5,317.5
223,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,1,259.75,263,259.75,382,295.75,382
224,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Микропроцесорна техника - АЕ,1,259.5,259.5,0,306.5,306.5,0
225,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разш., РЕ",1,258,258,259,324.5,297.5,324.5
226,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",1,258,272,258,351,272,351
227,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),1,258,258,0,258,258,0
228,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,1,257,257,264,265.5,265.5,264
229,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,1,256,256,271.5,306.5,306.5,288.25
230,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,1,255,255,0,261,261,0
231,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ,1,250,250,0,253.5,253.5,0
232,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",1,246.5,246.5,269.25,351.5,351.5,312.25
233,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",1,246.25,254,246.25,285.25,285.25,283.75
234,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,1,245.5,245.5,0,246.5,246.5,0
235,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,1,243.5,0,243.5,243.5,0,243.5
236,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,243,243,270.5,270.5,254,270.5
237,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,1,240.5,240.5,289.75,357.5,357.5,298.75
238,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,238.5,238.5,296.5,296.5,291,296.5
239,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,237,0,237,290.5,0,290.5
240,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,1,235,235,247,306,266,306
241,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,1,235,254.5,235,283,254.5,283
242,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",1,233.5,272,233.5,280.5,272,280.5
243,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,230,234.5,230,300,276.5,300
244,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,1,230,0,230,288.5,0,288.5
245,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",1,226,279,226,279,279,226.5
246,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,1,221.5,0,221.5,221.5,0,221.5
247,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,1,218.5,218.5,232.5,232.5,218.5,232.5
248,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,217,217,0,248,248,0
249,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,1,217,217,219,219,217,219
250,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,1,216,216,231,264,264,231
251,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",1,214,214,255,296,296,262.5
252,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,1,211,211,0,211,211,0
253,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,Извършване на термални процедури - АЕ,1,206,0,206,250,0,250
254,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,204,207,204,273,273,204
255,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,1,203,217,203,221,221,205
256,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,1,200,266,200,266,266,200
257,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,1,200,0,200,200,0,200
258,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),0.5,196,196,0,196,196,0
259,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,1,195,195,0,253.5,253.5,0
260,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,1,193,197,193,267,267,266
261,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника (дуална),1,193,193,0,237,237,0
262,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),1,192,192,0,219,219,0
263,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,1,190.25,213.5,190.25,366.75,366.75,190.25
264,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,1,188,188,0,227,227,0
265,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",1,185,185,0,189,189,0
266,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,1,185,185,0,270,270,0
267,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,184.75,198.5,184.75,291,291,184.75
268,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,1,181.25,181.25,182,312.5,312.5,204
269,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",1,181,181,200,351.5,268.5,351.5
270,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,1,180,237,180,237,237,180
271,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,1,179,179,0,201.5,201.5,0
272,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,1,177.75,177.75,0,202,202,0
273,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",1,177.5,177.5,276.75,342.25,342.25,276.75
274,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,176,176,186.5,274.75,274.75,186.5
275,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,1,168,212,168,295,295,168
276,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,167,185,167,204,204,167
277,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",1,167,167,167,242,228,242
278,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,1,160.75,160.75,165.25,172.5,172.5,165.25
279,2208028,"28 Средно училище ""Алеко Константинов""",4127,"Икономическа информатика - АЕ интензивно, ИЕ",1,160,180,160,180,180,166
280,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,160,160,196,284,284,272.5
281,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,1,159.5,165,159.5,262.5,254,262.5
282,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,1,155,155,184,184,155,184
283,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",4455,"Обществени науки - НЕ,АЕ",1,154,169,154,305,305,296
284,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,1,151,151,0,161,161,0
285,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,1,151,151,0,178,178,0
286,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,1,150,150,175,208.5,198,208.5
287,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,1,149,149,0,226,226,0
288,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4426,"Природни науки - АЕ, РЕ",1,147,164,147,256,230,256
289,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,1,145,145,0,201,201,0
290,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,1,143,143,164,164,143,164
291,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,1,141,141,142,173.5,173.5,152
292,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",1,139,151,139,201,180,201
293,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),0.5,138,138,0,138,138,0
294,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,1,137,137,0,137,137,0
295,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,1,136,136,0,136,136,0
296,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),1,136,136,0,188,188,0
297,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",1,134,134,0,266,266,0
298,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,1,128,128,0,218,218,0
299,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",1,126,126,155,269.5,269.5,228.5
300,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,2,124,188.25,124,265.25,265.25,124
301,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",1,123.5,123.5,165.5,276,276,210.5
302,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",1,120,150,120,181,150,181
303,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,2,119,119,150,287,175,287
304,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,1,116,0,116,116,0,116
305,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,115.5,132.25,115.5,236.5,236.5,115.5
306,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",4461,"Природни науки - АЕ интензивно, ФЕ",1,115.25,115.25,0,157.5,157.5,0
307,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,1,115,115,127,180,180,127
308,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,1,113,113,195.75,226.25,226.25,195.75
309,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Кетъринг - АЕ,1,112,112,145,152.5,112,152.5
310,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,1,111,0,111,111,0,111
311,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,1,109,109,0,128.5,128.5,0
312,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",4453,Български танци,1,107,107,220,220,107,220
