"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
139,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",1,340,340,340,383.5,370.5,383.5
140,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Икономическо развитие - АЕ интензивно, НЕ",1,340,341,340,370,357,370
141,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,1,339,339,339.5,375,375,345
142,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",1,338.75,0,338.75,398,0,398
143,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4402,"Математически - ИЕ интензивно, АЕ",1,335.5,336.5,335.5,399.5,375,399.5
144,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",1,334.5,334.5,335,378.5,378.5,354
145,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",1,332.75,332.75,333.25,384.75,344.5,384.75
146,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,332,332,332.25,379.75,379.75,366.25
147,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,1,331.5,331.5,382,405,331.5,405
148,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4384,"Предприемачески - АЕ интензивно, ШвЕ",1,331.5,332,331.5,346,346,341.5
149,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4383,"Предприемачески - НЕ интензивно, ДатЕ",1,331,333,331,379.5,379.5,379.5
150,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,1,331,331,0,423.5,423.5,0
151,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",1,329.5,332.25,329.5,360.75,334.75,360.75
152,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,328,329,328,408,399.75,408
153,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",1,327.5,328,327.5,389,358.5,389
154,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",1,327,334.5,327,410,401.5,410
155,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - АрЕ интензивно, АЕ",1,327,327,327,412,334.5,412
156,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",1,326,326,326,404.5,404.5,384.5
157,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4381,"Предприемачески - НЕ интензивно, НорвЕ",1,326,326.5,326,415.5,354,415.5
158,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",1,325.5,325.5,327.75,369.5,369.5,363.5
159,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,324,324,327.5,384,329,384
160,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",1,323,323,324,424.5,356.5,424.5
161,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,1,321.5,324,321.5,351.5,351.5,344.75
162,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",1,320,320.25,320,371.25,350.75,371.25
163,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",1,318.5,0,318.5,387.75,0,387.75
164,2202002,"2 Средно училище ""Академик Емилиян Станев """,0951,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,317.5,318.5,317.5,353.5,353.5,349.5
165,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Чужди езици -АЕ интензивно, ИЕ, ГИ и ИЦ",1,317.5,317.5,320.5,345,345,341
166,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,1,317.5,317.5,320.5,383.5,364.5,383.5
167,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",1,317,322.5,317,369.75,359.5,369.75
168,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,1,317,321,317,360.5,360.5,317
169,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,316,316,316,389.5,389.5,333.5
170,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,1,315.5,319,315.5,467,345,467
171,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Чужди езици - АЕ интензивно, ИЕ, БЗО и ХООС",1,315.5,316,315.5,368,368,339
172,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",2,315.5,320,315.5,368,368,362.25
173,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,1,314.5,314.5,317.5,376.25,356,376.25
174,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,1,312.5,312.5,330,348,348,335
175,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,312,312,312.5,347,336,347
176,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,311.75,323.75,311.75,348.25,323.75,348.25
177,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",1,311.5,311.75,311.5,365,365,339.75
178,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",1,311,311,312.5,336.5,336.5,312.5
179,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",1,306,306,306,328,324,328
180,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,306,308,306,352,352,338.5
181,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",1,305.5,306.5,305.5,341,329,341
182,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,1,304,304,304.5,391.25,391.25,346.75
183,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",1,303.5,307.25,303.5,366.5,343,366.5
184,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,303.5,303.5,305.5,325,323,325
185,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,Обществени науки - АЕ,1,300,300,312.25,381.25,353,381.25
186,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,1,299.5,301,299.5,369.25,327.75,369.25
187,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",1,299.5,304,299.5,350,337,350
188,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,1,299.5,299.5,306.5,363,363,310.5
189,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,1,298,298,312.75,388.5,342.25,388.5
190,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,298,298,312.5,361,361,358.5
191,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",0.5,296.5,0,296.5,335,0,335
192,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,1,296.25,296.25,296.5,361,340.5,361
193,2208028,"28 Средно училище ""Алеко Константинов""",4127,"Икономическа информатика - АЕ интензивно, ИЕ",1,296,0,296,296,0,296
194,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,1,295,295.5,295,382.5,382.5,357
195,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,1,294.5,294.5,296.5,382.5,382.5,342.5
196,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,1,294,294,297,336.5,336.5,330
197,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,1,294,294,310.75,356.75,356.75,310.75
198,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",5,293,293,293,401,370.5,401
199,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,1,292,292,292.5,325,325,313
200,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,1,291.5,291.5,307,348.5,348.5,324
201,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,1,291,291,0,352.25,352.25,0
202,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,1,289,289,293,363.25,316.25,363.25
203,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",1,285,0,285,303.5,0,303.5
204,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",1,284,284,285,352.5,352.5,339.5
205,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",1,282,282,282.5,370,304,370
206,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",1,282,287.5,282,330.5,330.5,324.5
207,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,1,279.75,282,279.75,330.75,327.5,330.75
208,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",1,279.75,0,279.75,314.5,0,314.5
209,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,279.5,281.5,279.5,350,308.5,350
210,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,1,276.5,276.5,280.5,317.75,317.75,283
211,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",1,275,275,0,275,275,0
212,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,1,272.25,272.25,279.5,335,335,281.25
213,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,271.5,271.5,279,394,306.5,394
214,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,1,271.5,273.5,271.5,334,334,278.5
215,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,1,270,270,289,327,327,304
216,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,266.5,266.5,277.5,312.5,312.5,312
217,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,1,266,267,266,310.5,310.5,309
218,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Предприемачески - ИЕ,1,266,266,268.5,306.5,290.5,306.5
219,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),1,265.5,265.5,0,333.5,333.5,0
220,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,1,264.5,270,264.5,352.5,327.5,352.5
221,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,1,264,267.5,264,359,359,333.5
222,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,263.75,267.25,263.75,354.75,267.25,354.75
223,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,263,264,263,324.75,264,324.75
224,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",1,262.25,307,262.25,364.25,335,364.25
225,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",1,261,261,261.5,310.25,304,310.25
226,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",0.5,260,260,261.75,365,365,279
227,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,258,0,258,312,0,312
228,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",1,258,261.5,258,339.5,281,339.5
229,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",1,258,258,267,339,339,306.5
230,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",1,257,271,257,375,375,374.75
231,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",1,254.5,254.5,260,349,349,311.75
232,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,1,254,257.5,254,327,327,308.5
233,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",1,253.5,253.5,259.5,347.5,309.5,347.5
234,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,253,253,0,307,307,0
235,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",1,253,253.5,253,332.75,273,332.75
236,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,1,246,246,306,383,335.5,383
237,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,1,244.75,244.75,0,308.25,308.25,0
238,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, ФЕ",1,244.5,244.5,245,304.5,304.5,259.5
239,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",1,244,249.5,244,272,263.5,272
240,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,1,243,243,257.75,274.75,274.75,257.75
241,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,0.5,241.5,0,241.5,245,0,245
242,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,1,241,241,245,245,241,245
243,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,0.5,240.75,0,240.75,360.5,0,360.5
244,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",1,239.5,239.5,242.5,295.5,295.5,286.5
245,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,1,238.5,239.5,238.5,336,336,315.5
246,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",1,238,238,243,327.5,327.5,310
247,2224047,"47 Средно училище ""Христо Груев Данов""",4457,"Предприемачески - АЕ разширено, НЕ",1,238,241,238,281.5,275,281.5
248,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",1,234,240.5,234,332,328,332
249,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,1,233,233,238.5,329,329,249
250,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,1,232.75,0,232.75,232.75,0,232.75
251,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,1,232.5,232.5,237.5,357.5,357.5,317.25
252,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,232,232,252.5,260,260,252.5
253,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,231.5,231.5,259,348,348,297.5
254,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",1,231,235.75,231,415.75,415.75,366
255,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,229,229,238,304,304,279
256,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,1,224.75,224.75,430.5,430.5,297,430.5
257,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разш., РЕ",1,224.5,224.5,229,290,255,290
258,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,223,224,223,298,238.5,298
259,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",1,222.5,229.5,222.5,360.25,360.25,335.25
260,2209132,"132. Средно училище ""Ваня Войнова""",0424,"Спортни-туристически дейности - помощник-инструктор АЕ,РЕ",1,222,228.75,222,316.75,259,316.75
261,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,1,218,223.5,218,233,224,233
262,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ,1,217,217,0,297,297,0
263,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,1,213.5,216.5,213.5,240,238,240
264,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,213,218,213,317,316.5,317
265,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",1,212.5,222.5,212.5,329,240,329
266,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",1,212.25,212.25,234.5,419.5,305,419.5
267,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4452,Изобразително изкуство - АЕ,1,208.5,308.5,208.5,404.75,345.5,404.75
268,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",1,208,208,208,317.5,317.5,308.5
269,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,1,208,208,221,372,372,256.5
270,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,1,208,208,218,353.5,295,353.5
271,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,1,207,207,0,299,299,0
272,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,1,203,203,208,347,282.5,347
273,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,1,202,202,0,205,205,0
274,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",1,201,210,201,393,265.5,393
275,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,1,201,0,201,234,0,234
276,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,1,200,200,0,254,254,0
277,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Микропроцесорна техника - АЕ,1,199.5,199.5,210.5,333.75,333.75,210.5
278,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,1,199,199,224,261,261,224
279,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",1,197.25,197.25,0,197.25,197.25,0
280,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,1,194.5,200.25,194.5,341.5,341.5,289.75
281,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",1,193,193,193.5,404,404,303
282,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,1,192,192,0,192,192,0
283,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,1,191,191,0,191,191,0
284,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,190,190,0,190,190,0
285,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,1,188,188,0,259,259,0
286,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",4455,"Обществени науки - НЕ,АЕ",1,187.5,187.5,198.5,362.25,351.5,362.25
287,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",1,186,232,186,347.5,303,347.5
288,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,1,186,186,0,210.5,210.5,0
289,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",1,186,266.75,186,285,276,285
290,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",1,186,186,338.25,353.25,337,353.25
291,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн,0.5,185.5,185.5,273.5,377.75,185.5,377.75
292,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,1,185,187,185,292,292,255
293,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,1,185,185,211.5,278.5,278.5,211.5
294,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",1,184,184,214,307.5,288,307.5
295,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,1,184,348.5,184,348.5,348.5,305
296,2213039,"39 Средно училище ""Петър Динеков""",4447,Предприемачески,1,182,182,187,228,228,209
297,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,178,188.5,178,306,306,269
298,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,1,178,178,183,271.75,236,271.75
299,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,1,177,177,0,275,275,0
300,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",1,176,176,179,297.5,276.5,297.5
301,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,1,175,175,256,354.75,354.75,322.5
302,2212037,"37. Средно училище ""Райна Княгиня""",4373,"Търговия на едро и дребно - ИЕ разширено, АЕ",1,174.5,174.5,0,174.5,174.5,0
