"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
36,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Чужди езици - ИЕ интензивно, АЕ",2,417,419,417,462,431.5,462
37,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",1,416,416,416.5,435,435,434
38,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",3,416,416,440,455,452,455
39,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",1,416,416,437,444.5,426.5,444.5
40,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,1,415.75,415.75,429.25,444.75,425,444.75
41,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",1,415,415,415.5,434.5,422,434.5
42,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",3,409.5,409.5,438,460.5,439,460.5
43,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",1,409,409,436.5,448,448,438.5
44,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - АЕ,1,408.5,0,408.5,431.5,0,431.5
45,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,Интериорен дизайн - ИтЕ,1,408.25,0,408.25,427.75,0,427.75
46,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",1,408,415.5,408,442.5,419,442.5
47,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",1,407,408.5,407,464,425,464
48,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",1,405.5,405.5,432,459,432,459
49,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",1,405.5,405.5,431,444,434.5,444
50,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",1,404.5,407,404.5,440.5,407,440.5
51,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Чужди езици - АЕ интензивно, НЕ",1,404,410,404,446.5,446.5,434.5
52,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",1,404,404,404.5,430,430,424
53,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Чужди езици - АЕ интензивно, ИЕ",2,403.5,404,403.5,432,429.5,432
54,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,Интериорен дизайн- НЕ,0.5,403.25,0,403.25,429.25,0,429.25
55,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,403,403,403,431,431,428.5
56,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",1,403,403,405.5,436,422.5,436
57,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ",1,402.25,402.5,402.25,439.5,425.75,439.5
58,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,1,402.08,402.08,407.5,484.5,484.5,423.99
59,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",1,402,417.5,402,446,446,441
60,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",1,402,402,402.5,445,422.5,445
61,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",1,400.5,400.5,418,439,424,439
62,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,Интериорен дизайн - ФЕ,0.5,400,0,400,416.5,0,416.5
63,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",1,399.5,399.5,416,434,422,434
64,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",2,397.5,397.5,417.25,437,437,436.75
65,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,1,395.75,398.25,395.75,414,400.75,414
66,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",1,395,395,395.25,416.5,411.25,416.5
67,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,"Чужди езици - АЕ интензивно, ИЕ",1,393.5,393.5,426,448,429.5,448
68,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",1,393,393,413.5,436,405.5,436
69,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ФЕ",1,392,392,398,430.5,400.5,430.5
70,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",1,392,392,402,422.5,420,422.5
71,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",1,390.75,392.25,390.75,431,395.75,431
72,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интензивно, АЕ",1,390.25,392.25,390.25,430.5,404.25,430.5
73,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ЯЕ интензивно, АЕ",1,389.5,391.5,389.5,440,407,440
74,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",1,389.5,389.5,442,442,433.75,442
75,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",4453,Български танци,1,387.75,0,387.75,387.75,0,387.75
76,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ФЕ",1,385.5,390.5,385.5,415,411.5,415
77,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",1,384.25,384.25,413.75,467.25,427.75,467.25
78,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,"Чужди езици - АЕ интензивно, ФЕ",1,383.5,383.5,408,432,398,432
79,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,1,382,382.25,382,410.25,402,410.25
80,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",1,379.5,379.5,410.5,418.5,408,418.5
81,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",1,379,381.5,379,420,384.5,420
82,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",2,379,379.5,379,437.5,428,437.5
83,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Чужди езици - АЕ интензивно, РЕ",1,378,378,398,418.5,418.5,412.5
84,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",1,377.25,380,377.25,426,391.25,426
85,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Чужди езици - ФЕ интензивно, ИЕ",1,377,391.5,377,433,408.5,433
86,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,1,377,377,390.25,415.5,415.5,408.75
87,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ФЕ",2,374.5,381,374.5,433.5,414,433.5
88,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",1,373.75,375.25,373.75,403.75,401.25,403.75
89,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",1,373,373,425.5,436,407,436
90,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - АЕ интензивно, НЕ",1,373,373,375,408.5,402.5,408.5
91,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Природни науки - НЕ интензивно, АЕ",1,373,377,373,434.5,400,434.5
92,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КорЕ интензивно, АЕ",1,372.5,0,372.5,400,0,400
93,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,1,371.75,378.25,371.75,422.5,382.25,422.5
94,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",1,371.25,372,371.25,416,395,416
