"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2023 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
144,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,302.25,302.25,303.25,413,413,313.5
145,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,367,367,367.5,412.5,407.5,412.5
146,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,190,190,221.75,412.25,370.5,412.25
147,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - АрЕ интензивно, АЕ",334.5,344.5,334.5,412,376.5,412
148,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,370.5,370.5,372.5,411.5,386,411.5
149,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци /АЕ/,142.5,142.5,174.5,411.25,346.5,411.25
150,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,362.25,367.5,362.25,411.25,397,411.25
151,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",361.5,361.5,362,410.5,402,410.5
152,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",326.5,330.75,326.5,410.25,392.25,410.25
153,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн /АЕ/,225.5,277.25,225.5,410,385.25,410
154,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,30,30,202,409.75,278.5,409.75
155,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",349.5,350,349.5,409.5,398.5,409.5
156,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",292,292.5,292,409.5,352.5,409.5
157,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",360.5,360.5,365.5,409,377,409
158,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн,190,190,262.5,408.5,302,408.5
159,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - АЕ интензивно, НЕ",386.5,393.5,386.5,408.5,402.5,408.5
160,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",368.5,368.5,369,408,392,408
161,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",320.5,321,320.5,407.5,355.5,407.5
162,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,121.5,121.5,148,406.5,213,406.5
163,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,352.75,352.75,356.25,406,406,385.5
164,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,362.5,362.5,363,405,405,405
165,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,360.5,360.5,360.5,405,405,376
166,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,Обществени науки - АЕ,308.75,308.75,309.75,404.75,404.75,381.25
167,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",332.5,332.5,333.5,404.75,404.75,387.75
168,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4452,Изобразително изкуство - АЕ,294.75,308.5,294.75,404.75,345.5,404.75
169,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,381,388.25,381,404.5,391.75,404.5
170,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",338.5,338.5,339,404.5,404.5,384.5
171,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",279.5,281,279.5,404.5,404.5,312
172,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",349,349,349.5,404,360.5,404
173,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",208,209,208,404,404,303
174,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,100,100,168,402.75,402.75,168
175,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",354,355,354,402,395.5,402
176,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,297.75,297.75,301,401.5,336.25,401.5
177,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",305,305.5,305,401,372,401
178,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - АЕ интензивно, НЕ",357.5,359.5,357.5,401,367,401
179,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",370,370,371.5,401,393,401
180,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, ИЕ",354.5,354.5,356,400.5,395,400.5
181,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",347.5,367.75,347.5,400,367.75,400
182,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,312,317.75,312,399.5,360.75,399.5
183,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,"Природни науки - ИЕ интензивно, АЕ",351,353,351,399.5,399.5,394
184,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",346.25,357,346.25,398.5,379.25,398.5
185,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",352.75,357,352.75,398.5,379,398.5
186,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",170.5,170.5,227.5,398.5,360.75,398.5
187,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",330.5,330.5,330.5,398,376.5,398
188,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",270.5,270.5,271.5,398,337,398
189,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",271.5,271.5,272.25,397.5,335,397.5
190,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,85,85,147.5,396.75,396.75,383.75
191,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,160.5,160.5,188,395.5,395.5,354.25
192,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",352,352,352,395,393.5,395
193,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,171.75,200.5,171.75,394.75,283.5,394.75
194,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,348,350.5,348,394.5,394.5,382
195,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",278.25,278.25,279,394,323,394
196,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",316.5,316.5,317,393.5,393.5,348
197,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,335,335,336.25,393.25,364.5,393.25
198,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",210,210,213,393,336.5,393
199,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,270.25,270.25,273,392.5,361,392.5
200,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,323.5,323.5,335,392,392,365.5
201,2210117,117. СУ,0975,Софтуерни и хардуерни науки,86,86,128.5,391.5,291.75,391.5
202,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,315,319.5,315,391.25,391.25,355
203,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",351.5,352.5,351.5,391,374.5,391
204,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,158.5,158.5,217,390,312.5,390
205,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,313.5,314.5,313.5,389.5,356.5,389.5
206,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",327,327,328.5,389.5,389.5,363
207,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",315.25,315.25,315.5,389.25,359.5,389.25
208,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,184,239.5,184,389,239.5,389
209,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",342.5,342.5,345.75,388.25,386.25,388.25
210,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,278.5,281.25,278.5,388.25,334,388.25
211,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",4455,"Обществени науки - НЕ,АЕ",66.5,149,66.5,388,370,388
212,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",4453,Български танци,41,87,41,387.75,292,387.75
213,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",328.5,334,328.5,387.75,374.25,387.75
214,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",330,0,330,387.75,0,387.75
215,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",209,217,209,385.5,367.5,385.5
216,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",216.5,255,216.5,385,330.75,385
217,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Чужди езици - АЕ интензивно, ИЕ, БЗО и ХООС",321.5,322,321.5,384.5,368,384.5
218,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",331,332.5,331,384,378.5,384
219,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,300,300,301,382.5,382.5,357
220,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",347.5,347.5,347.5,382.5,382.5,380
221,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,303.75,303.75,305.75,382.5,382.5,342.5
222,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",341.5,342.75,341.5,381.75,362.25,381.75
223,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Софтуерни и хардуерни науки - ИЕ интензивно, АЕ",345.5,345.5,348,381.5,381.5,380.5
224,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4383,"Предприемачески - НЕ интензивно, ДатЕ",334.5,336,334.5,379.5,379.5,379.5
225,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",320.25,320.25,320.25,379.25,365,379.25
226,2209132,"132. Средно училище ""Ваня Войнова""",0424,"Спортни-туристически дейности - помощник-инструктор АЕ,РЕ",245.5,248.5,245.5,378.75,297.5,378.75
227,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,260.25,0,260.25,377.25,0,377.25
228,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,327.25,328.25,327.25,376.75,376.75,376.25
229,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",249.5,274.75,249.5,375.75,375.75,356.75
230,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,246,253,246,374.5,374.5,340.5
231,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",288,318.5,288,374,318.5,374
232,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",309.25,309.25,312.25,373.75,321.5,373.75
233,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4426,"Природни науки - АЕ, РЕ",134.5,135,134.5,373.5,315,373.5
234,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",339,339,340.5,373.25,373.25,371.25
235,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4384,"Предприемачески - АЕ интензивно, ШвЕ",336,336,336,372,372,371
236,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,221,221,243.5,372,372,329
237,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",291.5,306.5,291.5,371.5,316,371.5
238,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",4461,"Природни науки - АЕ интензивно, ФЕ",30,126,30,370.75,366.75,370.75
239,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Икономическо развитие - АЕ интензивно, НЕ",345,345,346,370.5,370.5,370
240,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",292,292,293.5,370,318,370
241,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",290,290,291,368,339,368
242,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,197,197,213,366.5,366.5,213
243,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",273.5,277.5,273.5,365,365,305.25
244,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,66,66,70,364.5,364.5,233.5
245,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,307.75,307.75,308.5,363,363,330.5
246,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,319.25,319.25,330,363,363,345
247,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,257,257,257.5,363,257,363
248,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Предприемачески - ИЕ,274,274,274,361,316,361
249,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,306,306,308,361,336.5,361
250,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",220,220,239,361,361,307.5
251,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,305,324,305,361,340.5,361
252,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,305.5,305.5,312.5,360.5,360.5,336
253,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,"Природни науки - АЕ интензивно, РЕ",126,126,126.5,360.25,342,360.25
254,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,138,138,155,360,360,241
255,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",250,250,255.5,360,331,360
256,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,241,241.5,241,360,318.5,360
257,2224047,"47 Средно училище ""Христо Груев Данов""",4457,"Предприемачески - АЕ разширено, НЕ",251.5,251.5,256,359,287.5,359
258,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,273.5,273.5,275.5,359,359,333.5
259,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",236,241,236,359,359,315.5
260,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",320,323.75,320,358.25,347,358.25
261,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,304.5,304.5,305.75,358.25,358.25,310.75
262,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",317,317,317.5,358,352,358
263,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",115,117,115,355,222,355
264,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,325.75,325.75,326,354.25,351.5,354.25
265,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",183.5,192.5,183.5,353.5,353.5,317.5
266,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,222,222,222.5,353.5,295,353.5
267,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",136.5,179,136.5,353.25,337,353.25
268,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,270.5,277,270.5,352.5,335,352.5
269,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,295.5,296,295.5,352.5,327.5,352.5
270,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,137,137,149,352,266.5,352
271,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",284,285,284,350,330.5,350
272,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",308.5,308.5,309.5,350,337,350
273,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,190,190.5,190,349.5,257,349.5
274,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",260,264.5,260,349,349,327.5
275,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,297,297.5,297,348.5,348.5,343
276,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,92,92,138,348.5,348.5,323.5
277,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,209,212.75,209,348.5,341.5,348.5
278,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",260,262.5,260,347.5,309.5,347.5
279,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",195,195,214.5,347.5,303,347.5
280,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",312,312,312.5,346.5,346.5,343.5
281,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,247.5,247.5,248,346,346,303.5
282,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,280.5,280.5,281.25,345,345,302
283,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",87,87,142.5,344,344,285
284,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,Производство и преработка на мляко и млечни продукти,30,30,100,342.75,316,342.75
285,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",265.25,265.25,267.75,341.5,341.5,310.25
286,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",235,241,235,340.5,340.5,279
287,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",267,267.5,267,339,339,338.5
288,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,245,249,245,337.5,337.5,288
289,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,250,254.5,250,336,336,331
290,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,190,191,190,334,306.5,334
291,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Микропроцесорна техника - АЕ,207.25,207.25,210.5,333.75,333.75,257.75
292,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",255.25,259.5,255.25,332.75,297.75,332.75
293,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",270.5,0,270.5,332.5,0,332.5
294,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",309.5,309.5,309.5,330.5,330.5,330.5
295,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",230,230,241.5,329,328.5,329
296,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Подемно - транспортна техника монтирана на пътни транспортни средства,99,99,0,329,329,0
297,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,263,263,264.5,328,327,328
298,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",253.5,263,253.5,327.5,327.5,319
299,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,108,108,0,327.5,327.5,0
300,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",190.5,190.5,199,327,327,268.5
301,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,285,285,287,327,327,318.5
302,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,279.75,280.5,279.75,326.5,317.75,326.5
303,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,121,121,157,325,197.5,325
304,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",224.5,224.5,229.5,324,324,317
305,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,189,198,189,320,320,293
306,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,218,220,218,319.5,319.5,302
307,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",107,107,114,318.5,275,318.5
308,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Чужди езици - РЕ интензивно; АЕ,110,110,110,318,195.5,318
