"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2023 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
38,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",437,437,447.5,470.5,453,470.5
39,2216301,Първа английска езикова гимназия,3349,"Предприемачески - АЕ интензивно, НЕ",440.5,440.5,443,469,446.5,469
40,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",453.25,453.25,454.5,469,469,468
41,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,356,356,365,468.75,468.75,431.5
42,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Чужди езици - ФЕ интензивно, ИЕ",387,391.5,387,468.5,408.5,468.5
43,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",390.25,390.25,421,467.25,435.25,467.25
44,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,324,324,324,467,361,467
45,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",414,415.5,414,467,422.5,467
46,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",414.5,417.5,414.5,467,425,467
47,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",430.75,430.75,431.75,466,448.25,466
48,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",448.5,448.5,460,466,465.5,466
49,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,357,357,358.25,466,412.5,466
50,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Природни науки - НЕ интензивно, АЕ",381,381,381.5,465,407.5,465
51,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",271.5,271.5,273,464,358.75,464
52,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",419.5,419.5,420,463.5,447.5,463.5
53,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",407,411.5,407,463,432.5,463
54,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Чужди езици - ИЕ интензивно, АЕ",422,422,423.5,462,446.5,462
55,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",386,386,410.5,461.5,415,461.5
56,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Чужди езици - АЕ интензивно, ИЕ",409.5,410,409.5,460,460,442
57,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2020,"Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ",435,435,446.5,459.5,459.5,459
58,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",415,415,436.5,459,434,459
59,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",411,411,440,458,448,458
60,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",391,391.5,391,457,457,438
61,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",408,409.5,408,455.5,455.5,442
62,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - АЕ,411.5,415.25,411.5,455.5,421.25,455.5
63,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",405.5,405.5,428.5,453,453,441.5
64,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КорЕ интензивно, АЕ",380.5,386,380.5,452,396.5,452
