"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 10.08.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
140,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,277,277,290.5,290.5,277,290.5
141,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",1,276,276,309.25,309.25,279.5,309.25
142,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,1,275.75,275.75,310.75,310.75,291,310.75
143,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",1,274.5,0,274.5,274.5,0,274.5
144,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,1,273.5,273.5,0,306.5,306.5,0
145,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",1,273.5,0,273.5,273.5,0,273.5
146,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",1,273,285.5,273,326,326,273
147,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",1,272,296.25,272,296.25,296.25,282.5
148,2224047,"47 Средно училище ""Христо Груев Данов""",4457,"Предприемачески - АЕ разширено, НЕ",1,272,272,278.5,293.5,293.5,278.5
149,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,270.75,270.75,0,276.5,276.5,0
150,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,268,268,0,268.5,268.5,0
151,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,1,268,268,277.5,297,268,297
152,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",1,267.5,0,267.5,267.5,0,267.5
153,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",1,266,266,0,274,274,0
154,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,1,266,266,0,294.5,294.5,0
155,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разш., РЕ",1,265.5,265.5,270,282.5,282.5,270
156,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,1,262,262,265.5,265.5,262,265.5
157,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,1,258.75,258.75,0,258.75,258.75,0
158,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,257.5,257.5,0,279.5,279.5,0
159,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,257,257,0,257,257,0
160,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,1,256,0,256,256,0,256
161,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,1,255.5,255.5,0,255.5,255.5,0
162,2210117,117. СУ,0975,Софтуерни и хардуерни науки,1,254,254,0,254,254,0
163,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника (дуална),1,253.5,253.5,0,287,287,0
164,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",1,252.5,252.5,277,291.5,291.5,277
165,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",1,252,252,254,294,294,254
166,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",1,251,0,251,272,0,272
167,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,250,250,0,250,250,0
168,2213039,"39 Средно училище ""Петър Динеков""",4447,Предприемачески,1,249.5,249.5,0,262,262,0
169,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",4453,Български танци,1,248,248,0,248,248,0
170,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",4455,"Обществени науки - НЕ,АЕ",1,241,241,289.25,289.25,251.25,289.25
171,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,1,240.75,240.75,0,250,250,0
172,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,1,239.5,239.5,0,239.5,239.5,0
173,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,1,236,236,0,236,236,0
174,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,1,235,235,0,302.5,302.5,0
175,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,1,233.75,233.75,0,241,241,0
176,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,1,233.25,0,233.25,277,0,277
177,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,1,229.5,229.5,0,229.5,229.5,0
178,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци /АЕ/,1,228,0,228,228,0,228
179,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,1,228,228,0,237,237,0
180,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,227.5,227.5,0,281,281,0
181,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",1,227.5,227.5,0,261,261,0
182,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,226.5,226.5,0,254.5,254.5,0
183,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,1,224,224,0,284,284,0
184,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,1,222,222,239.5,239.5,224.5,239.5
185,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,221,221,0,243,243,0
186,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Чужди езици - РЕ интензивно; АЕ,1,221,221,238,251,225.5,251
187,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",1,219,219,0,219,219,0
188,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,213,213,0,286.5,286.5,0
189,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",4461,"Природни науки - АЕ интензивно, ФЕ",1,209.5,212.5,209.5,300.75,300.75,209.5
190,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,1,208.5,208.5,0,224,224,0
191,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",1,206.5,0,206.5,271,0,271
192,2212037,"37. Средно училище ""Райна Княгиня""",4318,"Търговия на едро и дребно - АЕ разширено, ИЕ",1,205.5,0,205.5,205.5,0,205.5
193,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,1,204,204,0,238.5,238.5,0
194,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,Производство и преработка на мляко и млечни продукти,1,203,0,203,214,0,214
195,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",1,202,0,202,263.5,0,263.5
196,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,1,198,198,0,209,209,0
197,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,1,196,196,0,216.5,216.5,0
198,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",1,191,0,191,191,0,191
199,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4426,"Природни науки - АЕ, РЕ",1,186,186,0,186,186,0
200,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",1,182,192.5,182,231,231,182
201,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",1,182,182,0,193.5,193.5,0
202,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,1,182,182,0,182,182,0
203,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,1,181.5,189.25,181.5,191.5,191.5,181.5
204,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,1,176.5,176.5,182,245,245,182
205,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,Електронна търговия - АЕ интензивно,1,175,175,200.5,238,238,228.5
206,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),0.5,171,171,0,171,171,0
207,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,2,170,0,170,249,0,249
208,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),1,167,167,180,238.5,238.5,180
209,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,1,163.5,0,163.5,163.5,0,163.5
210,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",1,163,163,233.5,233.5,205,233.5
211,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),1,158,158,0,158,158,0
212,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Кетъринг - АЕ,1,157,170,157,170,170,157
213,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Подемно - транспортна техника монтирана на пътни транспортни средства,1,157,157,0,245.5,245.5,0
214,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,"Производство на месо, месни продукти и риба - АЕ",1,156.75,0,156.75,156.75,0,156.75
215,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,1,156,0,156,156,0,156
216,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,1,154,154,161.5,281,281,161.5
217,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,149.25,149.25,168.25,168.25,154,168.25
218,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,1,145,0,145,145,0,145
219,2219130,"130. средно училище ""Стефан Караджа""",2236,Продавач-консултант,0.5,142,0,142,142,0,142
220,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,1,142,142,0,142,142,0
221,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,1,141.5,0,141.5,274.5,0,274.5
222,2212037,"37. Средно училище ""Райна Княгиня""",4373,"Търговия на едро и дребно - ИЕ разширено, АЕ",1,139.5,0,139.5,148,0,148
223,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,1,139,235.5,139,235.5,235.5,221.5
224,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,1,137,137,0,259.5,259.5,0
225,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,1,133,133,0,133,133,0
226,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,1,131.5,131.5,0,131.5,131.5,0
227,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,131,200,131,200,200,131
228,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,1,131,131,0,131,131,0
229,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,1,128,128,233,323,190,323
230,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,1,127,0,127,127,0,127
231,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",1,122,122,0,249,249,0
232,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,1,115,115,0,139,139,0
233,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3562,Ръководител движение,1,114,114,0,114,114,0
234,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,1,114,114,117.5,230.25,200.5,230.25
235,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,1,112.5,112.5,0,112.5,112.5,0
236,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,1,111,111,124,160,139.5,160
237,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,1,102.5,102.5,0,102.5,102.5,0
238,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),1,95,95,0,187,187,0
239,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,1,94,0,94,94,0,94
240,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,1,89,89,240,240,177.75,240
241,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,1,89,185,89,262.25,262.25,236.5
242,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,1,88.5,88.5,89,188.5,125,188.5
243,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - ГрЕ,1,86,86,249.5,249.5,182,249.5
244,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,2,75,75,0,275.5,275.5,0
245,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",1,74,74,183,246,246,234
246,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,1,71,71,0,171.5,171.5,0
247,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,1,66,112,66,216,150,216
248,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,1,64,64,175.5,227,226,227
249,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,1,64,0,64,85,0,85
250,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,1,0,0,0,0,0,0
251,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,1,0,0,0,0,0,0
252,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,1,0,0,0,0,0,0
253,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,1,0,0,0,0,0,0
254,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",1,0,0,0,0,0,0
255,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,0,0,0,0,0,0
256,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",1,0,0,0,0,0,0
257,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,1,0,0,0,0,0,0
258,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,0,0,0,0,0,0
259,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Предприемачески - ИЕ,1,0,0,0,0,0,0
260,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,1,0,0,0,0,0,0
261,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
262,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Софтуерни и хардуерни науки - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
263,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
264,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, ИЕ",1,0,0,0,0,0,0
265,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",1,0,0,0,0,0,0
266,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",1,0,0,0,0,0,0
267,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ",1,0,0,0,0,0,0
268,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",1,0,0,0,0,0,0
269,2219130,"130. средно училище ""Стефан Караджа""",4316,Продавач-консултант (дуална),0.5,0,0,0,0,0,0
270,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",1,0,0,0,0,0,0
271,2204134,"134. средно училище ""Димчо Дебелянов""",1961,"Природни науки - АЕ интензивно, Иврит",1,0,0,0,0,0,0
272,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",1,0,0,0,0,0,0
273,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,1,0,0,0,0,0,0
274,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",1,0,0,0,0,0,0
275,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",1,0,0,0,0,0,0
276,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",1,0,0,0,0,0,0
277,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн,0.5,0,0,0,0,0,0
278,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,0.5,0,0,0,0,0,0
279,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн /АЕ/,1,0,0,0,0,0,0
280,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,1,0,0,0,0,0,0
281,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
282,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",2,0,0,0,0,0,0
283,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - АЕ интензивно, НЕ",1,0,0,0,0,0,0
284,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КорЕ интензивно, АЕ",1,0,0,0,0,0,0
285,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4384,"Предприемачески - АЕ интензивно, ШвЕ",1,0,0,0,0,0,0
286,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4383,"Предприемачески - НЕ интензивно, ДатЕ",1,0,0,0,0,0,0
287,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4381,"Предприемачески - НЕ интензивно, НорвЕ",1,0,0,0,0,0,0
288,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
289,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
290,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",1,0,0,0,0,0,0
291,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,1,0,0,0,0,0,0
292,2208028,"28 Средно училище ""Алеко Константинов""",4127,"Икономическа информатика - АЕ интензивно, ИЕ",1,0,0,0,0,0,0
293,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,0,0,0,0,0,0
294,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,"Природни науки - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
295,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,"Чужди езици - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
296,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",1,0,0,0,0,0,0
297,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",1,0,0,0,0,0,0
298,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",1,0,0,0,0,0,0
299,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",1,0,0,0,0,0,0
300,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",1,0,0,0,0,0,0
301,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",1,0,0,0,0,0,0
302,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",1,0,0,0,0,0,0
303,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",1,0,0,0,0,0,0
304,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",1,0,0,0,0,0,0
305,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",1,0,0,0,0,0,0
306,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,0,0,0,0,0,0
307,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",1,0,0,0,0,0,0
308,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",1,0,0,0,0,0,0
309,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",1,0,0,0,0,0,0
310,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,0,0,0,0,0,0
311,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,0,0,0,0,0,0
