"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2023/2024 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,,,
,,,,,,,,,,,
№,РАЙОН,Училище - име,Код на паралелката,Паралелка - име,Вид на паралелката,Балообразуване,Форма на обучение,Брой паралелки,Общо основание,Мъже,Жени
20,ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн /АЕ/,професионална,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),дневна,1,26,0,0
21,ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * Муз.),дневна,0.5,13,0,0
22,ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн,професионална,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),дневна,0.5,13,0,0
23,ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",4453,Български танци,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * Муз.),дневна,1,26,0,0
24,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",0897,"Природни науки - НЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
25,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",0902,"Природни науки - АЕ интензивно, НЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
26,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",0905,"Чужди езици - ФЕ интензивно, ИЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
27,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1631,"Чужди езици - ЯЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
28,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1637,"Чужди езици - АрЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
29,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1642,"Чужди езици - КитЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
30,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1647,"Чужди езици - КорЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
31,ВЪЗРАЖДАНЕ,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",3931,"Природни науки - ФЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),дневна,1,26,0,0
