"СВОБОДНИ МЕСТА ЗА ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС 
ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
,,,,,,,,
36,Възраждане,"134. СУ ""Д. Дебелянов"", ГР.СОФИЯ",Природни науки - АЕ интензивно,1961,профилирана,1,,
37,Възраждане,"134. СУ ""Д. Дебелянов"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1968,профилирана,0,,
38,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Медицинска техника - НЕ,0317,професионална,0,,
39,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Измервателна и организационна техника - АЕ,0319,професионална,1,,
40,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Кинотехника аудио- и видеосистеми - АЕ,0321,професионална,0,,
41,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Очна оптика - АЕ,0324,професионална,1,,
42,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Лазерна и оптична техника - АЕ,0325,професионална,0,,
43,Възраждане,"НПГПТО ""М.В.Ломоносов"", ГР.СОФИЯ",Компютърна техника и технологии - АЕ,0328,професионална,0,,
44,Възраждане,"ПГТКИ, ГР.СОФИЯ",Бутикови облекла - АЕ,1856,професионална,5,,
45,Възраждане,"ПГТКИ, ГР.СОФИЯ",Конструиране моделиране и технология на облекло от кожи,1865,професионална,6,,
46,Възраждане,"ПГТКИ, ГР.СОФИЯ",Конструиране моделиране и технология на обувни изделия (дуална),1868,професионална,16,,
47,Възраждане,"ПГТКИ, ГР.СОФИЯ",Конструиране моделиране и технология на коженогалантерийни изделия,1870,професионална,16,,
48,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ",Пътно-строителна техника - АЕ,2524,професионална,9,,
49,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ",Подемно-транспортна техника монтирана на пътни тр. средства - ФЕ,2528,професионална,17,,
50,Възраждане,"ПГ по ПСТТ, ГР.СОФИЯ",Електрически превозни средства - РЕ,2612,професионална,18,,
51,Изгрев,"105. СУ ""Атанас Далчев"", ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,2514,профилирана,1,,
52,Изгрев,"105. СУ ""Атанас Далчев"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2532,профилирана,4,,
53,Изгрев,"105. СУ ""Атанас Далчев"", ГР.СОФИЯ",Екскурзоводско обослужване - ИтЕ интензивно,2543,професионална,1,,
54,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1522,профилирана,1,,
55,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Природни науки - АЕ интензивно,1526,профилирана,1,,
56,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Чужди езици - РЕ интензивно,1532,профилирана,0,,
57,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Системно програмиране - АЕ,2328,професионална,1,,
58,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Приложно програмиране - АЕ,2338,професионална,0,,
59,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Компютърни мрежи - АЕ,2360,професионална,0,,
60,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2363,професионална,0,,
61,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Микропроцесорна техника - АЕ,2366,професионална,1,,
62,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Промишлена електроника - АЕ,2372,професионална,2,,
63,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Съдебна администрация - АЕ (дуална),2837,професионална,0,,
64,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Икономическо информационно осигуряване - АЕ,2840,професионална,12,,
65,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Извършване на термални процедури - АЕ (дуална),2842,професионална,16,,
66,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Фризьорство,2843,професионална,0,,
67,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Козметика,2845,професионална,0,,
68,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Маникюр педикюр и ноктопластика,2847,професионална,1,,
69,Илинден,"3 СУ ""Марин Дринов"", ГР.СОФИЯ",Изобразително изкуство - РЕ интензивно,2913,профилирана,7,,
70,Илинден,"3 СУ ""Марин Дринов"", ГР.СОФИЯ",Графичен дизайн - АЕ,2914,професионална,2,,
71,Илинден,"113 СУ ""Сава Филаретов"", ГР.СОФИЯ",Предприемачески,1648,профилирана,18,,
72,Илинден,"113 СУ ""Сава Филаретов"", ГР.СОФИЯ",Продавач-консултант,1676,професионална,0,,
73,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Промишлена електроника - АЕ,1911,професионална,0,,
74,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),2343,професионална,6,,
75,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрообзавеждане на подемна и асансьорна техника (дуална),2349,професионална,5,,
76,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Газова техника - АЕ,2352,професионална,0,,
77,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Възобновяеми енергийни източници - АЕ,2357,професионална,0,,
78,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),2362,професионална,0,,
79,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автотранспортна техника - техник,2364,професионална,1,,
80,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ,2367,професионална,0,,
81,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ (дуална),2376,професионална,0,,
82,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрически превозни средства - АЕ,2378,професионална,1,,
83,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Ремонт на летателни апарати - АЕ,2380,професионална,0,,
84,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Експлоатация на автомобилния транспорт,2383,професионална,0,,
85,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Компютърни мрежи - АЕ,2752,професионална,0,,
86,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Телекомуникационни системи - АЕ,2756,професионална,1,,
87,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Приложно програмиране - АЕ интензивно,2760,професионална,1,,
88,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2763,професионална,1,,
89,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Микропроцесорна техника - АЕ,2765,професионална,0,,
90,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Системно програмиране - АЕ интензивно,2769,професионална,1,,
91,Илинден,"ПГХВТ, ГР.СОФИЯ",Производство на захар и захарни изделия - АЕ,0448,професионална,2,,
92,Илинден,"ПГХВТ, ГР.СОФИЯ",Производство на месо месни продукти и риба - АЕ,0452,професионална,8,,
93,Илинден,"ПГХВТ, ГР.СОФИЯ",Производсто и преработка на мляко и млечни продукти,0455,професионална,14,,
94,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2762,профилирана,3,,
95,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2767,профилирана,0,,
96,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно КитЕ или ГрЕ,2774,профилирана,2,,
97,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,2778,профилирана,1,,
98,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Екскурзоводско обслужване - АЕ интензивно РЕ,2797,професионална,2,,
99,Искър,"68 СУ ""Акад.Никола Обрешков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,2629,профилирана,0,,
100,Искър,"69 СУ ""Д. Маринов"", ГР.СОФИЯ",Икономическо развитие - АЕ,0887,профилирана,0,,
101,Искър,"108 СУ ""Н.Беловеждов"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,1852,профилирана,0,,
102,Искър,"108 СУ ""Н.Беловеждов"", ГР.СОФИЯ",Предприемачески - АЕ,1896,профилирана,1,,
103,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Митническа и данъчна администрация - АЕ,1656,професионална,5,,
104,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Автомобилна мехатроника - АЕ,1677,професионална,2,,
105,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Автотранспортна техника - монтьор,1684,професионална,14,,
106,Красна поляна,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",Чужди езици - ФЕ интензивно,2371,профилирана,20,,
107,Красна поляна,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",Туристическа анимация - ФЕ интензивно,2379,професионална,8,,
108,Красна поляна,"28 СУ ""А. Константинов"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0372,профилирана,1,,
109,Красна поляна,"28 СУ ""А. Константинов"", ГР.СОФИЯ",Физическо възпитание и спорт - АЕ,0374,профилирана,10,,
110,Красна поляна,"123 СУ ""Стефан Стамболов, ГР.СОФИЯ",Логистика на товари и услуги,0631,професионална,7,,
111,Красна поляна,"135 СУ, ГР.СОФИЯ",Социална работа с деца и семейства в риск - АЕ,2783,професионална,6,,
112,Красна поляна,"СГХСТ, ГР.СОФИЯ",Производство на хляб хлебни и сладкарски изделия - АЕ,0547,професионална,4,,
113,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на сладкарски изделия - АЕ,0563,професионална,10,,
114,Красна поляна,"СГХСТ, ГР.СОФИЯ",Производство на сладкарски изделия - АЕ (дуална),0568,професионална,5,,
115,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на органични материали - карвинг - АЕ (дуална),0573,професионална,7,,
116,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - АЕ интензивно НорвЕ,2682,профилирана,0,,
117,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - АЕ интензивно ДатЕ,2689,профилирана,1,,
118,Красно село,"19 СУ ""Елин Пелин"", ГР.СОФИЯ",Предприемачески - НЕ интензивно,2693,профилирана,2,,
119,Красно село,"36 СУ ""Максим Горки"", ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,0778,профилирана,2,,
120,Красно село,"36 СУ ""Максим Горки"", ГР.СОФИЯ",Чужди езици - АЕ,0784,профилирана,0,,
121,Красно село,"51 СУ, ГР.СОФИЯ",Компютърна графика - АЕ интензивно,2276,професионална,1,,
122,Красно село,"51 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2289,профилирана,0,,
123,Красно село,"51 СУ, ГР.СОФИЯ",Изобразително изкуство - АЕ,2291,профилирана,1,,
124,Красно село,"132. СУ ""Ваня Войнова"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,0423,профилирана,3,,
125,Красно село,"132. СУ ""Ваня Войнова"", ГР.СОФИЯ",Спортно-туристическата дейност - АЕ,0424,професионална,0,,
126,Красно село,"203 ПЕГ ""Св. Методий"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2904,профилирана,0,,
