СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 13.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
54.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,428,441.5,младежи
55.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,427,439,девойки
56.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,426.5,473.5,младежи
57.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,424,429.5,младежи
58.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,422,451.5,девойки
59.  ,"2205407  СПГЕ  ""Джон Атанасов""",2338  Приложно програмиране - АЕ,421.5,459.75,без квоти
60.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ РЕ МАТ,420.5,436,младежи
61.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно   ИЕ,420,464.5,девойки
62.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2565  Чужди езици - АЕ интензивно ИЕ,419,441.5,без квоти
63.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,418,444.5,девойки
64.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,417,456,младежи
65.  ,"2224022  22 СЕУ ""Г. С. Раковски""",3017  Чужди езици - АЕ интензивно НЕ,416.5,446,без квоти
66.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно,416,457.5,девойки
67.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,415,478.5,девойки
68.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,413,460,младежи
69.  ,2209051  51 СУ,2291  Изобразително изкуство - АЕ,412,488.5,без квоти
70.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0719  Строителство и архитектура - АЕ,411.75,472.5,без квоти
71.  ,2224433  НТБГ,0751  Банково дело - АЕ интензивно,411,453.5,младежи
72.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Чужди езици - АЕ интензивно   РЕ,410.5,437.5,младежи
73.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,407.5,442,девойки
74.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,407,432.5,младежи
75.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,407,428.5,младежи
76.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2577  Чужди езици - ИЕ интензивно АЕ,406.5,462,без квоти
77.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2766  Чужди езици - ИЕ интензивно   АЕ,405,454,без квоти
78.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2759  Чужди езици - НЕ интензивно   АЕ,404,486,без квоти
79.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2755  Чужди езици - АЕ интензивно   ИЕ,403,452,без квоти
80.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,403,437.5,младежи
81.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,403,433.5,девойки
82.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2753  Чужди езици - АЕ интензивно  НЕ,401.5,453,без квоти
83.  ,2211304  НПМГ,0843  Природни науки - АЕ Х Б,400.55,481.25,без квоти
84.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0973  Строителство и архитектура - НЕ,400.5,476.75,без квоти
85.  ,"2204018  18 СУ ""Уилям Гладстон""",0897  Чужди езици - НЕ интензивно   АЕ,399,448,без квоти
86.  ,"2204018  18 СУ ""Уилям Гладстон""",1631  Чужди езици - ЯЕ интензивно  АЕ,399,444.5,без квоти
87.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно,397,430.5,девойки
88.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно,397,427,младежи
89.  ,"2221031  31СУЧЕМ ""Иван Вазов""",3018  Математически - АЕ интензивно,396.5,435.5,без квоти
90.  ,2211304  НПМГ,0830  Математически - АЕ М Ф,395.58,483.5,без квоти
91.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,393,472.5,девойки
92.  ,2211304  НПМГ,0845  Природни науки - НЕ Х Б,392,479.29,без квоти
93.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно,391.5,446.5,девойки
94.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно,389.5,417.5,младежи
95.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2209  Чужди езици - НЕ интензивно    АЕ или РЕ,389.25,421.75,без квоти
96.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно   АЕ,388,454,младежи
97.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно   ИЕ,387.5,413.5,младежи
98.  ,"2204018  18 СУ ""Уилям Гладстон""",0905  Чужди езици - ФЕ интензивно  АЕ,387,427.5,без квоти
99.  ,"2205407  СПГЕ  ""Джон Атанасов""",2360  Компютърни мрежи - АЕ,386.5,469.25,без квоти
100.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ РЕ ИТ,386.5,422.5,младежи
101.  ,2211304  НПМГ,0835  Природни науки - АЕ Б Х,386.25,483.35,без квоти
102.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно,386,409.5,девойки
103.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно   РЕ,386,407,младежи
104.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1522  Хуманитарни науки - АЕ интензивно,385.75,442.5,без квоти
105.  ,"2204134  134. СУ ""Д. Дебелянов""",1952  Чужди езици - АЕ интензивно,384.75,432,без квоти
106.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2159  Чужди езици - АЕ интензивно   НЕ или РЕ,383.75,426.5,без квоти
107.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,383,418.5,младежи
108.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,382.5,413,младежи
109.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,381.5,405,младежи
110.  ,"2204018  18 СУ ""Уилям Гладстон""",0902  Чужди езици - ФЕ интензивно   ИЕ,381,428,без квоти
111.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно,380,445.5,девойки
112.  ,2209051  51 СУ,2276  Компютърна графика - АЕ интензивно,379.5,430.5,без квоти
113.  ,"2204018  18 СУ ""Уилям Гладстон""",1647  Чужди езици - КорЕ интензивно   АЕ,378.5,451,без квоти
114.  ,"2224432  ПГД ""Елисавета Вазова""София",1294  Графичен дизайн - АЕ,378,463.25,без квоти
115.  ,"2224432  ПГД ""Елисавета Вазова""София",1292  Интериорен дизайн - ИтЕ,377.5,439.5,без квоти
116.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",1354  Чужди езици - АЕ интензивно  ИЕ,373.25,432,без квоти
117.  ,2209051  51 СУ,2289  Софтуерни и хардуерни науки - АЕ интензивно,373,439.75,без квоти
118.  ,"2204018  18 СУ ""Уилям Гладстон""",1642  Чужди езици - КитЕ интензивно   АЕ,371.5,470.5,без квоти
119.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0360  Чужди езици - АЕ интензивно НЕ,370.5,414.5,без квоти
120.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2456  Чужди езици - ЯЕ интензивно   АЕ,370,442,без квоти
121.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1831  Чужди езици - ИЕ интензивно АЕ ИЦ,369,437.75,без квоти
122.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1906  Чужди езици - АЕ интензивно ИЕ ИЦ,368.75,435.75,без квоти
123.  ,"2205407  СПГЕ  ""Джон Атанасов""",2363  Компютърна техника и технологии - АЕ,368.5,432.5,без квоти
124.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,367,411,младежи
125.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0359  Чужди езици - АЕ интензивно  ИЕ,366,444,без квоти
126.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1364  Чужди езици - АЕ интензивно ИЕ,366,428.5,без квоти
127.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно,365.5,437.5,младежи
128.  ,2211420  НФСГ,2754  Икономика и мениджмънт - АЕ,365.5,427,без квоти
129.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно,365.5,420.5,младежи
130.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,365,405,младежи
131.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1900  Чужди езици - ИЕ интнензивно АЕ БЗО,364,430.25,без квоти
132.  ,2223431  ПГ по телекомуникации,0738  Системно програмиране - АЕ,364,423.25,без квоти
133.  ,2211304  НПМГ,0847  Икономическо развитие - АЕ,361.34,446.54,без квоти
134.  ,"2220308  ПГИИ ""Проф. Н. Райнов""",1572  Компютърна графика,361.25,461.75,без квоти
135.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0361  Софтуерни и хардуерни науки - АЕ интензивно НЕ,358.5,439,без квоти
136.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1532  Чужди езици - РЕ интензивно,358.25,448.75,без квоти
137.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0363  Чужди езици - АЕ интензивно ФЕ,358,434,без квоти
138.  ,"2224432  ПГД ""Елисавета Вазова""София",1296  Рекламна графика - АЕ,356.25,428,без квоти
139.  ,2211420  НФСГ,2749  Икономическа информатика - АЕ,356,411.5,без квоти
140.  ,"2204134  134. СУ ""Д. Дебелянов""",1961  Природни науки - АЕ интензивно,355.5,432.5,без квоти
141.  ,"2224432  ПГД ""Елисавета Вазова""София",1290  Интериорен дизайн- НЕ,354.5,431.5,без квоти
142.  ,"2205407  СПГЕ  ""Джон Атанасов""",2366  Микропроцесорна техника - АЕ,354,418,без квоти
143.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно,354,371.5,младежи
144.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1358  Чужди езици - АЕ интензивно  НЕ,353.5,402,без квоти
145.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1907  Природни науки - АЕ интензивно,351,418.5,без квоти
146.  ,2211420  НФСГ,2791  Търговия - АЕ (дуална),350,394,без квоти
147.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0762  Геодезия - АЕ,349.25,399.5,без квоти
148.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2451  Чужди езици - КитЕ интензивно    АЕ,347.75,475,без квоти
149.  ,2211420  НФСГ,2764  Икономика и мениджмънт - НЕ,347.5,434,без квоти
150.  ,"2204030  30 СУ ""Братя Миладинови""",1307  Чужди езици - ИЕ интензивно  АЕ,347.5,396,без квоти
151.  ,2211420  НФСГ,2768  Икономика и мениджмънт - ФЕ,346.5,409.5,без квоти
152.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0772  Парково строителство и озеленяване - АЕ,346.25,415,без квоти
153.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2215  Предприемачески - ФЕ интензивно,343.5,401,без квоти
154.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0957  Хуманитарни науки - АЕ интензивно,343,433.25,без квоти
155.  ,"2205105  105. СУ ""Атанас Далчев""",2514  Чужди езици - ИтЕ интензивно,342.5,460.75,без квоти
156.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0328  Компютърна техника и технологии - АЕ,341,423.5,без квоти
157.  ,2211420  НФСГ,2798  Търговия - НЕ (дуална),340,376.5,без квоти
158.  ,2223431  ПГ по телекомуникации,0743  Приложно програмиране - АЕ,337.5,404.25,без квоти
159.  ,"2224432  ПГД ""Елисавета Вазова""София",1227  Моден дизайн - ФЕ,336.5,424.75,без квоти
160.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0951  Чужди езици - АЕ интензивно НЕ или ИЕ,336,391,без квоти
161.  ,"2204134  134. СУ ""Д. Дебелянов""",1968  Софтуерни и хардуерни науки - АЕ интензивно,335.75,490,без квоти
162.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1526  Природни науки - АЕ интензивно,335.25,419.75,без квоти
163.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1362  Математически - АЕ интензивно,335,396.5,без квоти
164.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1365  Природни науки - АЕ интензивно,334.5,423,без квоти
165.  ,"2213125  125 СУ ""Боян Пенев""",1546  Хуманитарни науки - АЕ интензивно,332,425.5,без квоти
166.  ,"2205407  СПГЕ  ""Джон Атанасов""",2372  Промишлена електроника - АЕ,332,397.5,без квоти
167.  ,"2204018  18 СУ ""Уилям Гладстон""",1637  Чужди езици - АрЕ интензивно   АЕ,329,401,без квоти
168.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0958  Обществени науки - АЕ интензивно,328.75,418.5,без квоти
169.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2466  Организация на туризма и свободното време - АЕ интензивно КорЕ,324,380,без квоти
170.  ,"2204030  30 СУ ""Братя Миладинови""",2602  Икономическо развитие - АЕ интензивно    НЕ,321,372,без квоти
171.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1366  Предприемачески - ИЕ интензивно,320.5,397.5,без квоти
172.  ,"2209019  19 СУ ""Елин Пелин""",2693  Предприемачески - НЕ интензивно,319,443,без квоти
173.  ,"2205105  105. СУ ""Атанас Далчев""",2532  Софтуерни и хардуерни науки - АЕ интензивно,319,383.5,без квоти
174.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0748  Транспортно строителство - АЕ,317.75,388.75,без квоти
175.  ,2223431  ПГ по телекомуникации,0722  Компютърни мрежи - АЕ,316.75,443,без квоти
176.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0916  Чужди езици - ИтЕ интензивно,315.75,413.75,без квоти
177.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0735  Водно строителство - АЕ,315.5,411.25,без квоти
178.  ,"2204030  30 СУ ""Братя Миладинови""",1308  Природни науки - ИЕ интензивно,313.5,425,без квоти
179.  ,"2209019  19 СУ ""Елин Пелин""",2682  Предприемачески - АЕ интензивно НорвЕ,313.5,392,без квоти
180.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0838  Брокер недвижими имоти - АЕ,308.5,434,без квоти
181.  ,"2205105  105. СУ ""Атанас Далчев""",2543  Екскурзоводско обослужване - ИтЕ интензивно,307.5,383.5,без квоти
182.  ,"2209019  19 СУ ""Елин Пелин""",2689  Предприемачески - АЕ интензивно ДатЕ,306,379.5,без квоти
183.  ,"2213144  144 СУ ""Народни будители""",1118  Музика - АЕ,303,406,без квоти
184.  ,2211417  ПГО,0462  Моден дизайн - ИтЕ,300.5,417,без квоти
185.  ,2223431  ПГ по телекомуникации,0730  Компютърна техника и технологии - АЕ,299,359.5,без квоти
186.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0947  Природни науки - АЕ интензивно,296,383,без квоти
187.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0898  Чужди езици - АЕ интензивно ИЕ,295,381,без квоти
