СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 20.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
54.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,421,448,младежи
55.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,418,423,младежи
56.  ,"2205407  СПГЕ  ""Джон Атанасов""",2338  Приложно програмиране - АЕ,416.75,440,без квоти
57.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2565  Чужди езици - АЕ интензивно ИЕ,416.5,440,без квоти
58.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,416.5,422.5,младежи
59.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,416,430,девойки
60.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно   ИЕ,415,443,девойки
61.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно,415,429,девойки
62.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,414,447.5,девойки
63.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ РЕ МАТ,412.5,425.5,младежи
64.  ,"2224022  22 СЕУ ""Г. С. Раковски""",3017  Чужди езици - АЕ интензивно НЕ,412,439.5,без квоти
65.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,409.5,442,младежи
66.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,407.5,428,девойки
67.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,407,435,младежи
68.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,404,423.5,девойки
69.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Чужди езици - АЕ интензивно   РЕ,403,413.5,младежи
70.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,402,409.5,младежи
71.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0719  Строителство и архитектура - АЕ,401.25,429,без квоти
72.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2577  Чужди езици - ИЕ интензивно АЕ,400.5,462,без квоти
73.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2766  Чужди езици - ИЕ интензивно   АЕ,400,454,без квоти
74.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,399.5,421,девойки
75.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,399,437,девойки
76.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0973  Строителство и архитектура - НЕ,398.25,413,без квоти
77.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2755  Чужди езици - АЕ интензивно   ИЕ,397,447,без квоти
78.  ,2211304  НПМГ,0843  Природни науки - АЕ Х Б,397,402.26,без квоти
79.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2759  Чужди езици - НЕ интензивно   АЕ,395,458,без квоти
80.  ,"2204018  18 СУ ""Уилям Гладстон""",1631  Чужди езици - ЯЕ интензивно  АЕ,395,425,без квоти
81.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2753  Чужди езици - АЕ интензивно  НЕ,394.5,440,без квоти
82.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно,394.5,408,младежи
83.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,394.5,405,младежи
84.  ,2224433  НТБГ,0751  Банково дело - АЕ интензивно,394,414,младежи
85.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно,392.5,423.5,девойки
86.  ,"2204018  18 СУ ""Уилям Гладстон""",0897  Чужди езици - НЕ интензивно   АЕ,390.5,426,без квоти
87.  ,2209051  51 СУ,2291  Изобразително изкуство - АЕ,390.5,414,без квоти
88.  ,2211304  НПМГ,0830  Математически - АЕ М Ф,390.5,413.83,без квоти
89.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,389.5,420,младежи
90.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,387,422,девойки
91.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно,387,397.5,девойки
92.  ,"2221031  31СУЧЕМ ""Иван Вазов""",3018  Математически - АЕ интензивно,386.5,435.5,без квоти
93.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно,385.5,407.5,младежи
94.  ,"2205407  СПГЕ  ""Джон Атанасов""",2360  Компютърни мрежи - АЕ,384.5,439.75,без квоти
95.  ,2211304  НПМГ,0835  Природни науки - АЕ Б Х,383.5,424.56,без квоти
96.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2209  Чужди езици - НЕ интензивно    АЕ или РЕ,382.25,412,без квоти
97.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно   ИЕ,381.5,405.5,младежи
98.  ,2211304  НПМГ,0845  Природни науки - НЕ Х Б,381,441,без квоти
99.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ РЕ ИТ,381,407,младежи
100.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно   АЕ,381,406,младежи
101.  ,"2204134  134. СУ ""Д. Дебелянов""",1952  Чужди езици - АЕ интензивно,379.25,431.75,без квоти
102.  ,"2204018  18 СУ ""Уилям Гладстон""",0905  Чужди езици - ФЕ интензивно  АЕ,379,427.5,без квоти
103.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно   РЕ,378,397.5,младежи
104.  ,2209051  51 СУ,2276  Компютърна графика - АЕ интензивно,377,430.5,без квоти
105.  ,"2204018  18 СУ ""Уилям Гладстон""",0902  Чужди езици - ФЕ интензивно   ИЕ,375.5,414,без квоти
106.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2159  Чужди езици - АЕ интензивно   НЕ или РЕ,375,426.5,без квоти
107.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,374.5,395.5,младежи
108.  ,"2204018  18 СУ ""Уилям Гладстон""",1647  Чужди езици - КорЕ интензивно   АЕ,374,435,без квоти
109.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно,373.5,409.5,девойки
110.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно,372.5,393,девойки
111.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,371.5,402,младежи
112.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,371,405,младежи
113.  ,"2224432  ПГД ""Елисавета Вазова""София",1294  Графичен дизайн - АЕ,369.25,391.25,без квоти
114.  ,"2224432  ПГД ""Елисавета Вазова""София",1292  Интериорен дизайн - ИтЕ,368.25,414,без квоти
115.  ,2209051  51 СУ,2289  Софтуерни и хардуерни науки - АЕ интензивно,366.75,439.75,без квоти
116.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1522  Хуманитарни науки - АЕ интензивно,366.5,432.25,без квоти
117.  ,"2204018  18 СУ ""Уилям Гладстон""",1642  Чужди езици - КитЕ интензивно   АЕ,364.5,418,без квоти
118.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно,364,371.5,младежи
119.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1831  Чужди езици - ИЕ интензивно АЕ ИЦ,363.5,437.75,без квоти
120.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",1354  Чужди езици - АЕ интензивно  ИЕ,363.5,432,без квоти
121.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,363,384,младежи
122.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно,361,385,младежи
123.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2456  Чужди езици - ЯЕ интензивно   АЕ,360.75,440,без квоти
124.  ,"2205407  СПГЕ  ""Джон Атанасов""",2363  Компютърна техника и технологии - АЕ,359.25,432.5,без квоти
125.  ,2211304  НПМГ,0847  Икономическо развитие - АЕ,358,446.54,без квоти
126.  ,2211420  НФСГ,2754  Икономика и мениджмънт - АЕ,358,420,без квоти
127.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0359  Чужди езици - АЕ интензивно  ИЕ,358,405.5,без квоти
128.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1900  Чужди езици - ИЕ интнензивно АЕ БЗО,357.5,430.25,без квоти
129.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0360  Чужди езици - АЕ интензивно НЕ,357.5,389.5,без квоти
130.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,356.5,384.5,младежи
131.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1906  Чужди езици - АЕ интензивно ИЕ ИЦ,356.25,406.5,без квоти
132.  ,"2224432  ПГД ""Елисавета Вазова""София",1290  Интериорен дизайн- НЕ,353.5,389.25,без квоти
133.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1364  Чужди езици - АЕ интензивно ИЕ,353,428.5,без квоти
134.  ,2223431  ПГ по телекомуникации,0738  Системно програмиране - АЕ,353,423.25,без квоти
135.  ,"2204134  134. СУ ""Д. Дебелянов""",1961  Природни науки - АЕ интензивно,353,418.5,без квоти
136.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1532  Чужди езици - РЕ интензивно,351.25,448.75,без квоти
137.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0361  Софтуерни и хардуерни науки - АЕ интензивно НЕ,350.5,394.5,без квоти
138.  ,"2224432  ПГД ""Елисавета Вазова""София",1296  Рекламна графика - АЕ,350.25,387.5,без квоти
