"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
,,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
56,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1522,профилирана,5,,
57,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Природни науки - АЕ интензивно,1526,профилирана,0,,
58,Изгрев,"119 СУ ""Академик М. Арнаудов"", ГР.СОФИЯ",Чужди езици - РЕ интензивно,1532,профилирана,5,,
59,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Системно програмиране - АЕ,2328,професионална,1,,
60,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Приложно програмиране - АЕ,2338,професионална,1,,
61,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Компютърни мрежи - АЕ,2360,професионална,2,,
62,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2363,професионална,1,,
63,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Микропроцесорна техника - АЕ,2366,професионална,2,,
64,Изгрев,"СПГЕ ""Джон Атанасов"", ГР.СОФИЯ",Промишлена електроника - АЕ,2372,професионална,2,,
65,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Съдебна администрация - АЕ (дуална),2837,професионална,5,,
66,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Икономическо информационно осигуряване - АЕ,2840,професионална,16,,
67,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Извършване на термални процедури - АЕ (дуална),2842,професионална,17,,
68,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Фризьорство,2843,професионална,1,,
69,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Козметика,2845,професионална,1,,
70,Изгрев,"СПГ ""Княгиня Евдокия"", ГР.СОФИЯ",Маникюр педикюр и ноктопластика,2847,професионална,2,,
71,Илинден,"3 СУ ""Марин Дринов"", ГР.СОФИЯ",Изобразително изкуство - РЕ интензивно,2913,профилирана,8,,
72,Илинден,"3 СУ ""Марин Дринов"", ГР.СОФИЯ",Графичен дизайн - АЕ,2914,професионална,10,,
73,Илинден,"113 СУ ""Сава Филаретов"", ГР.СОФИЯ",Предприемачески,1648,профилирана,25,,
74,Илинден,"113 СУ ""Сава Филаретов"", ГР.СОФИЯ",Продавач-консултант,1676,професионална,4,,
75,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Промишлена електроника - АЕ,1911,професионална,4,,
76,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),2343,професионална,13,,
77,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрообзавеждане на подемна и асансьорна техника (дуална),2349,професионална,15,,
78,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Газова техника - АЕ,2352,професионална,2,,
79,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Възобновяеми енергийни източници - АЕ,2357,професионална,1,,
80,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),2362,професионална,1,,
81,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автотранспортна техника - техник,2364,професионална,1,,
82,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ,2367,професионална,0,,
83,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ (дуална),2376,професионална,0,,
84,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Електрически превозни средства - АЕ,2378,професионална,3,,
85,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Ремонт на летателни апарати - АЕ,2380,професионална,0,,
86,Илинден,"ПГТЕ ""Хенри Форд"", ГР.СОФИЯ",Експлоатация на автомобилния транспорт,2383,професионална,0,,
87,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Компютърни мрежи - АЕ,2752,професионална,1,,
88,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Телекомуникационни системи - АЕ,2756,професионална,4,,
89,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Приложно програмиране - АЕ интензивно,2760,професионална,3,,
90,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2763,професионална,0,,
91,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Микропроцесорна техника - АЕ,2765,професионална,3,,
92,Илинден,"ПГАВТ ""А.С.Попов"", ГР.СОФИЯ",Системно програмиране - АЕ интензивно,2769,професионална,3,,
93,Илинден,"ПГХВТ, ГР.СОФИЯ",Производство на захар и захарни изделия - АЕ,0448,професионална,3,,
94,Илинден,"ПГХВТ, ГР.СОФИЯ",Производство на месо месни продукти и риба - АЕ,0452,професионална,10,,
95,Илинден,"ПГХВТ, ГР.СОФИЯ",Производсто и преработка на мляко и млечни продукти,0455,професионална,17,,
96,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2762,профилирана,6,,
97,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2767,профилирана,7,,
98,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - АЕ интензивно КитЕ или ГрЕ,2774,профилирана,6,,
99,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,2778,профилирана,5,,
100,Илинден,"33 ЕГ ""Света София"", ГР.СОФИЯ",Екскурзоводско обслужване - АЕ интензивно РЕ,2797,професионална,6,,
101,Искър,"68 СУ ""Акад.Никола Обрешков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,2629,профилирана,1,,
102,Искър,"69 СУ ""Д. Маринов"", ГР.СОФИЯ",Икономическо развитие - АЕ,0887,профилирана,2,,
103,Искър,"108 СУ ""Н.Беловеждов"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,1852,профилирана,1,,
104,Искър,"108 СУ ""Н.Беловеждов"", ГР.СОФИЯ",Предприемачески - АЕ,1896,профилирана,13,,
105,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Митническа и данъчна администрация - АЕ,1656,професионална,18,,
106,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Спедиция транспортна и складова логистика - АЕ,1665,професионална,21,,
107,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Автомобилна мехатроника - АЕ,1677,професионална,6,,
108,Искър,"ПГ ПО ТРАНСПОРТ, ГР.СОФИЯ",Автотранспортна техника - монтьор,1684,професионална,17,,
109,Красна поляна,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",Чужди езици - ФЕ интензивно,2371,профилирана,22,,
110,Красна поляна,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",Туристическа анимация - ФЕ интензивно,2379,професионална,16,,
