"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
117,Красна поляна,"СГХСТ, ГР.СОФИЯ","Производство на сладкарски изделия - АЕ
(дуална)",568,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)
118,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на органични материали -карвинг - АЕ (дуална),573,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)
119,Красно село,"19 СУ ""Елин Пелин"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно НорвЕ,2682,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
120,Красно село,"19 СУ ""Елин Пелин"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно ДатЕ,2689,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
121,Красно село,"19 СУ ""Елин Пелин"",
ГР.СОФИЯ",Предприемачески - НЕ интензивно,2693,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
122,Красно село,"36 СУ ""Максим Горки"",
ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,778,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
123,Красно село,"36 СУ ""Максим Горки"",
ГР.СОФИЯ",Чужди езици - АЕ,784,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
124,Красно село,"51 СУ, ГР.СОФИЯ",Компютърна графика - АЕ интензивно,2276,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ИТ)
125,Красно село,"51 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2289,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ИИ + 1 * ИТ)
126,Красно село,"51 СУ, ГР.СОФИЯ",Изобразително изкуство - АЕ,2291,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ +
1 * ИИ)"
127,Красно село,"132. СУ ""Ваня Войнова"",
ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,423,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
128,Красно село,"132. СУ ""Ваня Войнова"",
ГР.СОФИЯ",Спортно-туристическата дейност - АЕ,424,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ФВС + 1 * ЧЕз)
129,Красно село,"203 ПЕГ ""Св. Методий"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2904,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
130,Красно село,"203 ПЕГ ""Св. Методий"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2907,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИЦ)
131,Красно село,"203 ПЕГ ""Св. Методий"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2909,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
132,Красно село,"203 ПЕГ ""Св. Методий"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно,2910,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)
133,Кремиковци,"85 СУ ""Отец Паисий"",
ГР.СОФИЯ",Търговия на едро и дребно - АЕ,1929,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ)
134,Кремиковци,"117. СУ, ГР.БУХОВО",Софтуерни и хардуерни науки,975,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ЧЕз)
135,Кремиковци,"156 ОбУ ""В.Левски"",
ГР.СОФИЯ",Хуманитарни науки,1360,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
136,Кремиковци,"162 ОбУ ""Отец Паисий"",
ГР.СОФИЯ",Предприемачески,2956,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
137,Лозенец,"21 СУ ""Христо Ботев"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,898,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
138,Лозенец,"21 СУ ""Христо Ботев"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно,906,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
139,Лозенец,"35. СЕУ ""Добри Войников"",
ГР.СОФИЯ",Чужди езици - НЕ РЕ БЕЛ,388,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
140,Лозенец,"35. СЕУ ""Добри Войников"",
ГР.СОФИЯ",Чужди езици - НЕ РЕ МАТ,389,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
141,Лозенец,"35. СЕУ ""Добри Войников"",
ГР.СОФИЯ",Чужди езици - НЕ РЕ ГЕО,390,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
142,Лозенец,"35. СЕУ ""Добри Войников"",
ГР.СОФИЯ",Чужди езици - ФЕ РЕ ИТ,392,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
143,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Инф,814,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
144,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - НЕ,821,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
145,Лозенец,"НПМГ, ГР.СОФИЯ",Математически - АЕ М Ф,830,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ФИЗ, ОК) + (1 * М
+ 1 * ФА) или (1 * БЕЛ + 1 * МАТ + 2 *
НПМГ, Ф) + (1 * М + 1 * ФА)"
146,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Б Х,835,профилирана,52/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * БИО, ОК) + (1 *
БЗО + 1 * ХООС) или (1 * БЕЛ + 1 * МАТ
+ 2 * НПМГ, Б) + (1 * БЗО + 1 * ХООС)"
147,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - АЕ Х Б,843,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ХИМ, ОК) + (1 *
М + 1 * ХООС) или (1 * БЕЛ + 1 * МАТ + 2
* НПМГ, Х) + (1 * М + 1 * ХООС)"
148,Лозенец,"НПМГ, ГР.СОФИЯ",Природни науки - НЕ Х Б,845,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ХИМ, ОК) + (1 *
М + 1 * ХООС) или (1 * БЕЛ + 1 * МАТ + 2
* НПМГ, Х) + (1 * М + 1 * ХООС)"
149,Лозенец,"НПМГ, ГР.СОФИЯ",Икономическо развитие - АЕ,847,профилирана,26/-/-,"(1 * БЕЛ + 2 * МАТ + 1 * ГЕО, ОК) + (1 * М
+ 1 * ГИ) или (1 * БЕЛ + 2 * МАТ + 1 *
НПМГ, Г) + (1 * М + 1 * ГИ)"
150,Лозенец,"НПМГ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1177,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
151,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - ИтЕ,462,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
152,Лозенец,"ПГО, ГР.СОФИЯ",Бутикови облекла - ИтЕ,472,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
153,Лозенец,"ПГО, ГР.СОФИЯ",Моден дизайн - АЕ,476,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
154,Лозенец,"ПГО, ГР.СОФИЯ","Конструиранемоделиране и технология на
облекло от текстил - АЕ",491,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
155,Лозенец,"ПГО, ГР.СОФИЯ",Сценичен костюм - АЕ,505,професионална,13/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ)
156,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Строителство и архитектура - АЕ,719,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ)
157,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Водно строителство - АЕ,735,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ)
158,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Транспортно строителство - АЕ,748,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ)
159,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Геодезия - АЕ,762,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ)
160,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Парково строителство и озеленяване - АЕ,772,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЗО + 1 * ИИ)
161,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Брокер недвижими имоти - АЕ,838,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * ГИ)
162,Лозенец,"СГСАГ ""Христо Ботев"",
ГР.СОФИЯ",Строителство и архитектура - НЕ,973,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ)
163,Лозенец,"НФСГ, ГР.СОФИЯ",Икономическа информатика - АЕ,2749,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
164,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - АЕ,2754,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
165,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - НЕ,2764,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
166,Лозенец,"НФСГ, ГР.СОФИЯ",Икономика и мениджмънт - ФЕ,2768,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
167,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - АЕ (дуална),2791,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
168,Лозенец,"НФСГ, ГР.СОФИЯ",Търговия - НЕ (дуална),2798,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
169,Люлин,"27. СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки,2387,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
170,Люлин,"37. СУ ""Райна Княгиня"",
ГР.СОФИЯ",Предприемачески,2110,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ИТ)
171,Люлин,"40 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",508,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
172,Люлин,"56.СУ ""Проф. К. Иречек"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно,2196,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
173,Люлин,"56.СУ ""Проф. К. Иречек"",
ГР.СОФИЯ",Икономическо развитие - НЕ интензивно,2200,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ГИ)
174,Люлин,"79 СУ ""Индира Ганди"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2427,профилирана,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ИТ)
175,Люлин,"90 СУ, ГР.СОФИЯ",Предприемачески - ИЕ,1384,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
176,Люлин,"90 СУ, ГР.СОФИЯ",Природни науки - АЕ,1390,профилирана,26/-/-,"(1 * БЕЛ + 3 * МАТ) + (1 * БЗО + 1 *
ХООС)"
177,Люлин,"96. СУ ""Л. Н. Толстой"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно,903,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
178,Люлин,"97 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2506,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
179,Люлин,"97 СУ, ГР.СОФИЯ","Търговия на едро и дребно - АЕ
интензивно",2512,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
180,Люлин,"97 СУ, ГР.СОФИЯ",Предприемачески - АЕ,3037,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИТ + 1 * ЧЕз)
181,Люлин,"137 СУ ""Ангел Кънчев"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно,1834,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
182,Люлин,"137 СУ ""Ангел Кънчев"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1838,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
183,Люлин,"137 СУ ""Ангел Кънчев"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1844,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
184,Младост,"10 СУ ""Теодор Траянов"",
ГР.СОФИЯ",Обществени науки - АЕ,2101,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ГИ)
185,Младост,"39 СУ ""П.Динеков"", ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1802,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
186,Младост,"81. СУ ""Виктор Юго"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно,2566,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
187,Младост,"81. СУ ""Виктор Юго"",
ГР.СОФИЯ",Хуманитарни науки,2579,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ФВС)
188,Младост,"118 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2943,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ЧЕз)
189,Младост,"125 СУ ""Боян Пенев"",
ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1546,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ)
190,Младост,"125 СУ ""Боян Пенев"",
ГР.СОФИЯ",Математически - АЕ интензивно,1557,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
191,Младост,"128 СУ ""Алберт Айнщайн"",
ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1660,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
192,Младост,"128 СУ ""Алберт Айнщайн"",
ГР.СОФИЯ",Банкова охрана и инкасова дейност - АЕ,1670,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
193,Младост,"131 СУ ""К.А.Тимирязев"",
ГР.СОФИЯ",Търговия на едро и дребно,2449,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
194,Младост,"131 СУ ""К.А.Тимирязев"",
ГР.СОФИЯ",Предприемачески,2454,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
195,Младост,"144 СУ ""Народни будители"",
ГР.СОФИЯ",Музика - АЕ,1118,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * МУЗ) + (1 * БЕЛ
+ 1 * Муз.)"
196,Младост,"144 СУ ""Народни будители"",
ГР.СОФИЯ",Рекламна графика - АЕ,1123,професионална,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ +
1 * ИИ)"
197,Младост,"144 СУ ""Народни будители"",
ГР.СОФИЯ",Български танци - АЕ,1142,професионална,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * СПО) + (1 * БЕЛ
+ 1 * Муз)"
198,Младост,"ТУЕС към ТУ-София,
ГР.СОФИЯ",Системно програмиране - АЕ,2127,професионална,78/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
199,Младост,"ТУЕС към ТУ-София,
ГР.СОФИЯ",Компютърни мрежи - АЕ,2132,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)
200,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2582,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
201,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески,3015,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
202,Надежда,"54 СУ, ГР.СОФИЯ",Чужди езици - АЕ интензивно,749,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
203,Надежда,"54 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",758,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
204,Надежда,"101 СУ ""БАЧО КИРО"",
ГР.СОФИЯ",Икономическо развитие - АЕ интензивно,2886,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ИТ)
205,Надежда,"101 СУ ""БАЧО КИРО"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",2889,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * М + 1 * ИТ)
206,Нови Искър,"170 СУ ""Васил Левски"",
ГР.НОВИ ИСКЪР",Предприемачески - АЕ,2971,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ)
207,Нови Искър,"170 СУ ""Васил Левски"",
ГР.НОВИ ИСКЪР","Организация на туризма и свободното
време - АЕ",2972,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ)
208,Нови Искър,"172 ОбУ ""Христо Ботев"",
ГР.НОВИ ИСКЪР",Производство на облекло от текстил,2807,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)
209,Нови Искър,"176 ОбУ, С.НЕГОВАН",Софтуерни и хардуерни науки - АЕ,2460,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ИТ)
210,Оборище,"1 СУ ""Пенчо П. Славейков"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ ИЦ,1831,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
211,Оборище,"1 СУ ""Пенчо П. Славейков"",
ГР.СОФИЯ",Чужди езици - ИЕ интнензивно АЕ БЗО,1900,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
212,Оборище,"1 СУ ""Пенчо П. Славейков"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ,1906,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
213,Оборище,"1 СУ ""Пенчо П. Славейков"",
ГР.СОФИЯ",Природни науки - АЕ интензивно,1907,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз)
214,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2561,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
215,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ФЕ,2562,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
216,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ИтЕ,2564,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
217,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ПортЕ,2569,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
218,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,649,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
219,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,672,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
220,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,727,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
221,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно ФЕ,752,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
222,Оборище,"СМГ ""П. Хилендарски"",
ГР.СОФИЯ",Математически - АЕ,2277,профилирана,104/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
223,Оборище,"СМГ ""П. Хилендарски"",
ГР.СОФИЯ",Математически - НЕ интензивно,2278,профилирана,52/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
224,Оборище,"ПГМЕ, ГР.СОФИЯ",Металообработващи машини (дуална),2173,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
225,Оборище,"ПГМЕ, ГР.СОФИЯ",Електрообзавеждане на производството -електромонтьор (дуална),2177,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
226,Оборище,"ПГМЕ, ГР.СОФИЯ",Електрообзавеждане на производството -електротехник,2189,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
227,Оборище,"ПГМЕ, ГР.СОФИЯ",Промишлена електроника - АЕ,2193,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
228,Оборище,"СПГТ, ГР.СОФИЯ",Кетъринг - РЕ,1277,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
229,Оборище,"СПГТ, ГР.СОФИЯ",Кетъринг - ИЕ,1281,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
230,Оборище,"СПГТ, ГР.СОФИЯ","Производство и обслужване в заведенията
за хранене и развлечения - ИтЕ",1283,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
231,Оборище,"СПГТ, ГР.СОФИЯ","Производство и обслужване в заведенията
за хранене и развлечения - НЕ",1284,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
232,Оборище,"СПГТ, ГР.СОФИЯ",Организация на хотелиерството - АЕ,1285,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
233,Оборище,"СПГТ, ГР.СОФИЯ","Организация на обслужването в
хотелиерството - АЕ",1286,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
234,Оборище,"СПГТ, ГР.СОФИЯ",Екскурзоводско обслужване - АЕ,1287,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО)
235,Овча купел,"66 СУ ""Филип Станиславов"",
ГР.СОФИЯ",Предприемачески,1439,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
236,Овча купел,"88 СУ ""Д. Попниколов"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно,1353,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
237,Овча купел,"88 СУ ""Д. Попниколов"",
ГР.СОФИЯ",Туристическа анимация - АЕ интензивно,1356,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
238,Овча купел,"149 СУ, ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1060,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИТ + 1 * ЧЕз)
239,Овча купел,"Национално СУ ""София"",
ГР.СОФИЯ",Природни науки - АЕ,2687,профилирана,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
240,Овча купел,"Национално СУ ""София"",
ГР.СОФИЯ",Изобразително изкуство - АЕ,2692,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1
* ИТ)"
241,Овча купел,"ПГЕА, ГР.СОФИЯ",Компютърни мрежи - АЕ,2115,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
242,Овча купел,"ПГЕА, ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2123,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
243,Овча купел,"ПГЕА, ГР.СОФИЯ",Системно програмиране - АЕ,2133,професионална,52/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
244,Овча купел,"ПГЕА, ГР.СОФИЯ",Приложно програмиране - АЕ,2138,професионална,52/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
245,Овча купел,"ПГЕА, ГР.СОФИЯ","Автоматизация на непрекъснати
производства - АЕ",2147,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
246,Овча купел,"ПГЕА, ГР.СОФИЯ",Електроенергетика - АЕ,2149,професионална,13/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
247,Овча купел,"ПГЕА, ГР.СОФИЯ",Електрически инсталации - АЕ,2156,професионална,13/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)
