"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
27,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - КитЕ интензивно АЕ,1642,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
28,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - КорЕ интензивно АЕ,1647,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
29,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,1307,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
30,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ",Природни науки - ИЕ интензивно,1308,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз)
31,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ","Икономическо развитие - АЕ интензивно
НЕ",2602,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
32,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2771,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
33,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2773,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
34,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно ФЕ,2775,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
35,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,2777,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
36,Възраждане,"91 НЕГ, ГР.СОФИЯ",Чужди езици - НЕ интензивно,2644,профилирана,0/91/91,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
37,Възраждане,"134. СУ ""Д. Дебелянов"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно,1952,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
38,Възраждане,"134. СУ ""Д. Дебелянов"",
ГР.СОФИЯ",Природни науки - АЕ интензивно,1961,профилирана,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
39,Възраждане,"134. СУ ""Д. Дебелянов"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1968,профилирана,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * ИТ)
40,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Медицинска техника - НЕ,317,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
41,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Измервателна и организационна техника -АЕ,319,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
42,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Кинотехника аудио- и видеосистеми - АЕ,321,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
43,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Очна оптика - АЕ,324,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
44,Възраждане,"НПГПТО ""М.В.Ломоносов"",
ГР.СОФИЯ",Лазерна и оптична техника - АЕ,325,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
