"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 07.08.2024 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
150,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",289.75,0,289.75,289.75,0,289.75
151,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",287.5,0,287.5,326.5,0,326.5
152,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",283.5,283.5,0,307,307,0
153,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",280,0,280,280,0,280
154,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,275.5,0,275.5,275.5,0,275.5
155,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,272.75,272.75,0,272.75,272.75,0
156,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,270.5,270.5,0,270.5,270.5,0
157,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно - АЕ,270,270,293,293,270,293
158,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",270,270,0,273,273,0
159,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",268,268,284.25,284.25,270.75,284.25
160,2213039,"39 Средно училище ""Петър Динеков""",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",263,0,263,263,0,263
161,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4625,Икономическо развитие - АЕ,258,277.5,258,277.5,277.5,258
162,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,256.5,0,256.5,256.5,0,256.5
163,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",254,254,348.5,348.5,259.75,348.5
164,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,254,254,0,254,254,0
165,2212037,"37. Средно училище ""Райна Княгиня""",4470,"Малък и среден бизнес - АЕ разширено, Испански език",251.25,251.25,0,251.25,251.25,0
166,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",247,0,247,263.25,0,263.25
167,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",246,246,0,307.5,307.5,0
168,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,238,0,238,238,0,238
169,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,234,234,0,260,260,0
170,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,232.5,0,232.5,274,0,274
171,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,224.5,0,224.5,224.5,0,224.5
172,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,222.75,0,222.75,222.75,0,222.75
173,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,221,221,0,221,221,0
174,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,218.5,218.5,317,317,218.5,317
175,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,209,209,221,221,209,221
176,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,205.5,205.5,222.5,222.5,218.5,222.5
177,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,203.5,228.5,203.5,273.5,273.5,235.5
178,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,"Електронна търговия - АЕ интензивно, НЕ",203,203,0,203,203,0
179,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",201.5,201.5,0,217,217,0
180,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,200,216,200,239,239,200
181,2217066,"66 Средно училище ""Филип Станиславов""",3935,Бизнес администрация - АЕ интензивно,199.75,0,199.75,199.75,0,199.75
182,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,193,197,193,273.5,273.5,193
183,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4727,Ветеринарен лаборант - АЕ,193,193,211,211,193,211
184,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",193,205,193,205,205,193
185,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,192.75,192.75,194,212,192.75,212
186,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - /ФЕ/,192.25,192.25,315,316,192.25,316
187,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,191,191,0,191,191,0
188,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,191,191,0,210.5,210.5,0
189,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,187,187,0,266,266,0
190,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",181.5,186,181.5,280.5,252.5,280.5
191,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,181.5,181.5,0,181.5,181.5,0
192,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,181,181,220,260.5,260.5,220
193,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,180.5,180.5,0,234,234,0
194,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,178,181,178,230,230,178
195,2210117,117. СУ,0975,Предприемачески,170.75,0,170.75,170.75,0,170.75
196,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",169.5,169.5,0,258.5,258.5,0
197,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,169,169,206.5,231,231,208
198,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),166,166,0,280,280,0
199,2201078,"78. Средно училище ""Христо Смирненски""",0468,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",165,165,180,271.5,165,271.5
200,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,158.5,0,158.5,158.5,0,158.5
201,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,158.5,172,158.5,220,220,158.5
202,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,152.5,0,152.5,152.5,0,152.5
203,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - АЕ,151,151,237.75,237.75,151,237.75
204,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,147,0,147,300,0,300
205,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",142.25,142.25,0,155,155,0
206,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,139,175,139,263.5,263.5,219
207,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника (дуална) - АЕ,139,139,0,215,215,0
208,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,138,138,138,197,179,197
209,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,133,0,133,220.5,0,220.5
210,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,"Производство на хляб, хлебни и сладкарски изделия - АЕ, ГрЕ",132.5,132.5,0,132.5,132.5,0
211,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, НЕ",128,128,152.5,215,196,215
212,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,116,116,0,116,116,0
213,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",116,0,116,116,0,116
214,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4274,Организация и технология на козметичните услуги,112,0,112,112,0,112
215,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,106,159.5,106,303.5,303.5,106
216,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,102,0,102,102,0,102
217,2215170,"170 Средно училище ""Васил Левски""",4779,Предприемачески - АЕ,94,94,0,94,94,0
218,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,90,225,90,225,225,90
219,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,90,90,0,198.5,198.5,0
220,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4272,"Конструиране, моделиране и технология на кожено-галантерийни изделия",79,0,79,178,0,178
221,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4507,Организация на туризма и свободното време - АЕ,78,0,78,87,0,87
222,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,72,72,0,72,72,0
223,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,62,62,0,216,216,0
224,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,52,319.5,52,319.5,319.5,52
225,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,30,30,140,293,293,218
226,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,0,0,0,0,0,0
227,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,0,0,0,0,0,0
228,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,0,0,0,0,0,0
229,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",0,0,0,0,0,0
230,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",0,0,0,0,0,0
231,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",0,0,0,0,0,0
232,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",0,0,0,0,0,0
233,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,0,0,0,0,0,0
234,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,0,0,0,0,0,0
235,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,0,0,0,0,0,0
236,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",0,0,0,0,0,0
237,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",0,0,0,0,0,0
238,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги,0,0,0,0,0,0
239,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4402,"Математически - ИЕ интензивно, АЕ",0,0,0,0,0,0
240,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",0,0,0,0,0,0
241,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",0,0,0,0,0,0
242,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",0,0,0,0,0,0
243,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,0,0,0,0,0,0
244,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ по избор",0,0,0,0,0,0
245,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",0,0,0,0,0,0
246,2204134,"134. средно училище ""Димчо Дебелянов""",1961,"Природни науки - АЕ интензивно, Иврит",0,0,0,0,0,0
247,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",0,0,0,0,0,0
248,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,0,0,0,0,0,0
249,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",0,0,0,0,0,0
250,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",0,0,0,0,0,0
251,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,0,0,0,0,0,0
252,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,0,0,0,0,0,0
253,2210162,"162 Обединено училище ""Отец Паисий""",4591,Изобразително изкуство,0,0,0,0,0,0
254,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,0,0,0,0,0,0
255,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
256,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",0,0,0,0,0,0
257,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",0,0,0,0,0,0
258,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4657,"Предприемачески - АЕ интензивно, ДатЕ",0,0,0,0,0,0
259,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4656,"Предприемачески - АЕ интензивно, НорвЕ",0,0,0,0,0,0
260,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4658,"Предприемачески - НЕ интензивно, ШвЕ",0,0,0,0,0,0
261,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
262,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Природни науки - ИЕ интензивно, НЕ или АЕ",0,0,0,0,0,0
263,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4767,"Обществени науки - Ист/Фил, ИЕ интензивно, АЕ",0,0,0,0,0,0
264,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",0,0,0,0,0,0
265,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",0,0,0,0,0,0
266,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",0,0,0,0,0,0
267,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",0,0,0,0,0,0
268,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,0,0,0,0,0
269,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",0,0,0,0,0,0
270,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,0,0,0,0,0,0
271,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",0,0,0,0,0,0
272,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",0,0,0,0,0,0
273,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Чужди езици - АЕ интензивно, ИЕ, БЗО и ХООС",0,0,0,0,0,0
274,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Природни науки - АЕ интензивно, ИЕ",0,0,0,0,0,0
275,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
276,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",0,0,0,0,0,0
277,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",0,0,0,0,0,0
278,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",0,0,0,0,0,0
279,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",0,0,0,0,0,0
280,2212037,"37. Средно училище ""Райна Княгиня""",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",0,0,0,0,0,0
281,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",0,0,0,0,0,0
282,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,0,0,0,0,0,0
283,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,0,0,0,0,0
284,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",0,0,0,0,0,0
285,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",0,0,0,0,0,0
286,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",0,0,0,0,0,0
287,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,0,0,0,0,0
288,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,0,0,0,0,0
289,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",0,0,0,0,0,0
290,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ разширено,0,0,0,0,0,0
291,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ разширено,0,0,0,0,0,0
292,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",0,0,0,0,0,0
293,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",0,0,0,0,0,0
294,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",0,0,0,0,0,0
295,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - АЕ интензивно, НЕ",0,0,0,0,0,0
296,2213081,"81. Средно училище ""Виктор Юго""",4739,Хуманитарни науки - ЯЕ,0,0,0,0,0,0
297,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,0,0,0,0,0,0
298,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",0,0,0,0,0,0
299,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",0,0,0,0,0,0
300,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",0,0,0,0,0,0
301,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",0,0,0,0,0,0
302,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4765,Обществени науки - РЕ разширено - АЕ,0,0,0,0,0,0
303,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,0,0,0,0,0,0
304,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,0,0,0,0,0,0
305,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Бизнес администрация - РЕ интензивно; АЕ,0,0,0,0,0,0
306,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,0,0,0,0,0,0
307,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,0,0,0,0,0,0
308,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",0,0,0,0,0,0
309,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,0,0,0,0,0,0
310,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",0,0,0,0,0,0
311,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",0,0,0,0,0,0
312,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ ГИ М,0,0,0,0,0,0
313,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,0,0,0,0,0,0
314,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,0,0,0,0,0,0
315,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,0,0,0,0,0,0
316,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,0,0,0,0,0,0
317,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,0,0,0,0,0,0
318,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,0,0,0,0,0,0
319,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,0,0,0,0,0,0
320,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,0,0,0,0,0,0
321,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,0,0,0,0,0,0
322,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,0,0,0,0,0,0
323,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ИЕ",0,0,0,0,0,0
324,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",0,0,0,0,0,0
325,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",0,0,0,0,0,0
326,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",0,0,0,0,0,0
327,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ИЕ",0,0,0,0,0,0
328,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",0,0,0,0,0,0
329,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,0,0,0,0,0,0
330,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4717,Икономика и мениджмънт - ФЕ,0,0,0,0,0,0
331,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,0,0,0,0,0,0
