"СВОБОДНИ МЕСТА ЗА ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2024/ 2025 ГОДИНА ",,,,,,,,,
"Забележки: 
- Оцветените в синьо паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места
- За паралелките с профил ""Физическо възпитание и спорт"" в 28. СУ и 132. СУ документи се подават  в конкретното училище",,,,,,,,,
№,Училище,,Паралелка,,"Брой 
паралелки",Свободни места,,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,
,,,,,,,,,
152,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,1,-,-,
153,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",1,0,-,-,
154,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",1,-,0,2,
155,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",1,4,-,-,
156,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",1,-,0,3,
157,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",1,-,1,0,
158,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,1,0,-,-,
159,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,1,0,-,-,
160,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,1,0,-,-,
161,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,1,0,-,-,
162,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,1,0,-,-,
163,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ ГИ М,1,0,-,-,
164,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,1,0,-,-,
165,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",1,0,-,-,
166,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,4,-,-,
167,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",0.5,1,-,-,
168,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,2,-,-,
169,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",1,0,-,-,
170,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",4674,"Театрален грим и перуки, АЕ, ФЕ",0.5,0,-,-,
171,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,1,0,-,-,
172,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,1,0,-,-,
173,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,1,1,-,-,
174,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,1,0,-,-,
175,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,1,0,-,-,
176,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,1,1,-,-,
177,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,1,0,-,-,
178,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,1,2,-,-,
179,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,1,0,-,-,
180,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,1,1,-,-,
181,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,1,0,-,-,
182,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,1,1,-,-,
183,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4388,Оперативно счетоводство - АЕ,1,0,-,-,
184,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4717,Икономика и мениджмънт - ФЕ,1,0,-,-,
185,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,1,10,-,-,
186,2212037,"37. Средно училище ""Райна Княгиня""",4470,"Малък и среден бизнес - АЕ разширено, Испански език",1,11,-,-,
187,2212037,"37. Средно училище ""Райна Княгиня""",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",1,26,-,-,
188,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,0,-,-,
189,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",1,3,-,-,
190,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",1,2,-,-,
191,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",1,13,-,-,
192,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",1,6,-,-,
193,2212079,"79 средно училище ""Индира Ганди""",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,1,-,-,
194,2212079,"79 средно училище ""Индира Ганди""",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",1,0,-,-,
195,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",1,0,-,-,
196,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,0,-,-,
197,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",1,3,-,-,
198,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",1,1,-,-,
199,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",1,0,-,-,
200,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,1,1,-,-,
201,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,1,0,-,-,
202,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,1,2,-,-,
203,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",1,0,-,-,
204,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",1,0,-,-,
205,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,2,-,-,
206,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",1,2,-,-,
207,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",1,1,-,-,
208,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",1,0,-,-,
209,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",1,2,-,-,
210,2213039,"39 Средно училище ""Петър Динеков""",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",1,1,-,-,
211,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,1,0,-,-,
212,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,1,1,-,-,
213,2213081,"81. Средно училище ""Виктор Юго""",4739,Хуманитарни науки - ЯЕ,1,0,-,-,
214,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,1,-,-,
215,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,1,-,-,
216,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,1,1,-,-,
217,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,1,2,-,-,
218,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,1,1,-,-,
219,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,1,0,-,-,
220,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно - АЕ,1,2,-,-,
221,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",1,1,-,-,
222,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",4460,"Бизнес администрация - ИЕ, АЕ",1,0,-,-,
223,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,5,-,-,
224,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,1,-,-,
225,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,1,6,-,-,
226,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,1,2,-,-,
227,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,3,2,-,-,
228,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,1,0,-,-,
229,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,1,3,-,-,
230,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,1,5,-,-,
231,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Застрахователно и осигурително дело,1,20,-,-,
232,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",1,2,-,-,
233,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,0,-,-,
234,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",1,1,-,-,
235,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",1,1,-,-,
236,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,0,-,-,
237,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,1,8,-,-,
238,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,1,1,-,-,
239,2215170,"170 Средно училище ""Васил Левски""",4779,Предприемачески - АЕ,1,8,-,-,
240,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,1,16,-,-,
241,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",1,0,-,-,
242,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - БЗО и ХООС - ИЕ интензивно, АЕ",1,1,-,-,
243,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",1,2,-,-,
244,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",1,1,-,-,
245,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",1,5,-,-,
246,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",1,-,0,0,
247,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",2,-,1,0,
248,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",2,-,0,0,
249,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",1,-,0,0,
250,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",1,-,0,2,
251,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",2,-,0,1,
252,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",2,-,0,2,
253,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",2,-,0,0,
254,2216301,Първа английска езикова гимназия,3349,"Предприемачески - АЕ интензивно, НЕ",1,-,0,0,
255,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),2,0,-,-,
256,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),2,0,-,-,
257,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",4486,Математически (математика и физика) - АЕ (РИЧЕ),2,0,-,-,
258,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,1,22,-,-,
259,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,1,10,-,-,
260,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,1,0,-,-,
261,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,1,0,-,-,
262,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,1,0,-,-,
263,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,1,0,-,-,
264,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,1,0,-,-,
265,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,1,2,-,-,
266,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,1,-,-,
267,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,1,0,-,-,
268,2217066,"66 Средно училище ""Филип Станиславов""",3935,Бизнес администрация - АЕ интензивно,1,13,-,-,
269,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,1,3,-,-,
270,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,1,3,-,-,
271,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,2,-,-,
272,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,"Електронна търговия - АЕ интензивно, НЕ",1,2,-,-,
273,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4623,Изобразително изкуство - АЕ,1,1,-,-,
274,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4625,Икономическо развитие - АЕ,1,2,-,-,
275,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,1,11,-,-,
276,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,1,11,-,-,
277,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,2,30,-,-,
278,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,15,-,-,
279,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,1,3,-,-,
280,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,4333,Програмиране на роботи - АЕ,1,10,-,-,
281,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,0.5,1,-,-,
282,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,0.5,5,-,-,
283,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4727,Ветеринарен лаборант - АЕ,1,12,-,-,
284,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,1,21,-,-,
285,2218071,"71 Средно училище ""Пейо Яворов""",4445,Предприемачески,1,9,-,-,
286,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,1,0,-,-,
287,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,1,4,-,-,
288,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,1,-,-,
289,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,0,-,-,
290,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,1,3,-,-,
291,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Бизнес администрация - РЕ интензивно; АЕ,1,0,-,-,
292,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,Природни науки - АЕ разширено; РЕ,1,0,-,-,
293,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,1,0,-,-,
294,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",1,3,-,-,
295,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,1,25,-,-,
296,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",1,3,-,-,
297,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, АЕ",1,4,-,-,
298,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",1,3,-,-,
299,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",1,1,-,-,
300,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,1,1,-,-,
301,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,1,1,-,-,
302,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,1,0,-,-,
303,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,1,1,-,-,
304,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""",1530,Готвач,1,4,-,-,
305,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,1,1,-,-,
306,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",1,0,-,-,
307,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,0,-,-,
308,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",1,0,-,-,
309,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",1,0,-,-,
310,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",1,1,-,-,
311,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",1,2,-,-,
312,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",2,4,-,-,
313,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",1,1,-,-,
314,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",1,1,-,-,
315,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,1,-,-,
316,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4765,Обществени науки - РЕ разширено - АЕ,1,0,-,-,
317,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,1,0,-,-,
318,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер,1,0,-,-,
319,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",1,2,-,-,
320,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",1,1,-,-,
321,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",1,1,-,-,
322,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",1,1,-,-,
323,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",5,8,-,-,
324,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,1,0,-,-,
325,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,1,6,-,-,
326,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),0.5,9,-,-,
327,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),0.5,5,-,-,
328,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,1,18,-,-,
329,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,1,17,-,-,
330,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",2,1,-,-,
331,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",1,2,-,-,
332,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",1,1,-,-,
333,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - АЕ интензивно, НЕ",1,0,-,-,
334,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",3,-,1,0,
335,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",3,-,1,0,
336,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",1,-,0,0,
