"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2024 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
140,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",360,360,360.5,409.5,409.5,403.5
141,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Природни науки - АЕ интензивно, ИЕ",356.5,357.5,356.5,431,396,431
142,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",356,356,358,415.5,412.5,415.5
143,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,352,352,357.5,435.5,435.5,357.5
144,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4658,"Предприемачески - НЕ интензивно, ШвЕ",351.5,351.5,358,437.5,400,437.5
145,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",351.5,351.5,353,432.25,404.25,432.25
146,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",350,350,350,444.5,416,444.5
147,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",349,351.5,349,422,422,408.5
148,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",349,349,350,421,421,407
149,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,348,359,348,424.5,362.25,424.5
150,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - АрЕ интензивно, АЕ",348,348.5,348,391.5,374,391.5
151,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",347,347.5,347,423.5,403,423.5
152,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",346.5,346.5,347,432.5,424,432.5
153,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,344.75,344.75,346.75,398.5,374.5,398.5
154,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",344,0,344,414,0,414
155,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",343.75,0,343.75,395.25,0,395.25
156,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",341.25,341.25,353.25,386.25,386.25,386.25
157,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4656,"Предприемачески - АЕ интензивно, НорвЕ",340.5,340.5,345,389.5,388.5,389.5
158,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",339.5,339.75,339.5,407,407,396.5
159,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",339.5,340,339.5,396.5,365,396.5
160,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4657,"Предприемачески - АЕ интензивно, ДатЕ",339.5,339.5,340,425.5,382,425.5
161,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,339,339,344.5,425,425,356
162,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ или ИЕ",336,336,336.5,388.5,386,388.5
163,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",336,349,336,439.75,401.25,439.75
164,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,334.75,334.75,0,432.5,432.5,0
165,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",334,334,334.5,379,366,379
166,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",332,335.5,332,382.5,378.5,382.5
167,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,330.75,330.75,332,417.5,383.5,417.5
168,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",330.5,330.5,330.5,382,358.5,382
169,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",329.75,329.75,331.5,399.5,374.75,399.5
170,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",328.75,328.75,329.25,367.5,364.25,367.5
171,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,325.5,325.5,330,444.5,444.5,408
172,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,325.5,325.5,328,423.5,378,423.5
173,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,325,325,329.5,460.5,460.5,459.5
174,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ или НЕ",324.75,330,324.75,400.75,390.5,400.75
175,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4765,Обществени науки - РЕ разширено - АЕ,323.5,323.5,327.25,387.25,364,387.25
176,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",323,323,323,406,406,377
177,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,322.75,322.75,324.25,387.25,380.25,387.25
178,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",322,322,339.5,396.5,388.5,396.5
179,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",319,321,319,431.5,352.5,431.5
180,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",318,318,318,370,370,363.5
181,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,316,316,318.75,391.75,390.25,391.75
182,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,314.25,314.25,0,394.25,394.25,0
183,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",313.25,370.5,313.25,395.25,370.5,395.25
184,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,313.25,313.25,317,381.75,364.25,381.75
185,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",310,310,314,416.5,359,416.5
186,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,308.5,308.5,317.75,368,338.5,368
187,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",306,306,307,432,403,432
188,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,305.75,305.75,313.75,368.75,360,368.75
189,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ; ИЕ,305.5,345.5,305.5,428.5,428.5,350.5
190,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,305.5,306.75,305.5,384.75,384.75,327.75
191,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",304.5,312,304.5,401,401,340.5
192,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,303.5,303.5,306.5,368.5,368.5,325.5
193,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,302,304.25,302,405,397,405
194,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",301,315,301,423.75,357.75,423.75
195,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Природни науки - ИЕ интензивно, НЕ или АЕ",300.5,301,300.5,404,378,404
196,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, АЕ",298.5,298.5,300,380.25,380.25,364.75
197,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4623,Изобразително изкуство - АЕ,297.75,298,297.75,413.75,372.5,413.75
198,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,297.5,298,297.5,421,421,413.5
199,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,297,297,299.75,408.25,375.75,408.25
200,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",295,296.5,295,372.5,344.5,372.5
201,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",291.5,293.25,291.5,395,395,318.75
202,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,291.25,291.25,294.25,365,337.25,365
203,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",290,296,290,413,364.5,413
204,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",289.5,289.5,297,389,358.5,389
205,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",288,288,288,354.5,326.5,354.5
206,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",288,288,293,378.5,378.5,368
207,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",287.5,292,287.5,397.5,397.5,376
208,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",285,293,285,381.5,293,381.5
209,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,283.5,284,283.5,367.75,356.75,367.75
210,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",282,283.5,282,381,381,349.5
211,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,281.75,281.75,335,420.75,414,420.75
212,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,281.75,281.75,284,382.75,382.75,346.5
213,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",280,280,281,399,316.25,399
214,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,279.5,280,279.5,334,314.5,334
215,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",4674,"Театрален грим и перуки, АЕ, ФЕ",279,361.75,279,399.5,361.75,399.5
216,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,278.5,280,278.5,376.5,310.5,376.5
217,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",278.25,280.25,278.25,392.75,392.75,349.75
218,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",278,278,278.5,417,350.5,417
219,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,276.25,276.25,0,381.75,381.75,0
220,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,276.25,0,276.25,345,0,345
221,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",276,276,276,353,353,290
222,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",4500,"Програмиране на изкуствен интелект - АЕ интензивно, КитЕ",275.75,275.75,279.25,342,342,325
223,2213081,"81. Средно училище ""Виктор Юго""",4739,Хуманитарни науки - ЯЕ,274.5,276,274.5,405,351,405
224,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",274.25,280.25,274.25,391,391,344.5
225,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",272.75,276.25,272.75,404.25,354.75,404.25
226,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",271,271,275.5,333.5,333.5,314.5
227,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, КитЕ/ГрЕ",270,270,277,399.5,335.5,399.5
228,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника (дуална) - АЕ,270,270,388,388,368,388
229,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",269.5,269.5,271,362,354,362
230,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",268,268,269.25,397,348.25,397
231,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,266.25,266.25,272.5,403,397,403
232,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,266,266,311.25,378.25,378.25,311.25
233,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,263,263,0,384,384,0
234,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",261.5,264,261.5,334,334,262.5
235,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,256,256,263.5,406.5,296.5,406.5
236,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",255.5,255.5,272.25,395.5,363.75,395.5
237,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,255.25,255.25,259,380.25,323.25,380.25
238,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,254.5,254.5,0,377.5,377.5,0
239,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",253.5,253.5,254.5,417.5,417.5,310
240,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,252.5,289.75,252.5,332,332,330
241,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",252,260,252,356.75,340.75,356.75
242,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,250,250,250.5,337,322.5,337
243,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,249,249,269.5,412.75,412.75,272.25
244,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",4665,Осигурителни и комуникационни системи в ж.п. инфраструктура - АЕ,248,0,248,248,0,248
245,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",247.5,247.5,262,396,396,394.75
246,2212037,"37. Средно училище ""Райна Княгиня""",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",245.5,245.5,0,245.5,245.5,0
247,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автотранспортна техника (дуална) - АЕ,239,239,270.5,311,311,270.5
248,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,238.5,238.5,243,360.5,360.5,274
249,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4625,Икономическо развитие - АЕ,236.5,236.5,236.5,367.5,349,367.5
250,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",235.75,237.5,235.75,342,340.25,342
251,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,235.5,252,235.5,396.5,352,396.5
252,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",235,244,235,346,283,346
253,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,Извършване на термални процедури - АЕ,235,245.75,235,372.5,372.5,337
254,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,234,234,235,288.5,288.5,287
255,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,234,234,0,333.5,333.5,0
256,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",232.5,232.5,234,417.5,324.5,417.5
257,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",232,232,234,365.5,342,365.5
258,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",230.5,232,230.5,354,354,276
259,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",230,230,238,366.5,366.5,326
260,2209132,"132. Средно училище ""Ваня Войнова""",0424,Помощник-инструктор по спортно туристическа дейност - АЕ,229.75,229.75,244.75,343.25,343.25,305.75
261,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,229.5,229.5,231.5,336.5,336.5,324
262,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",229,229,256,381,346,381
263,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,229,0,229,243,0,243
264,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ интензивно, РЕ",228,228,232,371,371,331
265,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",226,226,231.25,443.5,293.5,443.5
266,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",225.5,225.5,231,398,398,376
267,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",223.25,230,223.25,391.25,344.25,391.25
268,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",223,226,223,374.5,346.5,374.5
269,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,222,223,222,307.5,307,307.5
270,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,221,221,226.75,329,329,244.25
271,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",220,220,222,368.5,337,368.5
272,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,220,220,221,363,342,363
273,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,216,222,216,370.75,297,370.75
274,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,212,213,212,322.5,322.5,296.5
275,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,211.5,211.5,246,351,315,351
276,2213039,"39 Средно училище ""Петър Динеков""",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",209,209,216.5,426,236.5,426
277,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ разширено,208.5,213,208.5,379.5,285,379.5
278,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",208,208,212,345.5,264,345.5
279,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,207,207,207.5,299,262,299
280,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",204,204,204.5,407,327,407
281,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,203.5,203.5,206,287.5,264,287.5
282,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,200,200,209.5,361.25,324.5,361.25
283,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,199,203,199,310.5,310.5,279.5
284,2210162,"162 Обединено училище ""Отец Паисий""",4591,Изобразително изкуство,198,198,222.5,360.5,323.5,360.5
285,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",196,205,196,376.5,376.5,312
286,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,196,196,243,310,310,243
287,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",193,193,201,386,386,312
288,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",190,191.5,190,321.25,290,321.25
289,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,187,187,0,337.5,337.5,0
290,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",185,190,185,308,308,288
291,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",185,185,196,376.5,362.5,376.5
292,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,185,0,185,259,0,259
293,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,181,181,192.5,320,311.5,320
294,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници (дуална) - АЕ,181,181,226,285,285,226
295,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,178.25,178.25,183.25,378.75,276.5,378.75
296,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,178,182,178,275.5,275.5,245.5
297,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",177.5,177.5,183,383,336.75,383
298,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,174.5,316.25,174.5,446.25,384,446.25
299,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,172,172,180.5,432,432,352.5
300,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,167,167,0,386.5,386.5,0
301,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,165,165,277,423,402.5,423
302,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,163,163,176,430,298,430
303,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,162.5,162.5,185,335,318.5,335
304,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,160.5,160.5,187.25,398.25,384.75,398.25
