"СВОБОДНИ МЕСТА СЛЕД ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2024/ 2025 ГОДИНА ",,,,,,,,,
"Забележка: 
- Паралелките на сив фон са без свободни места към 12.08.2024 г.",,,,,,,,,
,,,,,,,,,
№,Училище,,Паралелка,,брой паралелки,Свободни места,,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,
,,,,,,,,,
351,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,-,-,-,
352,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,1,-,-,-,
353,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,1,1,-,-,
354,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,1,3,-,-,
355,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,1,1,-,-,
356,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,1,-,-,-,
357,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,1,1,-,-,
358,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,1,-,-,-,
359,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ",3,-,-,-,
360,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ",3,-,-,-,
361,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ",1,-,-,-,
362,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ",1,1,-,-,
363,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Обществени науки - Ист/Фил, АЕ интензивно, ИЕ",1,1,-,-,
364,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",1,2,-,-,
365,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",1,-,-,-,
366,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4766,"Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ",1,1,-,-,
367,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4767,"Обществени науки - Ист/Фил, ИЕ интензивно, АЕ",1,-,-,-,
368,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",1,1,-,-,
369,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",1,-,-,-,
370,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",1,-,-,-,
371,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",2,-,-,1,
372,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",1,-,1,-,
373,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",1,-,-,-,
374,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ; ИЕ,1,-,-,-,
375,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",1,-,-,-,
376,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",1,-,-,-,
377,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,Интериорен дизайн - ИтЕ,1,-,-,-,
378,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - АЕ,1,-,-,2,
379,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,1,-,-,-,
380,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,Интериорен дизайн - ФЕ,1,1,-,-,
381,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ИЕ",1,-,-,-,
382,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",1,-,-,1,
383,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",1,-,-,-,
384,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",1,-,-,-,
385,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ИЕ",2,-,-,-,
386,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ИЕ",1,-,-,-,
387,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",1,-,-,-,
388,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",1,-,-,-,
389,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",1,-,-,-,
,,,,ВСИЧКО:,418,724,3,8,
