"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2022/ 2023 ГОДИНА ",,,,,,,
,,,,,,,
"Забележки: 
- Оцветените в зелено паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места",,,,,,,
№ по ред,Училище,,Паралелка,,Места,,
,Код,Име,Код,Име,Общо,Мъже,Жени
,,,,,,,
204,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",5,,
205,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер /АЕ/,4,,
206,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,6,,
207,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,4,,
208,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,"Предприемачески - АЕ интензивно, РЕ",2,,
209,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,"Природни науки - АЕ интензивно, РЕ",15,,
210,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",4,,
211,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,"Чужди езици - РЕ интензивно, АЕ",15,,
212,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,,,
213,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,Софтуерни и хардуерни науки - АЕ интензивно,5,,
214,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,Софтуерни и хардуерни науки - АЕ разширено,1,,
215,2212097,"97 Средно училище ""Братя Миладинови""",3037,Предприемачески - АЕ,4,,
216,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ интензивно,,,
217,2212097,"97 Средно училище ""Братя Миладинови""",2512,"Търговия (дуална) - АЕ, НЕ",1,,
218,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2030,"Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ",,1,
219,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2028,"Чужди езици - АЕ интензивно, ИЕ, ИЦ, БЕЛ",,2,2
220,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ, М, ГИ",,1,
221,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2020,"Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ",,,
222,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",,,1
223,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",,,
224,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ, М, ИТ",,1,1
225,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ,1,,
226,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,2,,
227,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,,,
228,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,2,,
229,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,,,
230,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,,,
231,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,,,
232,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,3,,
233,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",4,,
234,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,,,
235,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,2,,
236,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,1,,
237,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,2,,
238,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,1,,
239,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, НЕ",,1,
240,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",,1,1
241,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",,1,
242,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",,,1
243,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, НЕ",,,5
244,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",,,1
245,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - НЕ интензивно, АЕ",,2,1
246,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, НЕ",,2,
247,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",,1,
248,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,1,,
249,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,,,
250,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,,,
251,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2768,Икономика и мениджмънт - ФЕ,,,
252,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,,,
253,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,1,,
254,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",13,,
255,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",,,
256,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,3,,
257,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,2,,
258,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,1,,
259,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,2,,
260,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,6,,
261,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,,,
262,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,"Графичен дизайн - АЕ, ИтЕ",2,,
263,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,"Интериорен дизайн - ИтЕ, АЕ",,,
264,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,"Интериорен дизайн- НЕ, АЕ",,,
265,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,"Интериорен дизайн - ФЕ, ИтЕ",1,,
266,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,"Рекламна графика - АЕ, ИтЕ",4,,
267,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,2,,
268,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ (дуална),24,,
269,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,7,,
270,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,18,,
271,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414,Технология на хомеопатичните и фитопродукти,25,,
272,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3670,Електрически инсталации - АЕ,10,,
273,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3081,Електродомакинска техника - АЕ,9,,
274,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,13,,
275,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,9,,
276,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,22,,
277,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,29,,
278,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,19,,
279,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,17,,
280,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,14,,
281,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,20,,
282,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,7,,
283,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",3,,
284,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",5,,
285,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",4,,
286,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",7,,
287,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ИтЕ",2,,
288,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),24,,
289,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,20,,
290,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,17,,
291,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2905,Каменоделство,21,,
292,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,14,,
293,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,15,,
294,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1856,Бутикови облекла,3,,
295,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1868,Конструиране моделиране и технология на обувни изделия (дуална),2,,
296,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,11,,
297,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,5,,
298,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,1,,
299,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,,,
300,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,2,,
301,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,1,,
302,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,,,
303,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,2,,
304,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",12,,
305,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,11,,
306,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",8,,
307,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",17,,
308,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,4,,
309,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,16,,
310,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,22,,
311,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,9,,
312,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),12,,
313,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),9,,
314,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ (дуална),,,
315,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),2,,
316,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - техник (дуална) - АЕ,,,
317,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,5,,
318,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,10,,
319,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,3,,
320,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ (дуална),,,
321,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,7,,
322,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),18,,
323,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,6,,
324,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,,,
325,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),2,,
326,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,4,,
327,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,21,,
328,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,9,,
329,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,3,,
330,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба",5,,
331,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство на месо месни продукти и риба - АЕ,18,,
332,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,,,
333,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",4092,Компютърна графика - АЕ,2,,
334,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",13,,
335,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",11,,
336,2216301,Първа английска езикова гимназия,3349,"Предприемачество - АЕ интензивно, НЕ",,,
337,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",,1,2
338,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",,1,
339,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",,1,
340,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",,1,
341,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,1,,
342,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,1,,
343,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,,,
344,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,,,
345,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,1,,
346,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,,,
347,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,,,
348,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,9,,
349,2208413,Софийска гимназия по хлебни и сладкарски технологии,0573,Контрол на качеството и безопасност на храни и напитки - АЕ,22,,
350,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,10,,
351,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,7,,
352,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Сътрудник в малък и среден бизнес - АЕ,24,,
353,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),,,
354,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2278,Математически (математика и информатика) - НЕ (ИИЧЕ),,,
355,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3907,Математически (математика и физика) - АЕ (РИЧЕ),1,,
356,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),1,,
357,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",13,,
358,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,"Икономическо информационно осигуряване - АЕ, РЕ",7,,
359,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,"Индустриални отношения - АЕ, РЕ",9,,
360,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,1,,
361,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,"Промишлен дизайн - АЕ, РЕ",11,,
362,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,"Съдебна администрация - АЕ, РЕ",3,,
363,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,"Фотография - АЕ, РЕ",1,,
364,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,2,,
365,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",,,
366,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",2,,
367,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2366,"Микропроцесорна техника - АЕ, НЕ",1,,
368,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2338,"Приложно програмиране - АЕ, НЕ",1,,
369,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",1,,
370,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",1,,
371,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,,,
372,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,1,,
373,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,3,,
374,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,,
375,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,7,,
376,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,3,,
377,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,1,,
378,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,,,
379,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,2,,
,,,,Общо:,1612,30,31
,,,,,,,
,"Забележка: Свободни места има и в паралелките с профил ""Физическо възпитание и спорт"" в 132. СУ ""Ваня Войнова"" и 28. СУ ""Алеко Константинов"". За прием в тях документи се подават в самото училище.",,,,,,
