,,,,,,,,,,
,"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2022/ 2023 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,
,,,,,,,,,,
№,Район,Училище,Идентификатор / КОД,Паралелка ,Тип,Балообразуване,Брой паралелки,Общо основание,Мъже,Жени
22,Връбница,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн /,професионална,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),0.5,13,0,0
23,Възраждане,"18 Средно училище  ""Уилям Гладстон""",897,Чужди езици - НЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
24,Възраждане,"18 Средно училище  ""Уилям Гладстон""",902,Природни науки - АЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
25,Възраждане,"18 Средно училище  ""Уилям Гладстон""",905,Чужди езици - ФЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
26,Възраждане,"18 Средно училище  ""Уилям Гладстон""",1631,Чужди езици - ЯЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
27,Възраждане,"18 Средно училище  ""Уилям Гладстон""",1637,Чужди езици - АрЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
28,Възраждане,"18 Средно училище  ""Уилям Гладстон""",1642,Чужди езици - КитЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
29,Възраждане,"18 Средно училище  ""Уилям Гладстон""",1647,Чужди езици - КорЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
30,Възраждане,"18 Средно училище  ""Уилям Гладстон""",3931,Природни науки - ФЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
31,Възраждане,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,Чужди езици - ИЕ интензивно /АЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
