"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 29.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
149,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,287,287,0,335,335,0
150,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,286,286,298.5,323.75,323.75,298.5
151,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",285,285.5,285,392,341,392
152,2213039,"39 Средно училище ""Петър Динеков""",4110,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",285,285,344.5,344.5,285,344.5
153,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",284.5,0,284.5,325.25,0,325.25
154,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,284.5,0,284.5,284.5,0,284.5
155,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",283,307.5,283,308,307.5,308
156,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,281.25,303.5,281.25,303.5,303.5,281.25
157,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",280,299,280,303,299,303
158,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,279.75,279.75,338.5,349.75,349.75,344.25
159,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,279.5,0,279.5,320,0,320
160,2212079,"79 средно училище ""Индира Ганди""",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",278.5,0,278.5,278.5,0,278.5
161,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",278,278,0,294.25,294.25,0
162,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",278,278,292,347.5,347.5,313.5
163,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,275.75,278.25,275.75,278.25,278.25,275.75
164,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,274.5,274.5,0,274.5,274.5,0
165,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Предприемачески - АЕ интензивно, НЕ",273.5,0,273.5,300.5,0,300.5
166,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,271.5,0,271.5,271.5,0,271.5
167,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,270,270,0,278.5,278.5,0
168,2209132,"132. Средно училище ""Ваня Войнова""",0423,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",269.5,279.5,269.5,326.5,326.5,309.25
169,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",269,269,0,269,269,0
170,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,268.5,271,268.5,271,271,268.5
171,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,268,268,272.25,405.5,268,405.5
172,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",267.5,0,267.5,294.5,0,294.5
173,2213010,"10 Средно училище "" Теодор Траянов """,2101,Обществени науки - АЕ,267,289.75,267,289.75,289.75,274.75
174,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,264,264,356.5,356.5,301.5,356.5
175,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",263.5,296.5,263.5,380,296.5,380
176,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,Софтуерни и хардуерни науки - АЕ интензивно,262,263,262,285,285,262
177,2212303,"33. Езикова гимназия ""Света София""",2762,"Чужди езици - АЕ интензивно, НЕ",256,264.5,256,396.5,396.5,316
178,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),254,254,0,314.5,314.5,0
179,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,253.25,253.25,0,253.25,253.25,0
180,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",252,252,262.5,325,325,318.5
181,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",250,250,0,255,255,0
182,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",250,250,270,297,297,270
183,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,247.5,0,247.5,259,0,259
184,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",246,0,246,289,0,289
185,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,245,247.5,245,305.5,282,305.5
186,2218071,"71 Средно училище ""Пейо Яворов""",1725,Икономическо развитие,243.5,0,243.5,243.5,0,243.5
187,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,"Предприемачески - АЕ интензивно, РЕ",243,243,258,258,243,258
188,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,242,250.5,242,290.5,250.5,290.5
189,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,239,239,267,267,239,267
190,2209036,"36 Средно училище ""Максим Горки""",0784,Природни науки - АЕ интензивно/ ИтЕ,238.75,371.5,238.75,371.5,371.5,238.75
191,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,237.25,237.25,0,314.25,314.25,0
192,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,236,236,240.5,251,251,240.5
193,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",236,292.25,236,425.5,292.25,425.5
194,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",235,235,237.5,310,235,310
195,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,232.5,232.5,0,242.25,242.25,0
196,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",229.5,229.5,285.5,300,300,285.5
197,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,"Икономическо информационно осигуряване - АЕ, РЕ",224.5,225,224.5,273.5,226,273.5
198,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",222.25,236.75,222.25,332,332,302.75
199,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",221.5,221.5,0,293.5,293.5,0
200,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,221.25,221.25,337,337,222.5,337
201,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,219,0,219,278.75,0,278.75
202,2213010,"10 Средно училище "" Теодор Траянов """,3075,Природни науки - АЕ,216.5,228,216.5,256,228,256
203,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,213,0,213,213,0,213
204,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,212,212,234.5,327,212,327
205,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,Софтуерни и хардуерни науки - АЕ интензивно,211.5,211.5,221,303.5,303.5,221
206,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,Софтуерни и хардуерни науки - АЕ разширено,211,0,211,211,0,211
207,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),210,0,210,210,0,210
208,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,210,218,210,218,218,213
209,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),208.5,208.5,0,239,239,0
210,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,203,0,203,203,0,203
211,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,201,201,0,231.5,231.5,0
212,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414,Технология на хомеопатичните и фитопродукти,198,0,198,198,0,198
213,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",197.5,0,197.5,213.5,0,213.5
214,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,196.25,197.25,196.25,227,197.25,227
215,2202026,"26 Средно училище ""Йордан Йовков""",0965,Софтуерни и хардуерни науки - АЕ интензивно,196,196,228,228,225,228
216,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,"Промишлен дизайн - АЕ, РЕ",196,214,196,296,243,296
217,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,194.5,0,194.5,361,0,361
218,2208413,Софийска гимназия по хлебни и сладкарски технологии,0573,Контрол на качеството и безопасност на храни и напитки - АЕ,194.5,194.5,0,194.5,194.5,0
219,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",193,193,193,215,193,215
220,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,192,0,192,192,0,192
221,2201078,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,191,208,191,288,259,288
222,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",186,186,0,236,236,0
223,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",178.5,178.5,0,233.5,233.5,0
224,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",177,177,177.5,266,266,187.5
225,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,"Индустриални отношения - АЕ, РЕ",175.5,175.5,179.5,245.5,245.25,245.5
226,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",175,0,175,175,0,175
227,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,173,173,207,287.5,173,287.5
228,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,170.5,170.5,0,230.5,230.5,0
229,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба",168.25,0,168.25,168.25,0,168.25
230,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,164,164,0,214,214,0
231,2208123,"123 Средно училищe ""Стефан Стамболов""",3674,Логистика на товари и услуги /НЕ/,159,0,159,220,0,220
232,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,159,159,174,260,159,260
233,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,158,0,158,189,0,189
234,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ (дуална),158,0,158,158,0,158
235,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,157,157,0,197,197,0
236,2212079,"79 средно училище ""Индира Ганди""",3988,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",156.5,156.5,186,224.5,224.5,188
237,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,153,153,213.5,333,227,333
238,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,153,211,153,211,211,153
239,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",152,152,0,211,211,0
240,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",151.25,160.5,151.25,290,160.5,290
241,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,149.5,149.5,174.5,174.5,149.5,174.5
242,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",147.25,219,147.25,228.75,228.75,204
243,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",142.5,142.5,256.5,256.5,242.5,256.5
244,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,140,140,163,302.5,302.5,164
245,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,137,137,0,206,206,0
246,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,136,158,136,272.5,272.5,136
247,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,135,135,0,207,207,0
248,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",132,132,137,243,132,243
249,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,131.5,131.5,0,146,146,0
250,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,130,130,165,248,248,199
251,2215170,"170 Средно училище ""Васил Левски""",3971,Софтуерни и хардуери науки - АЕ,129,129,273,273,129,273
252,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,126,126,129,216.5,207,216.5
253,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,125,125,0,225.5,225.5,0
254,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",120,120,0,215,215,0
255,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,"Чужди езици - РЕ интензивно, АЕ",119,129,119,227,227,212
256,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",117,117,183.5,223.5,223.5,183.5
257,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,116,116,149,239.5,152,239.5
258,2208028,"28 Средно училище ""Алеко Константинов""",3868,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",115,115,173,203.5,203.5,173
259,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,114.5,114.5,254.5,306.5,223,306.5
260,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",4043,"Икономическо развитие-НЕ интензивно, АЕ",113,149.75,113,308.75,308.75,223.5
261,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,113,159,113,175,175,113
262,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,112.5,112.5,0,217.75,217.75,0
263,2206003,"3. СУ ""Марин Дринов""",2913,Изобразително изкуство - РЕ,110,110,412.25,412.25,255,412.25
264,2214015,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,108,108,113,196,196,113
265,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,108,108,0,160.5,160.5,0
266,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,108,237,108,286.5,286.5,179
267,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",103,151,103,291,151,291
268,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,101.5,101.5,0,141,141,0
269,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,100,196,100,196,196,100
270,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,100,100,144,207,207,144
271,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,99,0,99,99,0,99
272,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,98,98,0,207,207,0
273,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,96,96,0,229.75,229.75,0
274,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,93,93,0,243.5,243.5,0
275,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,92,92,143,285.5,285.5,234.5
276,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер /АЕ/,92,92,229,229,92,229
277,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,91,91,199,199,91,199
278,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство на месо месни продукти и риба - АЕ,91,102.5,91,255.25,166.5,255.25
279,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,88,88,0,160.25,160.25,0
280,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,87,87,0,87,87,0
281,2217066,"66 Средно училище ""Филип Станиславов""",3935,Предприемачески,87,87,0,199,199,0
282,2219095,"95 СУ ""Проф. Иван Шишманов""",2459,"Природни науки - АЕ интензивно, РЕ",87,87,134.75,176.5,176.5,134.75
283,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,86,86,103,162,162,103
284,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,86,86,0,130,130,0
285,2212037,"37. Средно училище ""Райна Княгиня""",2110,"Предприемачески - АЕ разширено, РЕ",85.5,85.5,0,85.5,85.5,0
286,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",82.5,82.5,177,353.25,208.5,353.25
287,2210117,117. СУ,0975,Софтуерни и хардуерни науки,76,101.5,76,242.5,242.5,76
288,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,73,73,0,150,150,0
289,2212056,"56. Средно училище ""Професор Константин Иречек""",3639,"Брокер недвижими имоти - АЕ, РЕ",72,72,231,244,163,244
290,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),72,72,0,168,168,0
291,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,70,0,70,76,0,76
292,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,68,100,68,210,100,210
293,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,68,68,146,201.5,80,201.5
294,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,63,63,77,255,107,255
295,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2905,Каменоделство,60,60,0,60,60,0
296,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1856,Бутикови облекла,60,60,60,217.5,60,217.5
297,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",59,0,59,159,0,159
298,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,54.5,61,54.5,193.75,193.75,178.5
299,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,54,0,54,133,0,133
300,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1868,Конструиране моделиране и технология на обувни изделия (дуална),49,49,0,49,49,0
301,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),42,70,42,140,140,42
302,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",41,41,89,232,150,232
303,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,30,0,30,116,0,116
304,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,30,30,127,234,234,127
305,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,30,30,256.5,256.5,30,256.5
306,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,0,0,0,0,0,0
307,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,0,0,0,0,0,0
308,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,0,0,0,0,0,0
309,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,0,0,0,0,0,0
310,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,0,0,0,0,0,0
311,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",0,0,0,0,0,0
312,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",0,0,0,0,0,0
313,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",0,0,0,0,0,0
314,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,Чужди езици - НЕ интензивно,0,0,0,0,0,0
315,2219130,"130. средно училище ""Стефан Караджа""",2236,Продавач-консултант,0,0,0,0,0,0
316,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",0,0,0,0,0,0
317,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн /,0,0,0,0,0,0
318,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,0,0,0,0,0,0
319,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
320,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",0,0,0,0,0,0
321,2204018,"18 Средно училище ""Уилям Гладстон""",0902,Природни науки - АЕ интензивно,0,0,0,0,0,0
322,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3947,Предприемачески - НЕ интензивно,0,0,0,0,0,0
323,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ",0,0,0,0,0,0
324,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",0,0,0,0,0,0
325,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",0,0,0,0,0,0
