"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
141,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,324.75,327,324.75,356,351.5,356
142,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,323.5,323.5,0,388.75,388.75,0
143,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3947,Предприемачески - НЕ интензивно,323,323,323,361.5,360.5,361.5
144,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",323,326.5,323,358.25,326.5,358.25
145,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,322.25,322.25,446.75,446.75,389.75,446.75
146,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",321.5,322,321.5,380.75,365.5,380.75
147,2202002,"2 Средно училище ""Академик Емилиян Станев """,0951,Чужди езици - АЕ интензивно ИЕ,320.5,322.5,320.5,394,356,394
148,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",4092,Компютърна графика - АЕ,319.5,319.5,324.25,410.5,410.5,406
149,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",318,318,321,397,356,397
150,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3945,Предприемачески - АЕ интензивно/ ДатЕ,317,317,317.5,373,373,334
151,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,317,317,317.5,468.75,322.75,468.75
152,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3938,Предприемачески - АЕ интензивно /НорвЕ,314.5,314.5,314.5,397,356.5,397
153,2204018,"18 Средно училище ""Уилям Гладстон""",1637,Чужди езици - АрЕ интензивно,312.5,312.5,320,354.5,330.5,354.5
154,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",307.75,307.75,309,377.25,355.75,377.25
155,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Предприемачески - АЕ интензивно НЕ, Предприемачество и ИТ",306.5,306.5,309.5,352,352,314
156,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",306,306,319.5,353.5,353.5,325.5
157,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,304,304,0,304,304,0
158,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,303.75,303.75,0,408.75,408.75,0
159,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,302.46,302.46,310.62,333.62,302.46,333.62
160,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",299,299,300,355.25,355.25,330.75
161,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",298.25,314.75,298.25,389.25,318.5,389.25
162,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Хуманитарни науки - АЕ интензивно ИЕ, БЕЛ и ИЦ",298,302.5,298,342,342,330.5
163,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,297,297,304.5,364,364,304.5
164,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,296.75,298.75,296.75,415,322.75,415
165,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",294.5,294.5,295.5,364.5,364.5,311.5
166,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Природни науки - АЕ интензивно ИЕ, БЗО и ХООС",292.5,297,292.5,431.5,321,431.5
167,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,291.5,291.5,366.5,428,308.25,428
168,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",290.5,294,290.5,364,333.5,364
169,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,289,0,289,289,0,289
170,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",286,289,286,435.5,395,435.5
171,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,285,0,285,285,0,285
172,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",284.75,287,284.75,343.5,343.5,316.75
173,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,284,284,288.5,386.25,321.5,386.25
174,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,283.5,285,283.5,333.75,320,333.75
175,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,283.5,283.5,284.25,345.75,345.75,297.25
176,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",283,283,284,315,315,315
177,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",282,285,282,384,333.5,384
178,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",282,282,282,370,370,330
179,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",278,284,278,355,330,355
180,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",277,277,283.25,355.75,355.75,339.25
181,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,276.5,276.5,277,332,332,328
182,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,275.5,275.5,278,348,327,348
183,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",274.5,274.5,274.5,345,299.5,345
184,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,273,273,371,371,273,371
185,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",270,270,276.5,337.5,295.5,337.5
186,2209036,"36 Средно училище ""Максим Горки""",0778,Чужди езици - ИтЕ интензивно/ АЕ,270,272,270,337,337,290.5
187,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,"Фотография - АЕ, РЕ",270,272.75,270,332,291.25,332
188,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",269.5,269.5,285.5,370.25,370.25,368.25
189,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,"Съдебна администрация - АЕ, РЕ",269.5,297.5,269.5,353,343,353
190,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,268.5,268.5,322,379.5,379.5,322
191,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",266.5,266.5,332,418,293.75,418
192,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",265.25,0,265.25,350.5,0,350.5
193,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,265,265,289,424,424,305.5
194,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,264,264,265,379,264,379
195,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,259.5,259.5,363.5,363.5,259.5,363.5
196,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",259.5,269.5,259.5,345,345,286
197,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,259,259,262,408,320.5,408
198,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,257.5,257.5,257.5,392.75,349.75,392.75
199,2212303,"33. Езикова гимназия ""Света София""",2762,"Чужди езици - АЕ интензивно, НЕ",256.5,256.5,267,357,357,355
200,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,255.5,259,255.5,403.5,403.5,334.5
201,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,255,255,260,325,325,289
202,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,254,255,254,336,336,302.5
203,2209132,"132. Средно училище ""Ваня Войнова""",0423,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",253,253,269,340.5,318.25,340.5
204,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",252.75,254.5,252.75,389.25,389.25,336.75
205,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",252.25,255.5,252.25,369,336,369
206,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,Софтуерни и хардуерни науки - АЕ интензивно,252,252,263,364,364,275
207,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",252,252,262,371.5,313,371.5
208,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,250,261,250,358.5,358.5,307.5
209,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",249.5,249.5,250.25,389.5,389.5,330.25
210,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,248.25,248.25,252.5,320.5,320.5,252.5
211,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,247.75,250.75,247.75,339.75,339.75,299.25
212,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Софтуерни и хардуерни науки - ИЕ,244,247,244,279,268.5,279
213,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,Софтуерни и хардуерни науки - АЕ интензивно,244,244,324,344.5,323,344.5
214,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ интензивно,244,244,0,447,447,0
215,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,242,0,242,242,0,242
216,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ИтЕ",240,243.5,240,364,243.5,364
217,2206003,"3. СУ ""Марин Дринов""",2913,Изобразително изкуство - РЕ,239.5,246.5,239.5,408.75,319.25,408.75
218,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,239,239,239.75,331,331,239.75
219,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,239,239,0,239,239,0
220,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",238,238,241,300,300,275.5
221,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",237,237,238,375.5,375.5,302.5
222,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,235,235,237,270,260,270
223,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),232.5,232.5,0,253,253,0
224,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Сътрудник в малък и среден бизнес - АЕ,230.5,230.5,0,230.5,230.5,0
225,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",230,230.5,230,330.5,330.5,304.5
226,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,227.75,227.75,0,283,283,0
227,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",227.5,312.5,227.5,344,342,344
228,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,226.5,226.5,0,226.5,226.5,0
229,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,225,0,225,326.5,0,326.5
230,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,224,224,246,246,224,246
231,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",222.5,222.5,228.5,351.25,313.5,351.25
232,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ (дуална),222,222,0,240,240,0
233,2213039,"39 Средно училище ""Петър Динеков""",4110,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",221,221,224,357,311,357
234,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,219.75,219.75,234.5,258.5,258.5,234.5
235,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,219.75,221,219.75,340.25,340.25,231.5
236,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,219.5,0,219.5,322.5,0,322.5
237,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",219.25,219.25,231,280,256.5,280
238,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",217,217,222,334,334,313
239,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Предприемачески - АЕ интензивно, НЕ",215.75,215.75,225,350,350,237.75
240,2209036,"36 Средно училище ""Максим Горки""",0784,Природни науки - АЕ интензивно/ ИтЕ,215,215.75,215,371.5,371.5,309
241,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",215,215,230,300,300,285.5
242,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба",214.5,214.5,321.25,321.25,214.5,321.25
243,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,214,223.5,214,290,280,290
244,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,Софтуерни и хардуерни науки - АЕ разширено,212.5,212.5,214,291.5,291.5,242
245,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,212,212,221.5,244.5,239.5,244.5
246,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,210,215.5,210,322,322,294
247,2212037,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",209,0,209,209,0,209
248,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,209,209,0,331.5,331.5,0
249,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,209,209,210,392,392,210
250,2209132,"132. Средно училище ""Ваня Войнова""",0424,Спортни-туристически дейности - помощник-инструктор АЕ/РЕ,208,224.5,208,284,284,208
251,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414,Технология на хомеопатичните и фитопродукти,208,269,208,269,269,208
252,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",206.5,206.5,0,321.25,321.25,0
253,2208413,Софийска гимназия по хлебни и сладкарски технологии,0573,Контрол на качеството и безопасност на храни и напитки - АЕ,206.25,206.25,305.25,313.5,249.25,313.5
254,2219024,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,204,0,204,213,0,213
255,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ (дуална),204,204,0,316,316,0
256,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,203,0,203,203,0,203
257,2213010,"10 Средно училище "" Теодор Траянов """,2101,Обществени науки - АЕ,201.75,206,201.75,378.5,272.75,378.5
258,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",200,200,241.5,255,200,255
259,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,197.75,0,197.75,227.5,0,227.5
260,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",197,197,206.5,365,224.5,365
261,2215176,176 ОУ,2460,Софтуерни и хардуерни науки - АЕ,197,197,209.5,209.5,197,209.5
262,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - техник (дуална) - АЕ,196.5,196.5,0,212,212,0
263,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ (дуална),194.5,194.5,262.5,262.5,194.5,262.5
264,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,194,194,213,265.5,242.5,265.5
265,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,194,194,359,359,283.5,359
266,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,194,195,194,224,224,194
267,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",188,188,261,308,308,261
268,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,185,237,185,327.5,237,327.5
269,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",183,185.5,183,292,236,292
270,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",183,183,194.25,301.5,300.25,301.5
271,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,182.5,182.5,188.5,321,321,277.75
272,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",182,183,182,296.5,296.5,230
273,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,181,181,184.5,263.5,263.5,205
274,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3082,Охранителна техника и системи за сигурност - АЕ,180,180,0,255.5,255.5,0
275,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),180,0,180,180,0,180
276,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",179,179,251,290,290,283.5
277,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",176,176,0,285,285,0
278,2218192,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,173,173,306.5,306.5,223,306.5
279,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",172,173,172,265,265,180
280,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),171.5,171.5,0,274,274,0
281,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,170.75,170.75,0,260,260,0
282,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,170.5,170.5,0,170.5,170.5,0
283,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,169.5,169.5,0,169.5,169.5,0
284,2212079,"79 средно училище ""Индира Ганди""",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",167,167,177,240,203.5,240
285,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",163,163,194,380,346,380
286,2202026,"26 Средно училище ""Йордан Йовков""",0965,Софтуерни и хардуерни науки - АЕ интензивно,163,163,166.5,246,242,246
287,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,163,163,0,231,231,0
288,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",162.5,162.5,214.75,265.5,241.5,265.5
289,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",161,161,403.5,403.5,227,403.5
290,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,161,161,0,221,221,0
291,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,"Промишлен дизайн - АЕ, РЕ",161,161,177,329,249.5,329
292,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",159.5,172,159.5,249,249,234.5
293,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,159,159,0,223,223,0
294,2219130,"130. средно училище ""Стефан Караджа""",3506,"Икономическо развитие - АЕ, НЕ",158.5,158.5,204.5,221,158.5,221
295,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,158.5,158.5,0,386.75,386.75,0
296,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",158,179,158,231,231,221
297,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",157.5,157.5,185.25,271.5,230.75,271.5
298,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,156,156,219.5,219.5,157.25,219.5
299,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,156,161.5,156,323.5,161.5,323.5
300,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),155,155,0,171,171,0
301,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,"Индустриални отношения - АЕ, РЕ",155,155,212.5,318.25,264.5,318.25
302,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,155,168.5,155,250,168.5,250
303,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,154,154,208,284,157,284
304,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,153.5,159,153.5,348.5,348.5,322.5
305,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",4043,"Икономическо развитие-НЕ интензивно, АЕ",152,152,0,359,359,0
306,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,149,149,251.75,419.25,149,419.25
307,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,147.5,147.5,0,220,220,0
