Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
52,"134. средно училище ""Димчо Дебелянов""",1961,Природни науки - АЕ интензивно /Иврит,0,-,-
53,"134. средно училище ""Димчо Дебелянов""",1968,Софтуерни и хардуерни науки - АЕ интензивно / Иврит,1,-,-
54,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,0,-,-
55,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",0,-,-
56,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",0,-,-
57,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",0,-,-
58,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",2,-,-
59,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",0,-,-
60,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",0,-,-
61,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",2,-,-
62,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",0,-,-
63,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,2,-,-
64,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,2,-,-
65,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3866,Модерен танц,0,-,-
66,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн /,2,-,-
67,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,1,-,-
68,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,-,-
69,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,0,-,-
70,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,2,-,-
71,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",2,-,-
72,"15 Средно училище "" Адам Мицкевич""",2582,Предприемачески - АЕ,8,-,-
73,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,0,-,-
74,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",9,-,-
75,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,0,-,-
