"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 11.07.2022
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Миниманлен бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
134,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,Икономическо развитие - АЕ интензивно,343.5,343.5,344,397.5,381.5,397.5
135,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",343,343.75,343,388,388,383
136,2204134,"134. средно училище ""Димчо Дебелянов""",1968,Софтуерни и хардуерни науки - АЕ интензивно / Иврит,340.75,340.75,352,426,426,405.5
137,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,338,338,338,418,418,392
138,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",338,339,338,444.5,368,444.5
139,2202002,"2 Средно училище ""Академик Емилиян Станев """,0951,Чужди езици - АЕ интензивно ИЕ,338,339,338,418.5,404.5,418.5
140,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",337.5,337.5,337.5,376,374,376
141,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,337,337,0,395.5,395.5,0
142,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,337,337,346.5,451,451,406
143,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",336.75,364.25,336.75,414.75,414.75,414.75
144,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",336.5,0,336.5,398.25,0,398.25
145,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3947,Предприемачески - НЕ интензивно,336,336,340,400,395.5,400
146,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,332.75,332.75,446.75,446.75,389.75,446.75
147,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",332.25,338.75,332.25,380.75,377.75,380.75
148,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,331.39,334.48,331.39,445.91,404.5,445.91
149,2204018,"18 Средно училище ""Уилям Гладстон""",1637,Чужди езици - АрЕ интензивно,330.5,330.5,331,381,381,370
150,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,330.25,330.25,333,385.75,381,385.75
151,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",327,327,334.5,410.5,410.5,357.5
152,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",326.5,328,326.5,412,379.5,412
153,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,326.25,326.25,331.5,468.75,404.5,468.75
154,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3938,Предприемачески - АЕ интензивно /НорвЕ,325.5,325.5,326,397,362.5,397
155,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3945,Предприемачески - АЕ интензивно/ ДатЕ,324,324,324.5,405.5,373,405.5
156,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",316,355.75,316,384.25,355.75,384.25
157,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,315.5,315.5,320,410,408.75,410
158,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Хуманитарни науки - АЕ интензивно ИЕ, БЕЛ и ИЦ",314.5,315.5,314.5,440,347,440
159,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Предприемачески - АЕ интензивно НЕ, Предприемачество и ИТ",313.5,313.5,314,387.5,387.5,370
160,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",313,313,315.25,389.25,325.75,389.25
161,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",307.5,307.5,310.5,417,417,389
162,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,305,314.25,305,435.5,435.5,416
163,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,304.5,304.5,304.5,389.5,389.5,336
164,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Природни науки - АЕ интензивно ИЕ, БЗО и ХООС",304,304,304,431.5,321,431.5
165,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,303.75,303.75,329,428,378.75,428
166,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",302.75,303,302.75,383.5,355.25,383.5
167,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,302.5,302.5,305.5,386.25,364.25,386.25
168,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",301.5,310.25,301.5,374.25,372.5,374.25
169,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",300,300,301.5,384,352,384
170,2206003,"3. СУ ""Марин Дринов""",2913,Изобразително изкуство - РЕ,298.5,298.5,309,425.5,351.25,425.5
171,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",298,298,298.5,350.5,350.5,346.5
172,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",298,305.5,298,395.5,395.5,379
173,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,297.5,297.5,299.5,357.5,349,357.5
174,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,297.25,300.25,297.25,360.25,360.25,357.25
175,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,296.75,296.75,304,405.5,405.5,383.25
176,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",296.5,297,296.5,437,395,437
177,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,293.75,293.75,299.25,339.75,339.75,299.25
178,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",293.5,294,293.5,390.5,390.5,354
179,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",293.5,0,293.5,414.5,0,414.5
180,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",290.5,290.75,290.5,375.75,355.75,375.75
181,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",289.25,289.25,289.25,426,370.25,426
182,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",288,303.5,288,410,343,410
183,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,286.5,286.5,289,469.5,424,469.5
184,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",286,289.5,286,351.5,334.5,351.5
185,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",286,287.5,286,410.5,373,410.5
186,2209036,"36 Средно училище ""Максим Горки""",0778,Чужди езици - ИтЕ интензивно/ АЕ,285,285,285,391,337,391
187,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,284.5,284.5,284.5,364.5,364.5,348
188,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,"Фотография - АЕ, РЕ",282.25,282.25,283.5,384.5,360.5,384.5
189,2209132,"132. Средно училище ""Ваня Войнова""",0423,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",281.75,281.75,283,350,350,340.5
190,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",281.5,281.5,292,376.5,376.5,345
191,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,280,280,286.5,460.5,460.5,382
192,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",278.5,278.5,279.5,372,372,369
193,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,"Съдебна администрация - АЕ, РЕ",278.25,297.5,278.25,380.25,343,380.25
194,2212303,"33. Езикова гимназия ""Света София""",2762,"Чужди езици - АЕ интензивно, НЕ",278,280,278,424.5,357,424.5
195,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,276,278.5,276,403.5,403.5,345.5
196,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,274.5,279.5,274.5,432.75,379,432.75
197,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,273.5,273.5,274.75,441.75,369.5,441.75
198,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",272.75,273,272.75,423.75,389.25,423.75
199,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,271,271,285,408,330,408
200,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,270.25,270.25,274,392.75,349.75,392.75
201,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,270,270,271,336,336,302.5
202,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,Софтуерни и хардуерни науки - АЕ интензивно,269,272.5,269,364,364,337
203,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ИтЕ",267,286,267,364,294.5,364
204,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,266.5,266.5,268.5,325,325,313.5
205,2212096,"96 Средно училище ""Лев Николаевич Толстой""",3318,Софтуерни и хардуерни науки - АЕ интензивно,265.5,271,265.5,364,364,344.5
206,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",264.5,264.5,268,371.5,313,371.5
207,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",264.5,264.5,268,450.75,440.5,450.75
208,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ интензивно,264,264,273,447,447,427.5
209,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,262.75,262.75,310.75,331,331,323.25
210,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",262.5,262.5,271.5,384.5,342,384.5
211,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,262,262,264.5,358.5,358.5,321.5
212,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",259.5,260.5,259.5,388,351,388
213,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",259,267,259,389.5,389.5,365.25
214,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Софтуерни и хардуерни науки - ИЕ,254,255.5,254,314.5,314.5,305.5
215,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,252.5,255.25,252.5,320.5,320.5,252.5
216,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,251,251,251,355.5,324,355.5
217,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,249,249,0,356.75,356.75,0
218,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,246.25,246.25,247.75,344.25,344.25,339
219,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",246,246,252.5,375.5,375.5,351.5
220,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",245,245.5,245,382.5,330.5,382.5
221,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",242.5,242.75,242.5,432.5,343,432.5
222,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),240,241,240,347,347,240
223,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Предприемачески - АЕ интензивно, НЕ",239,239,239.5,376.25,376.25,364.25
224,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,239,239,241,302.5,302.5,286
225,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,237,237,237,391.5,268,391.5
226,2209132,"132. Средно училище ""Ваня Войнова""",0424,Спортни-туристически дейности - помощник-инструктор АЕ/РЕ,234,234,234,312.5,295.25,312.5
227,2209036,"36 Средно училище ""Максим Горки""",0784,Природни науки - АЕ интензивно/ ИтЕ,232,232,233,371.5,371.5,347.75
228,2213039,"39 Средно училище ""Петър Динеков""",4110,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",232,232,239.5,357,342.5,357
229,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,232,232,232.25,327.75,327.75,234.5
230,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,232,232,241,385,293,385
231,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",231.75,231.75,232.5,421.5,263.75,421.5
232,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",230,232,230,358.5,358.5,315
233,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",228,228,240.5,334,334,313
234,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,228,228,0,369.5,369.5,0
235,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ (дуална),225.5,225.5,299.5,359.5,359.5,299.5
236,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",225,225.5,225,360.75,353.5,360.75
237,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",224,229,224,384,370.5,384
238,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,223,223,225,322,322,294
239,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,222.5,0,222.5,405.75,0,405.75
240,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ (дуална),220,220,328,328,316,328
241,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,Софтуерни и хардуерни науки - АЕ разширено,219,220,219,394.5,394.5,389.5
242,2213010,"10 Средно училище "" Теодор Траянов """,2101,Обществени науки - АЕ,218.5,218.5,219,378.5,335.75,378.5
243,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",218,218,229.5,365.5,332,365.5
244,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",216,216,216,294,294,292
245,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,214.5,218,214.5,392,392,273
246,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,214,214,224.5,351,291.5,351
247,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,"Промишлен дизайн - АЕ, РЕ",214,220,214,329,285.5,329
248,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",213.5,226.25,213.5,344.75,263,344.75
249,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",211,211,242,409,336.5,409
250,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",209,210,209,355,310.5,355
251,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,209,209,213,390,390,231
252,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,204,204,205,315.5,315.5,205
253,2215170,"170 Средно училище ""Васил Левски""",3451,Електронна търговия - АЕ,203.5,203.5,214,423.75,342,423.75
254,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - техник (дуална) - АЕ,202,202,0,298.5,298.5,0
255,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,199,202,199,367.5,337.5,367.5
256,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,197,202.5,197,430.75,430.75,398.5
257,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,196.5,204.5,196.5,325,262.25,325
258,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,195.25,195.25,240.25,275.25,275.25,240.25
259,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ (дуална),194.5,194.5,262.5,319,319,276.5
260,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",192.5,203,192.5,397.5,327.75,397.5
261,2212097,"97 Средно училище ""Братя Миладинови""",3037,Предприемачески - АЕ,191,191,198.5,407.25,270.75,407.25
262,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,189.5,193.5,189.5,355.5,309.5,355.5
263,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,189,196.5,189,428,428,419.25
264,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",188.5,188.5,238,364.5,364.5,276
265,2202026,"26 Средно училище ""Йордан Йовков""",0965,Софтуерни и хардуерни науки - АЕ интензивно,186,186,196,377,377,272
266,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),186,186,0,297,297,0
267,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,183,196,183,387.75,196,387.75
268,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",182.5,193,182.5,399,276,399
269,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",181,181,208,353,353,246
270,2213010,"10 Средно училище "" Теодор Траянов """,3075,Природни науки - АЕ,180,180,186.5,438.5,438.5,356
271,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",178,179,178,295.5,258.5,295.5
272,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",177.5,184,177.5,351,285.5,351
273,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",175.5,175.5,186.5,439.75,338.75,439.75
274,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,175,175,189.5,348.5,348.5,322.5
275,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,"Икономическо информационно осигуряване - АЕ, РЕ",175,175,179,339,339,243
276,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3670,Електрически инсталации - АЕ,174.5,174.5,0,271,271,0
277,2212079,"79 средно училище ""Индира Ганди""",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",174,174,177,419.5,331,419.5
278,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414,Технология на хомеопатичните и фитопродукти,172,269,172,269,269,219.5
279,2208413,Софийска гимназия по хлебни и сладкарски технологии,0573,Контрол на качеството и безопасност на храни и напитки - АЕ,170,206.25,170,313.5,249.25,313.5
280,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,"Предприемачески - АЕ интензивно, РЕ",168,168,188,334,272.5,334
281,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,167,167,168.5,355.5,355.5,178
282,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Сътрудник в малък и среден бизнес - АЕ,166.5,166.5,167,230.5,230.5,167
283,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",158,158,158.75,328.5,328.5,294.5
284,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",3867,Графичен дизайн /,157.5,174.5,157.5,331.5,187,331.5
285,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",157.5,157.5,169,319.5,303,319.5
286,2210117,117. СУ,0975,Софтуерни и хардуерни науки,156.5,156.5,159.5,365.75,285.75,365.75
287,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",154,154,156.5,402,402,377.5
288,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",152.5,164.5,152.5,370.75,300.25,370.75
289,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,152,152,172,376,305.5,376
290,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",151,158.5,151,368.25,306,368.25
291,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,151,151,0,273.5,273.5,0
292,2212097,"97 Средно училище ""Братя Миладинови""",2512,"Търговия (дуална) - АЕ, НЕ",147.25,147.25,147.5,348.75,348.75,329.25
293,2214015,"15 Средно училище "" Адам Мицкевич""",3015,Митническо и данъчно обслужване,146,147.5,146,409,340,409
294,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",144.5,144.5,181,321.25,321.25,247
295,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно,141.5,141.5,154,274,230,274
296,2215170,"170 Средно училище ""Васил Левски""",3971,Софтуерни и хардуери науки - АЕ,141,142,141,253.5,251.5,253.5
297,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",141,161,141,403.5,275.5,403.5
