"СВОБОДНИ МЕСТА В ПАРАЛЕЛКИ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/2022 ГОДИНА 
/по информация от училищата към 03.09.2021 г./",,,,,,,
№,Училище:,Район:,Наименование на паралелката:,Код на паралелката:,Свободни места без квоти:,Свободни места за младежи:,Свободни места за девойки:
52,"15 СУ ""АДАМ МИЦКЕВИЧ""",НАДЕЖДА,Предприемачество с разширено изучаване на АЕ,2582,8,0,0
53,"15 СУ ""АДАМ МИЦКЕВИЧ""",НАДЕЖДА,Предприемачество без разширено и без интензивно изучаване на АЕ,3015,6,0,0
54,101 СУ,Надежда,Търговия на едро и дребно,3656,1,0,0
55,"170 СУ ""Васил Левски""",Нови Искър,Организация на туризма и свободното време,2972,7,0,0
56,"170 СУ ""Васил Левски""",Нови Искър,Електронна търговия,3451,2,0,0
57,ПГМЕ,Оборище,Металообработващи машини,2173,14,0,0
58,ПГМЕ,Оборище,Електрообзавеждане на производството,2177,11,0,0
59,ПГМЕ,Оборище,Промишлена електроника,2193,12,0,0
60,66 СУ Филип Станиславов,Овча купел,Профил Предприемачески,1439,4,-,-
61,"88. СУ ""Димитър Попниколов""",Овча купел,Чужди езици - АЕ интензивно ИЕ/РЕ,1353,1,0,0
62,"88. СУ ""Димитър Попниколов""",Овча купел,Туристическа анимация - АЕ интензивно ИЕ/РЕ,1356,1,0,0
63,"88. СУ ""Димитър Попниколов"" София",Овча купел,Туристическа анимация АЕ интензивно ИЕ/РЕ,1356,2,0,0
64,"149 СУ ""Иван Хаджийски""",Овча купел,Софтуерни и хардуерни науки - АЕ интензивно   РЕ,1060,2,0,0
65,"НСУ ""София""",Овча купел,Природни науки,2687,6,-,-
66,"НСУ ""София""",Овча купел,Изобразително изкуство,2692,6,-,-
67,ПГЕА,Овча купел,8в - Системно програмиране АЕ/2-ри Руски език,2138,2,-,-
68,ПГЕА,Овча купел,8г - Системно програмиране АЕ/2-ри Немски език,2133,2,-,-
