Свободни места за четвърти етап на класиране към 08:00 ч. на 02.08.2021 г.,,,,,,,
Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи ,Девойки
"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3372,"Природни науки - АЕ интензивно, ИЕ",профилирана,1,0,0,0
"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ ,,Професор Константин Гълъбов"", ГР.СОФИЯ",2644,"Чужди езици - НЕ интензивно, АЕ",профилирана,7,0,0,0
"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1952,Чужди езици - АЕ интензивно Иврит,профилирана,1,1,0,0
"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1961,Природни науки - АЕ интензивно   Иврит,профилирана,1,0,0,0
"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1968,Софтуерни и хардуерни науки - АЕ интензивно   Иврит,профилирана,1,0,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0317,"Медицинска техника - НЕ, АЕ",професионална,1,1,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0319,"Измервателна и организационна техника - АЕ, НЕ",професионална,1,2,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0321,"Кинотехника аудио- и видеосистеми - АЕ, НЕ",професионална,2,0,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0324,"Очна оптика - АЕ, НЕ",професионална,1,1,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0325,"Лазерна и оптична техника - АЕ, НЕ",професионална,1,0,0,0
"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0328,"Компютърна техника и технологии - АЕ, НЕ",професионална,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1856,Бутикови облекла,професионална,1,2,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1868,Конструиране моделиране и технология на обувни изделия (дуална),професионална,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",3251,"Моден дизайн - АЕ, РЕ",професионална,1,4,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2524,"Пътно-строителна техника - АЕ, РЕ",професионална,1,11,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2528,"Подемно-транспортна техника монтирана на пътни тр. средства - ФЕ, РЕ",професионална,1,12,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2612,"Електрически превозни средства - РЕ, АЕ",професионална,1,21,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3562,"Ръководител движение - АЕ, РЕ",професионална,1,20,0,0
"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2514,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,1,0,0,0
"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,1,0,0,0
"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",професионална,1,2,0,0
"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1522,"Хуманитарни науки - АЕ интензивно, РЕ/ФЕ",профилирана,1,3,0,0
"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1526,"Природни науки - АЕ интензивно, РЕ/ФЕ",профилирана,1,0,0,0
"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1532,"Чужди езици - РЕ интензивно, АЕ/ФЕ",профилирана,1,2,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2328,"Системно програмиране - АЕ, НЕ",професионална,1,0,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2338,"Приложно програмиране - АЕ, НЕ",професионална,1,0,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2360,"Компютърни мрежи - АЕ, НЕ",професионална,1,1,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2363,"Компютърна техника и технологии - АЕ, НЕ",професионална,2,1,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2366,"Микропроцесорна техника - АЕ, НЕ",професионална,1,0,0,0
"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2372,"Промишлена електроника - АЕ, НЕ",професионална,1,0,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,"Съдебна администрация - АЕ, РЕ",професионална,1,1,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2840,"Икономическо информационно осигуряване - АЕ, РЕ",професионална,1,10,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2842,"Извършване на термални процедури - АЕ (дуална), РЕ",професионална,1,16,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,професионална,1,1,0,0
"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,професионална,1,4,0,0
