"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА ",,,,,,,,
Код,Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи,Девойки
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2777,Чужди езици - АЕ интензивно  РЕ,профилирана,1,0,1,1
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,1,0,0,0
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3372,"Природни науки - АЕ интензивно, ИЕ",профилирана,1,3,0,0
2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ ,,Професор Константин Гълъбов"", ГР.СОФИЯ",2644,"Чужди езици - НЕ интензивно, АЕ",профилирана,7,0,0,2
2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1952,Чужди езици - АЕ интензивно Иврит,профилирана,1,1,0,0
2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1961,Природни науки - АЕ интензивно   Иврит,профилирана,1,0,0,0
2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1968,Софтуерни и хардуерни науки - АЕ интензивно   Иврит,профилирана,1,0,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0317,"Медицинска техника - НЕ, АЕ",професионална,1,1,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0319,"Измервателна и организационна техника - АЕ, НЕ",професионална,1,2,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0321,"Кинотехника аудио- и видеосистеми - АЕ, НЕ",професионална,2,1,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0324,"Очна оптика - АЕ, НЕ",професионална,1,2,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0325,"Лазерна и оптична техника - АЕ, НЕ",професионална,1,1,0,0
2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",0328,"Компютърна техника и технологии - АЕ, НЕ",професионална,1,2,0,0
2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1856,Бутикови облекла,професионална,1,11,0,0
2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",1868,Конструиране моделиране и технология на обувни изделия (дуална),професионална,1,14,0,0
2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",3251,"Моден дизайн - АЕ, РЕ",професионална,1,12,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2524,"Пътно-строителна техника - АЕ, РЕ",професионална,1,14,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2528,"Подемно-транспортна техника монтирана на пътни тр. средства - ФЕ, РЕ",професионална,1,12,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2612,"Електрически превозни средства - РЕ, АЕ",професионална,1,23,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3558,"Локомотиви и вагони - АЕ (дуална), РЕ",професионална,1,24,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3560,"Електрообзавеждане на железопътната техника - РЕ, АЕ",професионална,1,26,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3561,"Осигурителни и комуникационни системи в жп инфраструктура - АЕ, РЕ",професионална,1,26,0,0
2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3562,"Ръководител движение - АЕ, РЕ",професионална,1,22,0,0
2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2514,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,1,0,0,0
2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,1,2,0,0
2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",професионална,1,5,0,0
2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1522,"Хуманитарни науки - АЕ интензивно, РЕ/ФЕ",профилирана,1,5,0,0
2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1526,"Природни науки - АЕ интензивно, РЕ/ФЕ",профилирана,1,1,0,0
2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1532,"Чужди езици - РЕ интензивно, АЕ/ФЕ",профилирана,1,1,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2328,"Системно програмиране - АЕ, НЕ",професионална,1,1,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2338,"Приложно програмиране - АЕ, НЕ",професионална,1,1,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2360,"Компютърни мрежи - АЕ, НЕ",професионална,1,1,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2363,"Компютърна техника и технологии - АЕ, НЕ",професионална,2,3,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2366,"Микропроцесорна техника - АЕ, НЕ",професионална,1,2,0,0
2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2372,"Промишлена електроника - АЕ, НЕ",професионална,1,1,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,"Съдебна администрация - АЕ, РЕ",професионална,1,1,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2840,"Икономическо информационно осигуряване - АЕ, РЕ",професионална,1,14,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2842,"Извършване на термални процедури - АЕ (дуална), РЕ",професионална,1,16,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,професионална,1,8,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,професионална,1,7,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2847,Маникюр педикюр и ноктопластика,професионална,1,11,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3381,"Промишлен дизайн - АЕ, РЕ",професионална,1,13,0,0
2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3382,"Индустриални отношения - АЕ, РЕ",професионална,1,25,0,0
2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2913,"Изобразително изкуство - РЕ, АЕ",профилирана,1,7,0,0
2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2914,"Графичен дизайн - АЕ, РЕ",професионална,1,3,0,0
2206113,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1648,Продавач-консултант /РЕ/,професионална,1,5,0,0
2206113,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1676,Продавач-консултант /АЕ/,професионална,1,4,0,0
2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2762,Чужди езици - АЕ интензивно НЕ,профилирана,1,5,0,0
2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2767,Чужди езици - АЕ интензивно ИЕ,профилирана,1,7,0,0
2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2774,Чужди езици - АЕ интензивно ФЕ или ГрЕ,профилирана,1,10,0,0
2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2778,Чужди езици - ФЕ интензивно АЕ,профилирана,1,4,0,0
2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2797,Екскурзоводско обслужване - АЕ интензивно РЕ,професионална,1,4,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",1911,"Промишлена електроника - АЕ, РЕ/НЕ",професионална,1,8,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),професионална,1,12,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),професионална,1,17,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2352,"Газова техника - АЕ (дуална), РЕ/НЕ",професионална,1,5,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2357,"Възобновяеми енергийни източници - АЕ (дуална), РЕ/НЕ",професионална,1,3,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2362,"Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална), РЕ/НЕ",професионална,1,0,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2364,Автотранспортна техника - техник (дуална),професионална,1,0,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2367,"Автомобилна мехатроника - АЕ, РЕ/НЕ",професионална,1,1,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2376,"Автомобилна  мехатроника - АЕ (дуална), РЕ/НЕ",професионална,1,0,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2378,"Електрически превозни средства - АЕ, РЕ/НЕ",професионална,1,0,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2380,"Ремонт на летателни апарати - АЕ, РЕ/НЕ",професионална,1,0,0,0
2206409,"Професионална гимназия по транспорт и енергетика  ""Хенри Форд"", ГР.СОФИЯ",2383,Експлоатация на автомобилния транспорт,професионална,1,2,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2752,"Компютърни мрежи - АЕ, ИЕ",професионална,1,3,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2756,"Телекомуникационни системи - АЕ, РЕ",професионална,1,7,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2760,"Приложно програмиране - АЕ интензивно, НЕ",професионална,1,3,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2763,"Компютърна техника и технологии - АЕ, ИЕ",професионална,1,2,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2765,"Микропроцесорна техника - АЕ, РЕ",професионална,1,1,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2769,"Системно програмиране - АЕ интензивно, НЕ",професионална,1,0,0,0
2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",3317,"Охранителна техника и системи за сигурност - АЕ, НЕ",професионална,1,3,0,0
2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0448,"Производство на захар и захарни изделия - АЕ, РЕ",професионална,1,2,0,0
2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0452,"Производство на месо месни продукти и риба - АЕ, РЕ",професионална,1,23,0,0
2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0455,Производсто и преработка на мляко и млечни продукти,професионална,1,21,0,0
2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",3671,"Производство на месо, месни продукти и риба",професионална,1,14,0,0
2207068,"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",2629,"Софтуерни и хардуерни науки - АЕ, НЕ/РЕ",профилирана,1,3,0,0
2207068,"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",3634,"Природни науки - АЕ, НЕ/РЕ",профилирана,1,6,0,0
2207069,"69 Средно  училище ""Димитър Маринов"", ГР.СОФИЯ",0887,"Икономическо развитие - АЕ, РЕ",профилирана,1,3,0,0
2207108,"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",1852,Предприемачески  - АЕ интензивно РЕ,профилирана,1,5,0,0
2207108,"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",3675,Предприемачески - АЕ интензивно НЕ,профилирана,1,4,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1656,Митническа и данъчна администрация - АЕ,професионална,1,12,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1665,Спедиция транспортна и складова логистика - АЕ,професионална,1,18,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1677,Автомобилна мехатроника - АЕ,професионална,1,9,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1684,Автотранспортна техника - монтьор,професионална,1,13,0,0
2208017,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",2371,"Чужди езици - ФЕ интензивно, ИтЕ/ИЕ",профилирана,1,21,0,0
2208017,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",2379,"Туристическа анимация - ФЕ интензивно, ИтЕ/ИЕ",професионална,1,22,0,0
2208028,"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,1,5,0,0
2208028,"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0374,"Физическо възпитание и спорт - АЕ, ИЕ",профилирана,1,,,
2208123,"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",0631,Логистика на товари и услуги /АЕ/,професионална,1,2,0,0
2208123,"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",3674,Логистика на товари и услуги /НЕ/,професионална,1,6,0,0
2208135,"135 средно училище ""Ян Амос Коменски"", ГР.СОФИЯ",2783,"Социална работа с деца и семейства в риск - АЕ, РЕ",професионална,1,9,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",професионална,1,5,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0563,"Декорация на сладкарски изделия - АЕ, НЕ",професионална,1,11,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0568,"Производство на сладкарски изделия - АЕ (дуална), НЕ",професионална,1,9,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0573,"Производство на хляб и хлебни изделия - АЕ (дуална), НЕ",професионална,1,18,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3394,Предприемачески - НЕ интензивно НорвЕ,профилирана,1,2,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3396,Предприемачески - НЕ интензивно ДатЕ,профилирана,1,3,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3399,"Предприемачески - АЕ интензивно, НЕ/НорвЕ/ДатЕ",профилирана,1,3,0,0
2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0778,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,1,4,0,0
2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0784,"Природни науки - АЕ интензивно, ИтЕ",профилирана,1,4,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2276,"Компютърна графика - АЕ интензивно, НЕ",професионална,1,0,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2289,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,1,1,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",профилирана,1,1,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0423,"Софтуерни и хардуерни науки - АЕ, РЕ",профилирана,1,4,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0424,"Спортни-туристически дейности - помощник-инструктор АЕ, РЕ",професионална,1,12,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",3191,Физическо възпитание и спорт,профилирана,1,,,
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2904,Чужди езици - АЕ интензивно  НЕ/РЕ,профилирана,1,6,0,0
