№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
214.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0930  Предприемачески - АЕ  ИтЕ/ФЕ,287,394.5,без квоти
215.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0325  Лазерна и оптична техника - АЕ  НЕ,286.5,420,без квоти
216.  ,2223431  ПГ по телекомуникации,0746  Икономическа информатика - АЕ,284,358.75,без квоти
217.  ,"2209132  132. СУ ""Ваня Войнова""",3191  Физическо възпитание и спорт,283.75,317.75,без квоти
218.  ,2204311  ПГИИРЕ,2935  Чужди езици - ИЕ интензивно РумЕ,280.5,433.75,без квоти
219.  ,"2212137  137 СУ ""Ангел Кънчев""",1838  Хуманитарни науки - АЕ интензивно  НЕ,279.5,407.25,без квоти
220.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0939  Икономическо развитие - АЕ   ИтЕ/ФЕ,279.5,368,без квоти
221.  ,2223431  ПГ по телекомуникации,3215  Телекомуникационни системи-АЕ,277.5,372.25,без квоти
222.  ,"2220029  29. СУ ""Кузман Шапкарев""",2408  Софтуерни и хардуерни науки - АЕ интензивно  РЕ/ФЕ,275,395,без квоти
223.  ,2214054  54 СУ,0749  Чужди езици - АЕ интензивно  ИЕ,274.75,369.5,без квоти
224.  ,"2213081  81. СУ ""Виктор Юго""",2566  Чужди езици - АЕ интензивно,274.5,351,без квоти
225.  ,2213118  118 СУ,2943  Софтуерни и хардуерни науки - АЕ интензивно  ФЕ,273.5,367,без квоти
226.  ,"2213144  144 СУ ""Народни будители""",1142  Български танци - АЕ  РЕ/ИЕ,272.4,461.5,без квоти
227.  ,2204311  ПГИИРЕ,2934  Чужди езици - РумЕ интензивно АЕ,272,435.5,без квоти
228.  ,"2212303  33 ЕГ ""Света София""",2778  Чужди езици - ФЕ интензивно АЕ,272,375,без квоти
229.  ,"2209036  36 СУ ""Максим Горки""",0778  Чужди езици - ИтЕ интензивно  АЕ,271.5,406,без квоти
230.  ,"2212303  33 ЕГ ""Света София""",2774  Чужди езици - АЕ интензивно ФЕ или ГрЕ,271,442.5,без квоти
