"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,,,
,,,,, ,,,,,,
№,Район,Код,Училище,Код на паралелката,Име на паралелката,Тип,Балообразуване,Брой паралелки,На общо основание,Младежи,Девойки
20,Връбница,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ"", ГР.СОФИЯ",1904,Графичен дизайн,професионална,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),1,26,0,0
21,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0897,"Чужди езици - НЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
22,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0902,"Природни науки - АЕ интензивно, НЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
23,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0905,"Чужди езици - ФЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
24,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1631,"Чужди езици - ЯЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
25,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1637,"Чужди езици - АрЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
26,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1642,"Чужди езици - КитЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
27,Възраждане,2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1647,"Чужди езици - КорЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
28,Възраждане,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1307,Чужди езици - ИЕ интензивно  АЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
29,Възраждане,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1308,"Природни науки - ИЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),1,26,0,0
30,Възраждане,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",2602,"Икономическо развитие - АЕ интензивно, НЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),1,26,0,0
31,Възраждане,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2771,Чужди езици - АЕ интензивно НЕ,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,0,13,13
