№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
171.  ,"2209305  203 ПЕГ ""Св. Методий""",2904  Чужди езици - АЕ интензивно  НЕ/РЕ,262.75,298.5,без квоти
172.  ,2216423  СПГТ,1281  Кетъринг - ИЕ,262,262,без квоти
173.  ,"2213125  125 СУ ""Боян Пенев""",1557  Математически - АЕ интензивно  РЕ,260.75,322.25,без квоти
174.  ,2211417  ПГО,"0491  Конструиране, моделиране и технология на облекло от текстил - АЕ  ИтЕ",260,280.5,без квоти
175.  ,"2213128  128 СУ ""Алберт Айнщайн""",1670  Икономическо информационно осигуряване - АЕ  НЕ/РЕ,259,270,без квоти
176.  ,2211417  ПГО,0505  Сценичен костюм - АЕ  ИтЕ,257.5,300.25,без квоти
177.  ,"2206410  ПГАВТ  ""А.С.Попов""",2763  Компютърна техника и технологии - АЕ  ИЕ,257.25,285,без квоти
178.  ,"2213010  10 СУ  ""Теодор Траянов""",2101  Обществени науки - АЕ  РЕ,256,306.5,без квоти
179.  ,"2209305  203 ПЕГ ""Св. Методий""",2909  Чужди езици - ИЕ интензивно  АЕ/НЕ,255.5,364.5,без квоти
180.  ,"2212303  33 ЕГ ""Света София""",2774  Чужди езици - АЕ интензивно ФЕ или ГрЕ,254,275.5,без квоти
181.  ,"2207068  68 СУ ""Акад.Никола Обрешков""",2629  Софтуерни и хардуерни науки - АЕ  НЕ/РЕ,253,297,без квоти
182.  ,"2209305  203 ПЕГ ""Св. Методий""",3271  Природни науки - АЕ интензивно  ИЕ/НЕ,250.75,350.25,без квоти
183.  ,"2207108  108 СУ ""Н.Беловеждов""",3675  Предприемачески - АЕ интензивно НЕ,249.5,312,без квоти
184.  ,"2209036  36 СУ ""Максим Горки""",0784  Природни науки - АЕ интензивно  ИтЕ,249.5,281.5,без квоти
185.  ,"2212037  37. СУ ""Райна Княгиня""",3544  Малък и среден бизнес - АЕ  РЕ,249.25,289,без квоти
186.  ,2212097  97 СУ,3037  Предприемачески - АЕ,248.5,258,без квоти
187.  ,"2206410  ПГАВТ  ""А.С.Попов""",2765  Микропроцесорна техника - АЕ  РЕ,247.25,247.25,без квоти
188.  ,2219095  95 СУ,3354  Предприемачески - АЕ интензивно  РЕ,244.5,309,без квоти
189.  ,2217149  149 СУ,1060  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,239,261.5,без квоти
