"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
37,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",443,443.5,443,473.5,473.5,471
38,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",442,442,457,498,455.5,498
39,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,Интериорен дизайн - ФЕ,440.25,0,440.25,457.5,0,457.5
40,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",440,440,440.5,469.5,460,469.5
41,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",440,440,458.5,475,475,471.5
42,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",439.25,439.5,439.25,487,456.75,487
43,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",438.5,438.5,459.5,484,483,484
44,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",437,437,438.25,466.5,466.5,453.75
45,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",436,436.5,436,455,449.5,455
46,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",435.5,435.5,437,466.5,447.5,466.5
47,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, Японски език",435,435,435,498,498,459
