"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
144,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Природни науки - АЕ интензивно, ИЕ",368.5,368.5,369,419,409,419
145,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",368,368,372,432.5,416.5,432.5
146,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",367.5,367.5,369,433,409.5,433
147,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,367,367,387,413,413,387
148,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",4826,"Интериорен дизайн - ИтЕ интензивно, АЕ",365,365,411,454,424.5,454
149,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,363.25,363.25,364.25,406.75,379,406.75
150,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",363,364,363,443,443,388
151,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",360.75,360.75,371,411.25,392.75,411.25
152,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",359,359,362.5,404.5,404.5,388
153,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",5038,Програмиране на изкуствен интелект - АЕ,359,359,374,432.5,432.5,392.5
154,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4939,"Предприемачески - НЕ интензивно, НорвЕ",358,358.5,358,422,422,402
155,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",357,357,357,408.5,408.5,398.5
156,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",357,357,357.5,435,435,417.5
157,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,356,356,0,439.25,439.25,0
158,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",352.5,354.5,352.5,422,388,422
159,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4941,"Предприемачески - АЕ интензивно, ШвЕ",352.5,352.5,356.5,411.5,375,411.5
160,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,352,352,355,438,438,426.5
161,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",351.5,351.5,352,415.5,415.5,371
162,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ или ИЕ",349,349,349,441.5,404,441.5
163,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",349,360.75,349,397,395,397
164,2204018,"18 Средно училище ""Уилям Гладстон""",1642,"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил",348.5,348.5,352.5,426.5,384.5,426.5
165,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",348.5,348.5,348.5,397.5,397.5,381
166,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,347.5,347.5,348,408.5,408.5,371
167,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",347,347,347,425.5,425.5,384.5
168,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4940,"Предприемачески - НЕ интензивно, ДатЕ",346.5,346.5,346.5,390,383.5,390
169,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",342.5,343.75,342.5,467.75,405,467.75
170,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,342,342,342.5,465.5,422,465.5
171,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",341.5,341.5,342,386.5,362,386.5
172,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",340,0,340,376.5,0,376.5
173,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ; ИЕ,337.5,356,337.5,392,392,365
174,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",337.5,339.5,337.5,392,392,387
175,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",4674,"Театрален грим и перуки, АЕ, ФЕ",337,0,337,451,0,451
176,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,335.5,336,335.5,421.75,421.75,392.25
177,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",333,333,336.5,386.5,386.5,372.5
178,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,333,336.5,333,400.5,371,400.5
179,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,331,331,331,419,419,384
180,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,329.5,339.75,329.5,427.5,427.5,414.75
181,2209036,"36 Средно училище ""Максим Горки""",0778,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",329.5,329.5,329.5,392,360.25,392
182,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",328,0,328,359.25,0,359.25
183,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",327.5,327.75,327.5,358,355.25,358
184,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,327,327,327,390.5,377.5,390.5
185,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,326.25,326.25,326.5,423,423,401.75
186,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,324.5,327.5,324.5,390.5,390.5,354.5
187,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,324.5,324.5,327,400.75,400.75,341.25
188,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",322,323.25,322,378,365.75,378
189,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,321,329.25,321,378.5,378.5,372.5
190,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",318,318,318.5,446,414,446
191,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",318,318,320,391.5,391.5,361.5
192,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,313.5,313.5,313.75,434.5,369,434.5
193,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4623,Изобразително изкуство - АЕ,312,312,317.75,418.25,393.75,418.25
194,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,311.5,311.5,312.5,371.5,351,371.5
195,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",310.5,310.5,312.25,394,352.75,394
196,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",310,313,310,391.5,364,391.5
197,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",310,310,310,388.5,388.5,341.5
198,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",307.5,308.5,307.5,410,410,340
199,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,307.25,322.5,307.25,410,368.75,410
200,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,"Природни науки - АЕ разширено, БЗО и ХООС",307,307.75,307,415.75,404.25,415.75
201,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,306.5,306.5,318,387.5,387.5,366
202,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ или НЕ",306.5,306.5,307.5,375,334.75,375
203,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",306,307.5,306,401,379,401
204,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",306,313.5,306,423.75,423.75,417
205,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,306,0,306,422,0,422
206,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",304,305.75,304,405,405,328.5
207,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",302.5,302.5,315,425,425,346
208,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",302,302,302.5,416,406,416
209,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Електронна търговия - АЕ,301.5,301.5,0,421,421,0
210,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,300.5,300.5,350,369.5,369.5,350
211,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,299.75,308.25,299.75,435.5,357.5,435.5
212,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",299.5,315.75,299.5,392.25,362.75,392.25
213,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",297.75,297.75,299.25,377.25,377.25,374
214,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",4980,"Обществени науки - АЕ интензивно, ИЕ или НЕ",296.25,296.25,302,394,394,362.5
215,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Хуманитарни науки - ИЕ интензивно, РумЕ, БЕЛ и Философия",292,293.5,292,393.25,393.25,384
216,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,287.5,292.75,287.5,429.5,336.5,429.5
217,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",287.5,291.5,287.5,418,333.5,418
218,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,287.5,287.5,0,381.5,381.5,0
219,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,285,285,285,390.5,374.5,390.5
220,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Природни науки - ИЕ интензивно, НЕ или АЕ",283,285,283,368.5,368.5,363
221,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,282.5,282.5,296.25,365,365,364.25
222,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",282,285,282,345.5,345.5,315
223,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",281.5,286.5,281.5,430,410,430
224,2213081,"81. Средно училище ""Виктор Юго""",4739,Хуманитарни науки - ЯЕ,280,280,287,344,344,342
225,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",279,282,279,408,401,408
226,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ разширено, РЕ",278.75,278.75,284.25,382.75,382.75,379.75
227,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,276,278.5,276,430.5,305.5,430.5
228,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",4500,Програмиране на изкуствен интелект - АЕ интензивно; втори ЧЕ - Китайски език,276,276,332.25,444.5,444.5,332.25
229,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,275.75,277,275.75,369,369,350.75
230,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",275.5,279,275.5,352.5,335,352.5
231,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,275.5,276.5,275.5,389,334,389
232,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,273.5,0,273.5,360.25,0,360.25
233,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, КитЕ/ГрЕ",269.5,271.5,269.5,380,380,354
234,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",267.5,290,267.5,402.5,332,402.5
235,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",264,264,264.5,377,377,290.5
236,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",260,260,263.5,386.5,386.5,365.5
237,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,257,257.5,257,298,294,298
238,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,256.5,257.75,256.5,409.25,377.5,409.25
239,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,254.5,257,254.5,404.5,369.5,404.5
240,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника (дуална) - АЕ,254,254,0,396.5,396.5,0
241,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",253,253,265.5,460.5,318.5,460.5
242,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,252,253.25,252,440.25,372,440.25
243,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно; - втори ЧЕ - Немски език,252,252,301,417,373.75,417
244,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Хуманитарни науки - ИтЕ интензивно, РумЕ, БЕЛ, ИЦ",251.5,251.5,252.25,409.25,334.5,409.25
245,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно; втори ЧЕ - Немски език,250.5,250.5,471.5,471.5,397.75,471.5
246,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ разширено, РЕ",248,248,252.5,332.5,325,332.5
247,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,247.5,270,247.5,396,353,396
248,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,246.5,251,246.5,367,367,349
249,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Икономическо развитие - АЕ интензивно, НЕ",246.25,252.5,246.25,390.75,339.5,390.75
250,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,Извършване на термални процедури - АЕ,245.5,260,245.5,384.75,292.5,384.75
251,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",245,245,285,436.5,436.5,415.5
252,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,244.5,244.5,246.5,410,356,410
253,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",243.5,247,243.5,435,435,397
254,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ - разширено; втори ЧЕ - Испански език,242.75,242.75,249.75,393.25,393.25,249.75
255,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,241,241,241.5,416.5,416.5,394.75
256,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,237.5,237.5,319,362.5,362.5,351.5
257,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",237.5,239.75,237.5,372,369.75,372
258,2207108,"108 Средно училище ""Никола Беловеждов""",5067,"Сътрудник в малък и среден бизнес - АЕ разширено, НЕ",237.25,237.25,239,454.25,350.5,454.25
259,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",237,237,243,347,347,338
260,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",5108,Природни науки - АЕ,235,235,235,406.5,406.5,376
261,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",233,233,240.5,427.5,311,427.5
262,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,232.5,243,232.5,398.5,398.5,366
263,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,232.5,232.5,238,436.5,345.5,436.5
264,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,231,234,231,392.5,309,392.5
265,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",224,224,224.5,363,313,363
266,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",223.5,223.5,230.5,356,356,324.5
267,2212040,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",219,219,232.5,408.5,379,408.5
268,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Бизнес администрация - РЕ интензивно; АЕ,218.75,218.75,219,366.5,347.75,366.5
269,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",217,217,224,400,367.5,400
270,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,217,217,219.5,444,280.5,444
271,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",5005,Микропроцесорна техника АЕ - разширено; втори ЧЕ - Испански език,217,219.25,217,372,372,229.5
272,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,215,215,218,308.5,308.5,265
273,2209132,"132. Средно училище ""Ваня Войнова""",0424,Помощник-инструктор по спортно туристическа дейност - АЕ,213.5,213.5,227.5,431,330.5,431
274,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4827,Бутикови облекла,213.5,271,213.5,369.5,271,369.5
275,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,213,213,213,417,306,417
276,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автотранспортна техника (дуална) - АЕ,210.5,210.5,0,371,371,0
277,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",210,210,211,462,325.5,462
278,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,210,210,250,407,407,250
279,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",208,215,208,445,445,354
280,2213039,"39 Средно училище ""Петър Динеков""",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",207,207,207,351,276,351
281,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ разширено,207,207,209.5,329,329,295.5
282,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ - разширено; втори ЧЕ - Руски език,204.75,204.75,223.5,337.5,335.5,337.5
283,2217149,"149 Средно училище ,,Иван Хаджийски""",1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",200.5,200.5,220.25,353.75,353.75,279.5
284,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",197.5,204,197.5,447.75,345.75,447.75
285,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",194,194,218.5,426,426,285
286,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",192,192,197,339.5,262,339.5
287,2219095,"95 СУ ""Проф. Иван Шишманов""",4818,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",191,202.5,191,391.75,391.75,359.75
288,2219095,"95 СУ ""Проф. Иван Шишманов""",3354,Предприемачески - АЕ интензивно; РЕ,190.5,191,190.5,322,322,240.5
289,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,181,181,183,422.5,422.5,327
290,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Топлоенергетика (дуална) - АЕ,179,179,0,286.5,286.5,0
291,2212056,"56. Средно училище ""Професор Константин Иречек""",3640,"Електронна търговия - АЕ, НЕ",172,172,180,392.75,392.75,304.5
292,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,4808,"Митническа и данъчна администрация - АЕ, НЕ",171,171,175,295,295,243.5
293,2212056,"56. Средно училище ""Професор Константин Иречек""",2200,"Икономическо развитие - АЕ интензивно, ИЕ",169,169,191.5,331.75,331.5,331.75
294,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,163,163,196,384,384,286
295,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,161,180,161,363,363,355
296,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",158,184,158,396,337.5,396
297,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,157,157,278,420,420,345.5
298,2217088,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,154,154,179,343.5,329.5,343.5
299,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,152.5,152.5,241,281.5,281.5,254
300,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",2449,Търговия на едро и дребно - АЕ,150,150,168,352.5,352.5,235
301,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,148,148,150,443.5,443.5,405.25
302,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,147,147,153,306,298.5,306
303,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба - оператор",144.5,144.5,203,274.75,274.75,203
304,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",141,141,171.5,373.5,373.5,270
305,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,141,142,141,364,364,141
306,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,140.5,140.5,0,356,356,0
307,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство и преработка на мляко и млечни продукти - АЕ,139.5,150,139.5,244.25,239,244.25
308,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",139,139,170,284.25,284.25,251
