"СПРАВКА
за минималния и максималния бал по паралелки
27,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",440,0,440,440,0,440
28,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",439.5,439.5,0,439.5,439.5,0
29,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",5128,"Математически - НЕ интензивно, РЕ, М и ФА",438,438,455,455,442.5,455
30,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",438,438,450,456,456,452.5
31,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Хуманитарни науки - ИЕ интензивно, АЕ",437.5,0,437.5,437.5,0,437.5
32,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",437.5,0,437.5,445,0,445
33,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",4855,Компютърна анимация - ИЕ,436,436,0,436,436,0
34,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",435.5,0,435.5,435.5,0,435.5
35,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",5127,"Обществени науки - НЕ интензивно, РЕ, ИЦ и ГИ",435,435,0,436.5,436.5,0
36,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",433,0,433,433,0,433
37,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",433,0,433,433,0,433
38,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4766,"Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ",432.5,0,432.5,432.5,0,432.5
39,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,432.5,0,432.5,432.5,0,432.5
40,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",431.25,0,431.25,431.25,0,431.25
41,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Обществени науки - ИЕ разширено, АЕ",431,431,0,431,431,0
42,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",431,0,431,431,0,431
43,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",431,431,0,435,435,0
44,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2338,"Приложно програмиране - АЕ, НЕ",430.75,430.75,0,433.25,433.25,0
45,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",428.5,0,428.5,428.5,0,428.5
46,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки БЗО, ХООС, ИЕ - интензивно, АЕ",427,0,427,427,0,427
47,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",427,427,429,435,435,429
48,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",427,427,0,430,430,0
49,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС",426.5,426.5,0,426.5,426.5,0
50,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, Японски език",426,0,426,426,0,426
51,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",424.5,424.5,0,430,430,0
52,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",422.5,0,422.5,422.5,0,422.5
53,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",422.5,0,422.5,457.5,0,457.5
54,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Обществени науки - Ист/Фил, АЕ интензивно, ИЕ",422,422,0,422,422,0
55,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,420.5,0,420.5,420.5,0,420.5
56,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Природни науки - интензивно ФЕ, РЕ",418.5,0,418.5,447.5,0,447.5
57,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4767,"Обществени науки - Ист/Фил, ИЕ интензивно, АЕ",417.5,0,417.5,417.5,0,417.5
58,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ по избор",417,417,426,426,417,426
59,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",416.5,0,416.5,416.5,0,416.5
60,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хуманитарни науки - АЕ интензивно, ИЕ",416.25,0,416.25,446.25,0,446.25
61,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,411.25,0,411.25,411.25,0,411.25
62,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,"Чужди езици - АЕ интензивно, ФЕ",411,411,0,411,411,0
63,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Хуманитарни науки - АЕ интензивно, РЕ; БЕЛ и ИЦ",408.5,408.5,0,408.5,408.5,0
64,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Икономическо развитие - АЕ разширено, ИЕ",405,0,405,405,0,405
65,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Обществени науки - ИЕ интензивно, АЕ",403.75,0,403.75,441.75,0,441.75
66,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,403.5,403.5,0,403.5,403.5,0
67,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",401,409.5,401,423.5,409.5,423.5
68,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ИЕ",401,0,401,406,0,406
69,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",396.5,396.5,0,396.5,396.5,0
70,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",396,0,396,430.5,0,430.5
71,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,395,395,0,395,395,0
72,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",395,0,395,401.25,0,401.25
73,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",394,396,394,409.75,409.75,394
74,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",393,410,393,418.75,410,418.75
75,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",392.25,0,392.25,392.25,0,392.25
76,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС",391.5,391.5,403.5,403.5,391.5,403.5
77,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4717,Икономика и мениджмънт - ФЕ,391.5,391.5,0,394,394,0
78,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,391.5,391.5,0,391.5,391.5,0
79,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",389.5,395.5,389.5,407,395.5,407
80,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",389.5,0,389.5,412.5,0,412.5
81,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",389.5,0,389.5,389.5,0,389.5
82,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - ЯЕ интензивно, АЕ",388.5,0,388.5,388.5,0,388.5
83,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4941,"Предприемачески - АЕ интензивно, ШвЕ",387.5,0,387.5,388.5,0,388.5
84,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,387.5,387.5,0,388.5,388.5,0
85,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,387.25,0,387.25,387.25,0,387.25
86,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",385.25,0,385.25,395,0,395
87,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",385,385,412.25,412.25,387.75,412.25
88,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4814,"Природни науки - БЗО, ХООС, АЕ интензивно, ФЕ",385,0,385,388,0,388
89,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Математически - АЕ интензивно, НЕ; М и Инф",384.5,384.5,0,400.5,400.5,0
90,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - БЗО, ХООС, АЕ интензивно, НЕ",384,0,384,403,0,403
91,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,383.5,383.5,386,386,383.5,386
92,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",383.5,0,383.5,383.5,0,383.5
93,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,382.75,0,382.75,410.5,0,410.5
94,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,"Природни науки - ИЕ интензивно, АЕ",381.5,0,381.5,381.5,0,381.5
95,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,"Чужди езици - ИЕ интензивно, АЕ",380.5,0,380.5,380.5,0,380.5
96,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",380.25,0,380.25,401.5,0,401.5
97,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,380.25,380.25,0,395.25,395.25,0
98,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КитЕ интензивно, АЕ",377.5,0,377.5,381.5,0,381.5
99,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",377,377,0,395,395,0
100,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",376.5,376.5,389,410,410,389
101,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4939,"Предприемачески - НЕ интензивно, НорвЕ",375,0,375,375,0,375
102,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",374.75,381,374.75,389.5,381,389.5
103,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Хуманитарни науки - АЕ интензивно, ИЕ, БЕЛ и ИЦ",374.5,0,374.5,397.75,0,397.75
104,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,373.5,373.5,0,373.5,373.5,0
105,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",373,0,373,397.5,0,397.5
106,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,372.5,372.5,0,372.5,372.5,0
107,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,372,375.5,372,381.5,381.5,372
108,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,371.5,371.5,0,375,375,0
109,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,371.5,371.5,0,371.5,371.5,0
110,2209036,"36 Средно училище ""Максим Горки""",0778,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",371,0,371,398.25,0,398.25
111,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",370.5,370.5,0,385.5,385.5,0
112,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",369,395,369,395,395,376.75
113,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",368.5,368.5,0,368.5,368.5,0
114,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",364.5,364.5,0,374,374,0
115,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",363,0,363,375.5,0,375.5
116,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4940,"Предприемачески - НЕ интензивно, ДатЕ",361.5,0,361.5,361.5,0,361.5
117,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,361.5,361.5,401,401,371.5,401
118,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",361.5,0,361.5,380.25,0,380.25
119,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",5038,Програмиране на изкуствен интелект - АЕ,358,0,358,358,0,358
120,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,357.5,0,357.5,360.5,0,360.5
121,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",356.75,356.75,438.75,438.75,363.25,438.75
122,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",352,352,357,375.5,365,375.5
123,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",351.75,351.75,384.5,384.5,351.75,384.5
124,2204018,"18 Средно училище ""Уилям Гладстон""",1642,"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил",351.5,363,351.5,375.5,363,375.5
125,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,350.5,350.5,355.5,440.25,359,440.25
126,2204134,"134. средно училище ""Димчо Дебелянов""",1961,"Природни науки - АЕ интензивно, Иврит",349.5,356.5,349.5,356.5,356.5,349.5
127,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ или ИЕ",346.5,370.5,346.5,371.75,370.5,371.75
128,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",345.75,0,345.75,357.5,0,357.5
129,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",344.5,344.5,361.5,380,380,361.5
130,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",4826,"Интериорен дизайн - ИтЕ интензивно, АЕ",344,344,411,411,344,411
131,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",343.5,345,343.5,355.5,345,355.5
132,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",342,357.5,342,357.5,357.5,342
133,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",341,341,0,356,356,0
134,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,337.25,0,337.25,337.25,0,337.25
135,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,335.25,335.25,363.25,387,356.5,387
136,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",334,334,334,371.5,362.5,371.5
137,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,334,0,334,362.5,0,362.5
138,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,333.75,341.5,333.75,385.25,385.25,360.5
139,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",333,333,336,352,333,352
140,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Електронна търговия - АЕ,332.25,332.25,0,332.25,332.25,0
141,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,330.5,0,330.5,330.5,0,330.5
142,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,329,331.5,329,331.5,331.5,329
143,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,326.5,0,326.5,374.25,0,374.25
144,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",326.5,0,326.5,365,0,365
145,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",325.5,341.25,325.5,346.25,341.25,346.25
146,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",4980,"Обществени науки - АЕ интензивно, ИЕ или НЕ",325.25,0,325.25,337.25,0,337.25
147,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,325,325,359.5,377.75,377.75,359.5
148,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,324.75,324.75,338.5,372,372,338.5
149,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",324.5,324.5,324.5,360.75,360.75,326
150,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,324.25,0,324.25,354.25,0,354.25
151,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",323.5,360,323.5,360,360,328
152,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",323,325.5,323,355,355,353
153,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,321.5,0,321.5,321.5,0,321.5
154,2219095,"95 СУ ""Проф. Иван Шишманов""",4818,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",320.75,0,320.75,377.5,0,377.5
155,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",320.25,0,320.25,337,0,337
156,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",320,0,320,353,0,353
157,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",319,319,322.5,361,361,346.5
158,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",317.5,317.5,0,342,342,0
159,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,317.5,336,317.5,360,360,317.5
160,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",4500,Програмиране на изкуствен интелект - АЕ интензивно; втори ЧЕ - Китайски език,315.25,315.25,0,382.5,382.5,0
