"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 30.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),490.75,490.75,0,490.75,490.75,0
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),483.5,483.5,0,488.25,488.25,0
3,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,482.75,482.75,0,482.75,482.75,0
4,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,481,481,0,481,481,0
5,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",5011,Математически (математика и физика) - НЕ (ИИЧЕ),478,478,0,478,478,0
6,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,476,0,476,476,0,476
7,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",4921,"Системно програмиране - АЕ, НЕ",469,469,0,469,469,0
8,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,"Системно програмиране - АЕ, РЕ",463.75,463.75,0,463.75,463.75,0
9,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",458,458,0,459.5,459.5,0
10,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ ГИ М,456.5,456.5,0,460,460,0
11,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",456.5,456.5,0,456.5,456.5,0
12,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",456,456,0,456,456,0
13,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,"Компютърни мрежи - АЕ, РЕ",454.5,454.5,0,461,461,0
14,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",454,454,455,477.5,470,477.5
15,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ",452,0,452,453,0,453
16,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ",450.5,450.5,463,463,450.5,463
17,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",449.5,0,449.5,449.5,0,449.5
18,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",449,0,449,449,0,449
19,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",449,449,449.5,450.5,449,450.5
20,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ФЕ интензивно, ИЕ",448.5,0,448.5,448.5,0,448.5
21,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",448.5,0,448.5,448.5,0,448.5
22,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",448.5,0,448.5,448.5,0,448.5
23,2216301,Първа английска езикова гимназия,3349,"Предприемачески - АЕ интензивно, НЕ",448,0,448,452.5,0,452.5
24,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,"Чужди езици - АЕ интензивно, ИЕ",446,0,446,450.5,0,450.5
25,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ",446,446,449,449,446,449
26,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",443.5,0,443.5,443.5,0,443.5
