"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
37,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,Интериорен дизайн - ФЕ,440,0,440,447.5,0,447.5
38,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",438,438,451.5,454.5,445,454.5
39,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",437,438.5,437,462.25,441.5,462.25
40,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",435.5,0,435.5,469.5,0,469.5
41,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",435.5,435.5,457,468.5,449,468.5
42,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",435.5,435.5,452.5,462.5,444.5,462.5
43,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",435,435,457,472,456,472
44,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",434.5,434.5,435,450.5,450.5,438.25
45,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки БЗО, ХООС, ИЕ - интензивно, АЕ",432.5,439,432.5,466,439,466
46,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",432.5,432.5,432.5,449.5,449.5,448
47,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",432.5,432.5,456,472,454,472
48,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,432.5,435.25,432.5,453.25,453.25,451.5
49,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - ЯЕ интензивно, АЕ",429.5,446.5,429.5,478.5,446.5,478.5
50,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",429.5,431,429.5,461.5,451.5,461.5
51,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",429,430.5,429,449,432.5,449
52,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, Японски език",429,435,429,454,439,454
53,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ",428.5,433.5,428.5,446.5,441,446.5
54,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",4767,"Обществени науки - Ист/Фил, ИЕ интензивно, АЕ",428,428,428,455.5,455.5,451.5
55,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,427.71,427.71,428.35,434.76,434.76,429.21
56,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ИЕ",427.5,427.5,430.5,449,447,449
