"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
143,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",357,357,378,406,395.75,406
144,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",4826,"Интериорен дизайн - ИтЕ интензивно, АЕ",357,357,408,426.5,382,426.5
145,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,357,357,0,384.5,384.5,0
146,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,"Обществени науки - АЕ, ИЕ",356,356,369.75,393.5,369,393.5
147,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Природни науки - АЕ интензивно, ИЕ",356,356,360.5,419,383,419
148,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",355,355.5,355,443,443,372
149,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",354.5,354.5,355,374,374,365.5
150,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",352.5,352.5,352.5,435,435,368
151,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",5038,Програмиране на изкуствен интелект - АЕ,352,355,352,418,418,381
152,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",351.75,392.75,351.75,427.75,392.75,427.75
153,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,350,350,0,430,430,0
154,2204134,"134. средно училище ""Димчо Дебелянов""",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",348,348,348.5,402.5,402.5,398.5
155,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",347.5,347.5,358,412,412,387.5
156,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",346,346,349,415.5,415.5,349
157,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",345.5,345.5,348.5,383,358,383
158,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",344.25,360.75,344.25,395,395,369
159,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,344,344,365,388.5,388.5,365
160,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4939,"Предприемачески - НЕ интензивно, НорвЕ",342,342,346,402.5,402.5,378.5
161,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4941,"Предприемачески - АЕ интензивно, ШвЕ",340,340,341,388.5,365.5,388.5
162,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ или ИЕ",340,340,342.25,391.25,373.25,391.25
163,2204018,"18 Средно училище ""Уилям Гладстон""",1642,"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил",338,348.5,338,387,377,387
164,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",337.25,337.25,337.25,403.75,361.25,403.75
165,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,337.25,337.25,0,439.25,439.25,0
166,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",337,337,340.5,389,389,372.5
167,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4940,"Предприемачески - НЕ интензивно, ДатЕ",336.5,338,336.5,390,383.5,390
168,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,334.5,334.5,336,387.5,387.5,364.5
169,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",334,334,334,356.5,356,356.5
170,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",333.5,333.5,337.5,408,408,384.5
171,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,332.75,335.25,332.75,408.5,408.5,371
172,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,330,341.5,330,385.75,343.25,385.75
173,2209036,"36 Средно училище ""Максим Горки""",0778,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",328.75,329,328.75,386.75,358.5,386.75
174,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,326.6,0,326.6,401.05,0,401.05
175,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,326.5,326.5,327,355,347.5,355
176,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",325.5,325.5,0,347.5,347.5,0
177,2212137,"137 средно училище ""Ангел Кънчев""",1834,"Предприемачески - АЕ интензивно, НЕ",324,324,343.5,349,349,343.5
178,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ; ИЕ,323.5,354.5,323.5,378,378,365
179,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",323.5,323.5,324,392,392,357
180,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,321.5,322.5,321.5,392.25,377.75,392.25
181,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",321.5,321.5,322.75,374,335.5,374
182,2220029,"29. Средно училище ""Кузман Шапкарев""",4405,Софтуерни и хардуерни науки - ИЕ разширено,320,320,320.5,401.75,391.5,401.75
183,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",319.75,319.75,321.25,340.5,323.75,340.5
184,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ФЕ",319.25,0,319.25,340.75,0,340.75
185,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,319,319,321,377.5,352,377.5
186,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,317,317,319,390.5,390.5,340.25
187,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",4674,"Театрален грим и перуки, АЕ, ФЕ",315.75,0,315.75,362.5,0,362.5
188,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,306.5,306.5,309,344,344,325.5
189,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,306,306,308.75,366.75,337.75,366.75
190,2210117,117. СУ,0975,Предприемачески,305,0,305,305,0,305
191,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",304,305.5,304,388.5,388.5,341.5
192,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",304,304,313.5,391.5,391.5,333
193,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",303.5,405,303.5,405,405,312.5
194,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",303,303,303.5,435,392.5,435
195,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,299.5,299.5,0,299.5,299.5,0
196,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,299,299,312.25,371.5,344.25,371.5
197,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",298.5,298.5,305.5,394,342,394
198,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",296.25,296.25,296.5,351.5,351.5,348.5
199,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",296,337.5,296,396,337.5,396
200,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",296,296,319,364,364,356.5
201,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,294,294,318,387.5,387.5,366
202,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",293.25,293.25,305,348.75,325.25,348.75
203,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,293,293,327,346.25,346.25,327
204,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",292.25,294.25,292.25,376.25,362.75,376.25
205,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ или НЕ",292,292,293,351.25,311.25,351.25
206,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Електронна търговия - АЕ,291.5,291.5,296.25,370.25,370.25,296.25
207,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,290.75,302.5,290.75,365.5,302.5,365.5
208,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,287,287,289.5,435.5,357.5,435.5
209,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,287,0,287,387.5,0,387.5
210,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4825,Сценичен костюм,285.75,0,285.75,306.25,0,306.25
211,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",285,285,291,387,387,333.5
212,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,"Природни науки - АЕ разширено, БЗО и ХООС",284.75,284.75,287.5,391,391,357
213,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",284,284,286.5,356.75,355.5,356.75
214,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",282.25,313.5,282.25,341,313.5,341
215,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,281.5,286,281.5,414.75,411,414.75
216,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,Промишлен дизайн - АЕ,281.5,281.5,281.5,390,374.5,390
217,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,279.25,279.25,0,352.5,352.5,0
218,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",276.5,277.5,276.5,387.5,333.5,387.5
219,2213081,"81. Средно училище ""Виктор Юго""",4739,Хуманитарни науки - ЯЕ,274.75,274.75,277.5,342,332.75,342
220,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",274,274,283,352.5,335,352.5
221,2213081,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,274,274,277.5,371.5,334,371.5
222,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",273.5,273.5,291.5,425,425,331
223,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",4980,"Обществени науки - АЕ интензивно, ИЕ или НЕ",272.5,276.5,272.5,365.75,365.75,353
224,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",271.25,271.25,275.75,367.5,355,367.5
225,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",270.5,281.5,270.5,401,379,401
226,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,Индустриални отношения - АЕ,270.5,277,270.5,369,369,350.75
227,2224047,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - НЕ разширено, АЕ",269,269,271,325.5,325.5,297.5
228,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Хуманитарни науки - ИЕ интензивно, РумЕ, БЕЛ и Философия",269,278,269,366.25,366.25,355.25
229,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,267,273,267,316.5,295.5,316.5
230,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Природни науки - ИЕ интензивно, НЕ или АЕ",266.5,266.5,269.5,368.5,368.5,363
231,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ разширено, РЕ",265,266,265,354.25,286.5,354.25
232,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",265,265,295.5,401,401,345
233,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",4500,Програмиране на изкуствен интелект - АЕ интензивно; втори ЧЕ - Китайски език,264,264,332.25,359.25,359.25,332.25
234,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,258.5,258.5,268.25,316.75,316.75,280.5
235,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,258.25,258.25,0,318,318,0
236,2213039,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",257,257,288,320,320,288
237,2215170,"170 Средно училище ""Васил Левски""",2972,Компютърна графика- АЕ,253,253,317.5,376.5,348,376.5
238,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",253,253,253.5,342.5,342.5,266.5
239,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, КитЕ/ГрЕ",251,251,251.5,380,380,354
240,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",249.5,249.5,252.5,397.5,290,397.5
241,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно; втори ЧЕ - Немски език,249.25,249.25,0,335.25,335.25,0
242,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,246.5,249.5,246.5,269,265,269
243,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,246,0,246,301,0,301
244,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,Извършване на термални процедури - АЕ,244.75,271.75,244.75,342.5,271.75,342.5
245,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,243.5,243.5,317.25,382,290.5,382
246,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,243.5,243.5,247,369.5,369.5,285.5
247,2219130,"130. средно училище ""Стефан Караджа""",4713,Помощник-възпитател,243,0,243,243,0,243
248,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника (дуална) - АЕ,242.5,242.5,0,372,372,0
249,2215170,"170 Средно училище ""Васил Левски""",3971,Организация на туризма и свободното време - АЕ,240,0,240,270,0,270
250,2213144,"144 Средно училище ""Народни будители""",3559,Рекламна графика - ИЕ,237.75,238,237.75,429.5,336.5,429.5
251,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",237.5,237.5,245,280.5,280.5,245
252,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно; - втори ЧЕ - Немски език,237,237,417,417,337,417
253,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ - разширено; втори ЧЕ - Испански език,236,236,249.75,393.25,393.25,249.75
254,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",232,232,244,338,248.5,338
255,2223008,"8. Средно училище ""Васил Левски""",4284,"Предприемачески - АЕ разширено, РЕ",232,240.5,232,325,325,296.5
256,2207108,"108 Средно училище ""Никола Беловеждов""",5067,"Сътрудник в малък и среден бизнес - АЕ разширено, НЕ",231,231,234.5,376.75,305,376.75
257,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Хуманитарни науки - ИтЕ интензивно, РумЕ, БЕЛ, ИЦ",230.5,232,230.5,326.75,326.75,271.5
258,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,227.75,227.75,316.75,316.75,227.75,316.75
259,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Икономическо развитие - АЕ интензивно, НЕ",227.75,228.5,227.75,339.5,339.5,315.5
260,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,227.5,0,227.5,292.5,0,292.5
261,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба - оператор",226.5,226.5,0,226.5,226.5,0
262,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",5108,Природни науки - АЕ,226,226,232.5,361.5,262.5,361.5
263,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,224,226.5,224,349,315,349
264,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",223.5,223.5,233,427,427,415.5
265,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,222.5,222.5,312,313,312.5,313
266,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - АЕ,220,324,220,353.25,353.25,280.75
267,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,219.5,219.5,232.5,356,356,243.5
268,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,218.5,218.5,351.5,351.5,257.5,351.5
269,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,217,0,217,271,0,271
270,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",216,216,217.5,427.5,274,427.5
271,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,215,215,215,264,260,264
272,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, НЕ",211,0,211,211,0,211
273,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,209,313.75,209,313.75,313.75,209
274,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,209,209,212.5,292.5,266,292.5
275,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",208.5,208.5,214.5,263,263,224.5
276,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,206.5,0,206.5,211,0,211
277,2212040,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",206.5,206.5,214,349,349,290.5
278,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,206,206,207.5,243.5,243.5,214
279,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4623,Изобразително изкуство - АЕ,205.5,205.5,250,418.25,353.75,418.25
280,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4507,Организация на туризма и свободното време - АЕ,204.5,0,204.5,204.5,0,204.5
281,2213039,"39 Средно училище ""Петър Динеков""",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",201,201,207,312.5,240,312.5
282,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",5005,Микропроцесорна техника АЕ - разширено; втори ЧЕ - Испански език,199.25,202.5,199.25,372,372,217
283,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,196.75,0,196.75,280,0,280
284,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,195.5,195.5,0,195.5,195.5,0
285,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4827,Бутикови облекла,193.25,271,193.25,271,271,253.5
286,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,193,193,0,193,193,0
287,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,192.75,267.25,192.75,335.5,267.25,335.5
288,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",191.5,191.5,195,321.5,321.5,273.75
289,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",191.5,294,191.5,380,345.75,380
290,2216422,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,189,189,0,345.5,345.5,0
291,2219095,"95 СУ ""Проф. Иван Шишманов""",2359,Бизнес администрация - РЕ интензивно; АЕ,188.5,188.5,204,366.5,346.25,366.5
292,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",4731,Помощник - възпитател в отглеждането и възпитанието на деца,188,0,188,188,0,188
293,2214015,"15 Средно училище "" Адам Мицкевич""",4438,Митническо и данъчно обслужване,187,195.5,187,320,320,202
294,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автотранспортна техника (дуална) - АЕ,187,187,0,319,319,0
295,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ - разширено; втори ЧЕ - Руски език,184,184,0,335.5,335.5,0
296,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",181,190,181,347.5,347.5,255
297,2212137,"137 средно училище ""Ангел Кънчев""",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",179,179,218.5,218.5,194,218.5
298,2217088,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,178.5,178.5,240.5,278.5,224.5,278.5
299,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,178,178,0,223.5,223.5,0
300,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,176,176,0,253.5,253.5,0
301,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,"Производство на хляб, хлебни и сладкарски изделия - АЕ, ИспанскиЕ",176,0,176,229,0,229
302,2217149,"149 Средно училище ,,Иван Хаджийски""",4456,"Електронна търговия - АЕ интензивно, НЕ",174,174,211,273,273,260
303,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",173.5,173.5,176,339.5,244,339.5
304,2215172,"172 Обединено училище ""Христо Ботев""",2807,Производство на облекло от текстил,171,0,171,171,0,171
305,2217424,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,171,171,250,301,301,250
306,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,4808,"Митническа и данъчна администрация - АЕ, НЕ",171,171,0,171,171,0
